         MJD         m       dm  uJy  duJy F  err   chi/N       RA       Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  uJy_offset
59579.937566 21.954622      NaN  NaN     2 o    0   12.88 89.89063 -58.32455  5100.00  8807.40 2.84 2.59 -37.5 -0.375    19.41 21.57 03a59580o0324o 0xc00801         NaN
59592.892048 21.514394      NaN  NaN     3 o    0   15.65 89.89063 -58.32455  8426.27  1470.80 2.87 2.58 -66.6 -0.372    18.91 20.13 03a59593o0230o 0xc00a01         NaN
59592.894914 21.202047      NaN  NaN     4 o    0    4.40 89.89063 -58.32455  8459.18  1507.94 3.04 2.57 -63.4 -0.366    18.88 20.12 03a59593o0236o 0xc00a00         NaN
59596.889263 19.014394      NaN  NaN    30 o    0    1.11 89.89063 -58.32455  8471.16  1467.50 2.72 2.52 -63.8 -0.371    18.58 19.25 03a59597o0162o 0xc00900         NaN
59596.892161 18.675237      NaN  NaN    41 o    0    0.63 89.89063 -58.32455  8506.62  1502.14 2.77 2.55 -52.4 -0.375    18.54 19.22 03a59597o0168o 0xc00900         NaN
59596.898734 19.401649      NaN  NaN    21 o    0    1.56 89.89063 -58.32455  8494.28  1413.75 2.66 2.47 -56.5 -0.392    18.54 19.22 03a59597o0182o 0xc00800         NaN
59596.912182 19.169763      NaN  NaN    26 o    0    1.23 89.89063 -58.32455  8549.33  1517.07 2.72 2.63 -66.7 -0.367    18.52 19.27 03a59597o0210o 0xc00800         NaN
59600.881230 18.878500      NaN  NaN    34 o    0    1.23 89.89063 -58.32455  5556.04 10126.51 2.88 2.68 -82.3 -0.389    18.11 19.83 03a59601o0066o 0xc00900         NaN
59600.884034 21.514394      NaN  NaN     3 o    0    4.05 89.89063 -58.32455  5572.89 10170.16 2.60 2.39 -85.4 -0.383    19.14 20.49 03a59601o0072o 0xc00800         NaN
59600.889687 18.816441      NaN  NaN    36 o    0    1.69 89.89063 -58.32455  5526.73 10087.42 2.70 2.50 -80.1 -0.365    18.06 19.47 03a59601o0084o 0xc00800         NaN
59600.900079 19.351140      NaN  NaN    22 o    0    1.36 89.89063 -58.32455  5513.34 10200.68 2.72 2.49 -82.3 -0.369    18.67 19.67 03a59601o0106o 0xc00800         NaN
59600.943254 19.401649      NaN  NaN    21 o    0    1.22 89.89063 -58.32455  3274.84    38.18 3.14 2.33  84.0 -0.367    18.90 19.97 03a59601o0194o 0xc00800         NaN
59617.830707 19.841877      NaN  NaN    14 o    0    4.28 89.89063 -58.32455 10343.46  4068.69 2.78 2.06 -84.0 -0.393    19.24 20.72 03a59618o0150o 0xc00800         NaN
59617.833480 19.631075      NaN  NaN    17 o    0    3.12 89.89063 -58.32455 10362.18  4106.55 2.61 2.06 -84.7 -0.412    19.25 20.70 03a59618o0156o 0xc00800         NaN
59617.839057 19.922338      NaN  NaN    13 o    0   10.98 89.89063 -58.32455 10303.91  4021.18 2.65 2.03 -83.3 -0.409    19.28 20.73 03a59618o0168o 0xc00801         NaN
59617.846901 20.103715      NaN  NaN    11 o    0   11.64 89.89063 -58.32455   739.95  3760.71 2.62 1.97  83.9 -0.431    19.28 20.72 03a59618o0185o 0xc00801         NaN
59617.849672 19.696897      NaN  NaN    16 o    0    3.35 89.89063 -58.32455   756.11  3800.44 2.80 2.01  82.2 -0.412    19.25 20.73 03a59618o0191o 0xc00800         NaN
59617.850127 19.766969      NaN  NaN    15 o    0    4.16 89.89063 -58.32455 10277.55  4127.43 2.70 2.07 -81.2 -0.401    19.27 20.72 03a59618o0192o 0xc00800         NaN
59617.855203 21.514394      NaN  NaN     3 o    0   16.40 89.89063 -58.32455   698.62  3727.99 2.70 1.96  81.8 -0.419    19.30 20.74 03a59618o0203o 0xc00801         NaN
59617.865836 20.207197      NaN  NaN    10 o    0   12.73 89.89063 -58.32455   673.11  3850.84 2.65 1.96  83.7 -0.428    19.28 20.73 03a59618o0226o 0xc00801         NaN
59621.879235 19.696897      NaN  NaN    16 o    0    5.89 89.89063 -58.32455 10345.08  4034.37 2.45 1.94 -79.8 -0.419    19.18 20.31 03a59622o0248o 0xc00800         NaN
