,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,58648.513684,21.109,2.852,13,37,o,0,2.36,13.74392,44.09015,8976.45,7081.76,2.56,2.16,33.8,-0.413,18.32,18.71,02a58648o0597o
1,58648.517021,20.402,1.6,25,40,o,0,1.6,13.74392,44.09015,8997.13,7121.37,2.51,2.2,29.4,-0.416,18.36,18.77,02a58648o0604o
2,58648.523318,-22.72,14.381,-3,43,o,0,1.01,13.74392,44.09015,8936.51,7047.72,2.35,2.29,23.8,-0.428,18.45,18.86,02a58648o0617o
3,58648.534017,-20.447,1.399,-24,34,o,0,1.22,13.74392,44.09015,8916.12,7163.81,2.52,2.22,32.4,-0.412,18.57,19.04,02a58648o0640o
4,58656.567872,-24.532,33.0,-1,18,o,0,0.63,13.74392,44.09015,3320.69,3050.29,2.34,1.87,37.2,-0.457,19.05,19.72,02a58656o0697o
5,58656.571375,-21.795,2.088,-7,14,o,0,1.16,13.74392,44.09015,3350.61,3088.36,2.14,1.87,42.8,-0.46,19.1,19.79,02a58656o0704o
6,58656.576727,-20.518,0.555,-22,12,o,0,1.42,13.74392,44.09015,3295.36,3013.54,2.02,1.89,44.2,-0.466,19.19,19.91,02a58656o0715o
7,58656.587089,20.54,0.609,22,13,o,0,1.49,13.74392,44.09015,3276.9,3125.66,2.32,1.95,41.0,-0.459,19.17,19.99,02a58656o0736o
8,58664.548544,22.765,2.905,3,8,c,0,1.32,13.74392,44.09015,2762.36,8857.54,2.5,2.48,61.3,-0.4,19.69,21.67,02a58664o0660c
9,58664.553777,22.296,1.824,4,8,c,0,1.53,13.74392,44.09015,2771.82,8896.72,2.43,2.4,-16.4,-0.413,19.68,21.69,02a58664o0671c
10,58664.55811,20.896,0.557,16,9,c,0,1.31,13.74392,44.09015,2721.55,8815.83,2.45,2.41,-38.0,-0.415,19.69,21.7,02a58664o0680c
11,58664.571247,20.427,0.417,24,10,c,0,0.9,13.74392,44.09015,2700.47,8931.74,2.5,2.43,55.7,-0.403,19.71,21.71,02a58664o0708c
12,58668.577616,-22.586,2.4,-3,8,c,0,1.34,13.74392,44.09015,7043.78,5288.5,2.7,2.35,43.1,-0.39,19.69,21.59,02a58668o0719c
13,58668.580538,22.064,1.537,5,8,c,0,1.13,13.74392,44.09015,7062.9,5326.73,2.7,2.32,41.0,-0.391,19.71,21.58,02a58668o0725c
14,58668.586666,21.029,0.64,14,9,c,0,1.04,13.74392,44.09015,7005.21,5250.2,2.83,2.38,40.9,-0.385,19.7,21.6,02a58668o0738c
15,58668.596525,-23.662,7.444,-1,9,c,0,1.05,13.74392,44.09015,6981.88,5366.09,2.75,2.39,38.9,-0.389,19.71,21.61,02a58668o0759c
16,58675.583824,22.07,2.294,5,12,o,0,0.99,13.74392,44.09015,3317.18,7238.0,2.64,2.57,-32.2,-0.487,19.41,21.07,01a58675o0638o
17,58675.587837,20.594,0.584,21,12,o,0,1.01,13.74392,44.09015,3298.99,7203.64,2.76,2.66,-19.5,-0.464,19.42,21.11,01a58675o0645o
18,58675.593598,25.703,60.0,0,11,o,0,1.26,13.74392,44.09015,3356.26,7277.76,2.77,2.73,-34.2,-0.474,19.27,20.99,01a58675o0657o
19,58675.606562,21.166,1.818,12,23,o,0,0.86,13.74392,44.09015,3374.51,7161.13,2.83,2.7,-19.4,-0.463,18.78,20.32,01a58675o0683o
20,58678.517329,21.795,6.233,7,43,o,0,0.84,13.74392,44.09015,3310.4,7235.0,3.24,3.02,-17.4,-0.416,18.37,19.52,01a58678o0511o
21,58678.520353,-18.668,1.289,-124,160,o,0,0.91,13.74392,44.09015,3283.04,7191.55,3.28,3.07,-21.6,-0.452,17.32,18.25,01a58678o0517o
22,58678.525868,-21.029,2.194,-14,31,o,0,1.15,13.74392,44.09015,3353.43,7275.09,3.2,3.01,-22.6,-0.422,18.51,19.6,01a58678o0528o
23,58678.536367,21.83,3.767,7,25,o,0,1.09,13.74392,44.09015,3364.27,7157.43,3.3,3.08,-12.7,-0.414,18.68,19.81,01a58678o0550o
24,58678.623547,21.365,4.328,10,45,o,0,0.94,13.74392,44.09015,3329.82,7227.79,2.87,2.73,-18.9,-0.472,18.45,19.24,01a58678o0735o
25,58680.545066,19.475,0.57,59,34,o,0,0.75,13.74392,44.09015,6785.1,9173.6,2.37,2.27,62.1,-0.448,18.84,19.38,02a58680o0653o
26,58680.548271,-19.786,0.622,-44,28,o,0,0.91,13.74392,44.09015,6803.03,9212.1,2.3,2.22,62.7,-0.445,18.93,19.39,02a58680o0660o
27,58680.554006,-20.924,1.536,-16,24,o,0,1.54,13.74392,44.09015,6743.35,9137.03,2.28,2.07,47.2,-0.447,18.97,19.42,02a58680o0672o
28,58680.565105,19.946,0.565,38,22,o,0,0.94,13.74392,44.09015,6721.13,9251.86,2.3,2.2,64.9,-0.45,18.96,19.45,02a58680o0696o
29,58682.555019,18.924,0.512,98,50,o,0,1.05,13.74392,44.09015,7443.55,3620.42,3.32,2.92,-10.3,-0.411,17.94,18.66,01a58682o0686o
30,58682.5583,-19.908,1.726,-40,68,o,0,1.16,13.74392,44.09015,7423.53,3581.58,3.4,2.97,-9.1,-0.404,17.51,18.3,01a58682o0693o
31,58682.564082,-17.27,0.833,-449,374,o,0,1.23,13.74392,44.09015,7484.52,3658.59,3.46,3.05,-8.7,-0.395,15.63,16.15,01a58682o0705o
32,58682.574385,-16.311,0.668,-1086,725,o,0,0.94,13.74392,44.09015,7501.47,3541.77,3.47,3.06,-9.7,-0.388,14.96,15.43,01a58682o0725o
33,58684.527542,21.276,1.439,11,16,o,0,0.84,13.74392,44.09015,7471.98,1398.02,2.27,2.2,-63.1,-0.419,19.07,19.9,02a58684o0600o
34,58684.531208,21.69,1.984,8,15,o,0,1.19,13.74392,44.09015,7494.94,1438.62,2.34,2.27,-49.3,-0.418,19.04,19.92,02a58684o0607o
35,58684.536646,20.237,0.575,29,17,o,0,1.12,13.74392,44.09015,7437.18,1361.24,2.27,2.2,-46.9,-0.424,19.08,19.96,02a58684o0618o
36,58684.546644,-20.334,0.612,-27,16,o,0,1.19,13.74392,44.09015,7421.76,1476.53,2.58,2.5,-61.3,-0.404,18.97,20.01,02a58684o0638o
37,58688.517404,20.439,0.356,24,9,o,0,1.68,13.74392,44.09015,7479.03,1395.56,1.99,1.96,73.5,-0.439,19.5,20.61,02a58688o0601o
38,58688.520988,22.488,2.561,4,9,o,0,1.47,13.74392,44.09015,7502.0,1433.62,2.0,1.9,-56.5,-0.448,19.48,20.64,02a58688o0608o
39,58688.52669,21.523,1.08,9,10,o,0,1.31,13.74392,44.09015,7444.28,1358.15,2.01,1.88,-59.2,-0.453,19.53,20.64,02a58688o0620o
40,58688.538827,-22.372,2.667,-4,11,o,0,1.06,13.74392,44.09015,7425.54,1477.76,2.04,1.9,-56.0,-0.449,19.56,20.7,02a58688o0646o
41,58688.63155,19.605,0.724,52,38,o,0,1.08,13.74392,44.09015,7482.91,1427.49,2.08,1.95,-61.9,-0.459,18.05,18.03,02a58688o0843o
42,58690.516389,20.809,0.798,17,14,o,0,1.07,13.74392,44.09015,6959.03,9437.66,2.96,2.9,-78.9,-0.459,19.36,21.06,01a58690o0605o
43,58690.519617,20.068,0.412,34,14,o,0,0.88,13.74392,44.09015,6940.96,9397.4,3.0,2.97,-87.1,-0.454,19.36,21.1,01a58690o0612o
44,58690.526271,-22.847,4.067,-3,11,o,0,1.32,13.74392,44.09015,6998.04,9479.07,2.82,2.73,-82.0,-0.477,19.41,21.09,01a58690o0626o
