,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
480,59048.48011,-21.372,1.211,-10,12,o,0,1.09,329.82726,-6.99383,1809.15,4542.37,3.06,2.8,1.5,-0.386,19.27,21.2,01a59048o0518o
481,59048.482412,20.623,0.635,20,13,o,0,1.43,329.82726,-6.99383,1791.34,4503.54,3.18,3.06,6.0,-0.399,19.25,21.19,01a59048o0523o
482,59048.485641,-20.501,0.524,-23,12,o,0,1.27,329.82726,-6.99383,1849.04,4580.33,3.04,2.86,6.1,-0.363,19.25,21.18,01a59048o0530o
483,59048.506785,20.147,0.404,32,13,o,0,1.08,329.82726,-6.99383,8686.65,6076.44,2.64,2.59,-61.9,-0.391,19.33,21.06,01a59048o0574o
484,59050.451474,-19.262,0.13,-72,9,c,0,1.57,329.82726,-6.99383,6534.99,287.76,2.6,2.35,-67.4,-0.407,19.66,21.73,02a59050o0453c
485,59050.474857,-19.543,0.192,-55,11,c,0,1.03,329.82726,-6.99383,6552.92,329.91,2.53,2.3,-57.1,-0.408,19.68,21.71,02a59050o0503c
486,59050.478106,-20.219,0.339,-30,10,c,0,0.84,329.82726,-6.99383,6498.57,250.1,2.55,2.34,-68.4,-0.405,19.73,21.7,02a59050o0510c
487,59050.484127,-19.512,0.164,-57,9,c,0,1.2,329.82726,-6.99383,6479.28,366.87,2.55,2.37,-65.4,-0.406,19.68,21.7,02a59050o0523c
488,59050.487883,-21.979,3.541,-6,21,c,0,1.4,329.82726,-6.99383,5662.27,10495.0,2.74,2.61,-57.1,-0.409,19.66,21.76,02a59050o0531c
489,59050.492571,-19.601,0.279,-52,15,c,0,1.11,329.82726,-6.99383,5623.39,10455.44,2.71,2.53,-60.7,-0.41,19.68,21.74,02a59050o0541c
490,59052.543434,-22.686,3.583,-3,11,o,0,1.04,329.82726,-6.99383,8755.42,5994.45,2.02,1.94,82.6,-0.43,19.8,20.99,01a59052o0375o
491,59052.547134,22.754,3.485,3,10,o,0,1.0,329.82726,-6.99383,8775.57,6033.19,2.03,1.98,76.6,-0.43,19.77,21.04,01a59052o0383o
492,59052.555009,21.911,1.232,6,8,o,0,1.66,329.82726,-6.99383,8715.52,5954.77,2.15,1.92,-85.0,-0.44,19.79,21.07,01a59052o0400o
493,59052.565483,-23.695,7.692,-1,9,o,0,1.37,329.82726,-6.99383,8698.23,6070.41,2.13,2.02,84.3,-0.457,19.79,21.12,01a59052o0422o
494,59058.446534,-19.859,0.238,-41,10,c,0,1.18,329.82726,-6.99383,6827.35,6118.61,2.89,2.61,37.5,-0.384,19.55,21.5,02a59058o0436c
495,59058.449736,-19.88,0.22,-40,9,c,0,1.39,329.82726,-6.99383,6850.04,6156.45,2.65,2.48,33.6,-0.394,19.66,21.59,02a59058o0443c
496,59058.455758,-19.847,0.228,-42,10,c,0,1.19,329.82726,-6.99383,6792.89,6078.18,2.91,2.67,35.4,-0.382,19.62,21.69,02a59058o0456c
497,59058.466367,-19.572,0.157,-54,8,c,0,1.4,329.82726,-6.99383,6775.25,6195.05,2.9,2.71,32.3,-0.382,19.58,21.72,02a59058o0479c
498,59059.402825,-21.057,0.923,-14,13,o,0,1.12,329.82726,-6.99383,6009.42,10171.58,2.26,1.92,-4.9,-0.364,19.32,20.24,01a59059o0359o
499,59059.408405,-21.051,0.877,-14,12,o,0,1.06,329.82726,-6.99383,5992.03,10133.42,2.21,1.88,-8.5,-0.373,19.37,20.27,01a59059o0371o
500,59059.428806,-21.787,1.442,-7,10,o,0,1.08,329.82726,-6.99383,6055.34,10210.62,2.18,1.83,-3.3,-0.37,19.43,20.37,01a59059o0414o
501,59059.434362,20.866,0.709,16,12,o,0,0.81,329.82726,-6.99383,6075.96,10093.76,2.21,1.84,-4.4,-0.367,19.43,20.41,01a59059o0426o
502,59060.41674,-20.521,0.57,-22,13,o,0,0.87,329.82726,-6.99383,8374.34,9133.69,2.22,1.87,-1.6,-0.373,19.34,20.12,01a59060o0386o
503,59060.417202,-22.7,3.914,-3,12,o,0,1.2,329.82726,-6.99383,8354.25,9094.73,2.25,1.84,1.8,-0.388,19.32,20.12,01a59060o0387o
504,59060.417351,-20.547,0.732,-22,16,o,0,1.02,329.82726,-6.99383,2215.32,1414.2,2.16,1.93,44.1,-0.448,19.17,19.96,02a59060o0387o
505,59060.417662,22.074,1.984,5,11,o,0,1.73,329.82726,-6.99383,8413.56,9172.83,2.28,1.85,2.8,-0.382,19.33,20.13,01a59060o0388o
506,59060.417808,-22.241,3.2,-5,15,o,0,1.13,329.82726,-6.99383,2234.93,1453.05,2.07,1.99,53.2,-0.454,19.21,19.97,02a59060o0388o
507,59060.418122,21.741,1.776,7,13,o,0,1.47,329.82726,-6.99383,8432.64,9055.55,2.23,1.84,3.4,-0.396,19.37,20.13,01a59060o0389o
508,59060.418265,-21.022,1.098,-14,16,o,0,1.39,329.82726,-6.99383,2175.77,1374.82,2.12,2.03,54.2,-0.448,19.19,19.97,02a59060o0389o
509,59060.418584,-22.112,2.593,-5,14,o,0,1.21,329.82726,-6.99383,8393.95,9114.29,2.27,1.87,1.2,-0.388,19.35,20.13,01a59060o0390o
510,59060.418723,-20.95,0.979,-15,15,o,0,0.96,329.82726,-6.99383,2156.66,1491.92,2.1,2.03,54.7,-0.45,19.18,19.97,02a59060o0390o
511,59060.419044,-22.864,5.167,-3,13,o,0,1.04,329.82726,-6.99383,8518.8,9053.72,2.25,1.85,1.3,-0.389,19.34,20.13,01a59060o0391o
512,59060.41918,-20.004,0.373,-36,14,o,0,0.91,329.82726,-6.99383,2195.39,1433.27,2.11,2.06,56.8,-0.443,19.2,19.97,02a59060o0391o
513,59060.419637,-20.535,0.651,-22,14,o,0,1.0,329.82726,-6.99383,2070.06,1493.51,2.06,2.01,50.6,-0.455,19.2,19.98,02a59060o0392o
514,59060.429674,22.91,4.061,2,10,o,0,1.5,329.82726,-6.99383,6013.48,10171.11,2.11,1.76,-6.5,-0.378,19.36,20.18,01a59060o0414o
515,59060.432452,-20.73,0.587,-18,11,o,0,1.48,329.82726,-6.99383,5994.01,10131.71,2.06,1.75,-11.0,-0.379,19.4,20.19,01a59060o0420o
516,59060.441284,-21.796,1.515,-7,10,o,0,1.39,329.82726,-6.99383,6053.98,10208.65,1.98,1.7,-3.1,-0.396,19.45,20.23,01a59060o0438o
517,59060.448674,22.537,3.694,4,13,o,0,0.68,329.82726,-6.99383,6075.48,10092.97,1.98,1.76,4.2,-0.386,19.46,20.28,01a59060o0454o
518,59060.505172,22.867,5.211,3,14,o,0,1.15,329.82726,-6.99383,8269.19,9042.76,2.69,2.13,40.7,-0.422,19.42,20.62,02a59060o0572o
519,59061.429213,-20.624,0.709,-20,14,o,0,1.11,329.82726,-6.99383,6823.21,6112.31,2.51,1.94,35.5,-0.421,19.11,19.74,02a59061o0415o
520,59061.431046,20.398,0.638,25,16,o,0,1.47,329.82726,-6.99383,6843.66,6151.64,2.49,1.9,34.1,-0.424,19.16,19.75,02a59061o0419o
521,59061.435619,-21.7,2.14,-8,16,o,0,1.41,329.82726,-6.99383,6784.83,6073.99,2.83,2.0,35.2,-0.411,19.1,19.77,02a59061o0429o
