Nested Sampling Global Log-Evidence           :   -0.173383826876529668E+02  +/-    0.463090443244250916E+00
Nested Importance Sampling Global Log-Evidence:   -0.224199615845700855E+02  +/-    0.438262743935646099E-01

Dim No.       Mean        Sigma
   1    0.117824647205875946E+00    0.336754405173136234E-01
   2   -0.346544444808200254E+02    0.177577488254364213E+01
   3    0.858338313146425835E+00    0.110493804925955008E+00
   4    0.128225356139884350E+01    0.231915121204142871E+00
   5    0.666548328290298645E-02    0.302438212974860936E-02
   6    0.202219922343681269E+01    0.628590303701271197E-01
   7   -0.171215060974902489E+01    0.407737903665086776E+00
   8   -0.253092874711265577E-01    0.507809772332841469E-01
   9   -0.402202145326607141E+01    0.182173039196996789E+01
  10   -0.259108080915744499E+00    0.127350310264443184E+00
  11   -0.140919480916900357E-01    0.134873344097907688E+00
  12   -0.249976985915696920E+00    0.197538493126610232E+00
  13   -0.194444948480573115E+00    0.749409120743224771E-01
  14   -0.105969884148107885E+01    0.540787124472094163E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.108704543462729591E+00
   2   -0.345755779876659375E+02
   3    0.888094002369597679E+00
   4    0.119246049800919995E+01
   5    0.722646339288617046E-02
   6    0.206253915649417330E+01
   7   -0.165581840096005384E+01
   8    0.372017776931445332E-01
   9   -0.418291128190599171E+01
  10   -0.319167422435417514E+00
  11    0.514166533200575773E-01
  12    0.397366832790428948E-01
  13   -0.235316863872879534E+00
  14   -0.102138889089726925E+01

MAP Parameters
Dim No.        Parameter
   1    0.108704543462729591E+00
   2   -0.345755779876659375E+02
   3    0.888094002369597679E+00
   4    0.119246049800919995E+01
   5    0.722646339288617046E-02
   6    0.206253915649417330E+01
   7   -0.165581840096005384E+01
   8    0.372017776931445332E-01
   9   -0.418291128190599171E+01
  10   -0.319167422435417514E+00
  11    0.514166533200575773E-01
  12    0.397366832790428948E-01
  13   -0.235316863872879534E+00
  14   -0.102138889089726925E+01
