Nested Sampling Global Log-Evidence           :   -0.344896986035638520E+02  +/-                         NaN
Nested Importance Sampling Global Log-Evidence:   -0.344999618498216094E+02  +/-    0.313161189545352889E-02

Dim No.       Mean        Sigma
   1    0.431590014856102835E-01    0.694857167237026532E-03
   2   -0.152659005530728553E+02    0.100218030984092238E+00
   3    0.793507937373891026E+00    0.411360115011733495E-02
   4    0.166104603242604387E+01    0.257743924702149218E-02
   5    0.111916061107113773E-01    0.467839623519524021E-04
   6    0.148285819794516893E+01    0.440647488100554853E-02
   7   -0.170642706188265136E+01    0.212035731437387687E+00
   8   -0.159031956403059588E+00    0.171184703560232931E-02
   9   -0.113283001689054030E+01    0.162050978416175551E+00
  10   -0.144344195669547648E+00    0.911015689975313084E-02
  11   -0.441807439687187734E-01    0.409729716425926652E-02
  12   -0.233065025238561513E+00    0.579911675674970890E-02
  13   -0.159175231723685445E+00    0.261101916653391341E-02
  14   -0.109357961892608202E+01    0.717355905396559364E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.429882298372625191E-01
   2   -0.152343526002432945E+02
   3    0.791305755156032076E+00
   4    0.166602526884873203E+01
   5    0.112115401161585193E-01
   6    0.147860998383173903E+01
   7   -0.135029779126495120E+01
   8   -0.161312283495834624E+00
   9   -0.104426661900642270E+01
  10   -0.146228939344239833E+00
  11   -0.416713147357232611E-01
  12   -0.228078659321938132E+00
  13   -0.162751085281627933E+00
  14   -0.109717573894004361E+01

MAP Parameters
Dim No.        Parameter
   1    0.431310599792470370E-01
   2   -0.152606401197115051E+02
   3    0.796852684621436547E+00
   4    0.166255431604652415E+01
   5    0.110928877667497393E-01
   6    0.148971331987954581E+01
   7   -0.137860337364393648E+01
   8   -0.157277651757833842E+00
   9   -0.129039833604221266E+01
  10   -0.145689175809015109E+00
  11   -0.387071716467442817E-01
  12   -0.237286469594155836E+00
  13   -0.161917269394506846E+00
  14   -0.110275703292131855E+01
