# MJD (average of the points included, after clipping)
# uJy (average of the points included after clipping)
# duJy (error on the average point after clipping)
# F (filter)
# n (number of points included in the stacked detection, after
# clipping)
MJD,uJy,duJy,F,n
59892.62,-10.00,15.62,o,2
59915.35,10.75,14.10,o,4
59921.08,38.75,26.16,o,4
59943.34,27.00,5.83,c,5
59945.02,40.25,6.03,o,4
59947.28,60.25,9.52,o,4
59953.00,49.50,18.71,o,4
59963.29,100.00,6.94,o,3
59964.59,100.67,7.70,o,3
59965.06,96.33,4.82,c,3
59968.40,98.50,7.71,o,4
59969.09,90.57,4.52,c,7
59971.29,108.75,5.91,o,4
59975.28,112.25,6.39,o,4
59976.94,128.25,11.46,o,4
59979.35,139.33,16.57,o,3
59986.31,150.00,19.18,o,4
59989.17,119.88,4.84,o,8
59990.25,120.33,8.54,o,3
59993.26,96.33,5.79,c,3
59994.23,97.50,5.13,c,4
59996.98,137.75,5.92,o,4
59998.23,99.00,5.97,c,3
60000.51,81.25,5.89,c,4
60002.29,93.00,7.43,c,2
60003.92,141.00,15.00,o,1
60005.07,142.20,9.98,o,5
60007.04,131.38,10.21,o,8
60014.26,104.50,12.02,o,4
60017.02,127.20,8.72,o,5
60018.17,122.00,8.52,o,4
60020.50,116.00,12.00,o,1
60020.98,94.00,7.43,c,2
60022.15,115.40,7.85,o,5
60024.82,109.00,5.12,o,6
60024.97,79.50,5.13,c,4
60026.14,109.50,7.03,o,4
60028.79,99.62,4.73,o,8
60030.14,111.50,7.64,o,4
60031.99,78.33,7.13,c,3
60032.76,79.00,4.94,c,5
60033.13,120.00,14.00,o,1
60034.44,107.43,7.06,o,7
60040.99,65.00,34.44,o,2
60043.06,102.88,8.76,o,8
60045.16,97.00,8.26,o,4
60048.14,50.00,6.49,c,6
60049.89,88.50,5.52,o,4
60051.14,67.25,6.41,c,4
60052.87,94.00,10.29,o,3
60054.13,53.00,4.51,c,4
60055.91,52.00,372.00,o,1
60057.12,62.25,6.39,c,4
60063.09,88.00,10.52,o,4
60068.97,112.67,27.28,o,6
60070.86,85.50,11.88,o,4
60072.98,84.38,6.80,o,8
60075.09,72.00,27.85,o,4
60082.78,53.50,5.50,c,4
60084.04,54.33,37.74,o,3
60088.80,59.00,10.90,o,4
60091.77,73.25,12.77,o,4
60096.93,44.50,47.69,o,6
60099.05,57.67,40.84,o,6
60100.79,99.50,61.87,o,2
60108.02,49.50,6.53,c,4
60111.00,39.25,6.30,c,4
60113.99,47.00,16.65,c,2
60118.73,59.00,15.41,o,3
60122.99,51.75,14.39,o,4
60126.30,72.00,16.13,o,6
60129.02,69.00,22.91,o,3
60130.98,60.20,12.64,o,5
60132.01,78.00,165.00,o,1
60139.99,73.00,21.00,o,1
60140.01,49.67,10.23,o,3
60291.65,19.00,7.35,o,3
60294.63,22.33,7.52,o,3
60296.59,21.50,7.19,c,4
60299.32,24.67,10.03,o,9
60301.08,27.00,7.37,o,4
60303.25,19.00,31.40,o,2
60304.53,39.50,12.40,o,4
60306.51,18.25,7.91,o,8
60308.53,13.75,11.39,o,4
60312.62,27.25,8.01,o,4
60314.86,31.71,5.64,o,7
60316.63,18.00,5.27,o,4
60319.29,10.00,7.02,o,7
60322.55,24.50,5.13,o,4
60324.55,25.75,5.04,o,4
60326.84,35.25,7.55,o,4
60328.60,25.75,5.00,o,4
60329.00,13.75,4.89,c,4
60331.27,35.25,9.76,o,4
60332.80,35.25,7.53,o,8
60335.23,30.50,29.13,o,2
60340.57,22.50,8.87,o,4
60342.94,15.86,9.31,o,7
60344.44,8.00,5.14,c,4
60346.92,23.00,6.27,o,8
60348.48,8.60,6.01,c,5
60349.02,15.25,5.53,o,8
60350.90,27.00,4.09,o,8
60352.45,20.75,5.63,c,4
60353.00,20.50,5.39,o,4
60355.22,16.33,7.16,o,3
60356.58,31.50,11.01,c,2
60357.00,30.50,5.51,o,4
60360.69,14.00,6.69,o,7
60368.83,23.29,14.40,o,7
60372.73,24.17,12.09,o,6
60377.09,6.00,5.86,c,5
60379.24,21.50,6.93,o,4
60381.01,13.00,5.39,c,4
60383.24,20.25,9.22,o,4
60384.95,13.75,4.39,c,4
60386.84,12.50,4.28,o,8
60388.72,10.25,6.95,o,8
60390.44,7.67,18.10,o,3
60396.46,1.33,14.44,o,3
60398.76,11.27,4.92,o,11
60400.40,3.00,6.37,c,3
60400.87,15.33,58.40,o,3
60402.48,16.33,5.59,o,3
60405.41,23.33,5.03,o,3
60408.39,11.67,4.24,o,3
60416.65,22.00,5.77,o,8
60424.64,4.50,9.91,o,8
60427.12,19.20,40.47,o,5
60428.65,13.88,5.62,o,8
60432.35,14.67,9.89,o,3
60432.84,-4.00,41.00,c,1
60435.11,8.00,109.32,o,2
60436.33,18.67,8.58,o,3
60436.84,5.33,6.37,c,3
60439.10,12.25,8.01,o,4
60440.34,4.50,8.85,o,2
60444.88,-14.33,65.28,o,3
60452.44,10.40,27.67,o,5
60454.36,6.50,18.20,o,2
60456.57,21.75,5.67,o,8
60458.31,4.00,12.36,o,3
60459.07,1.50,10.70,c,2
60460.31,20.75,7.33,o,4
60462.28,5.67,7.64,o,3
60463.03,10.00,6.73,c,2
