# MJD (average of the points included, after clipping)
# uJy (average of the points included after clipping)
# duJy (error on the average point after clipping)
# F (filter)
# n (number of points included in the stacked detection, after
# clipping)
MJD,uJy,duJy,F,n
59349.60,170.33,8.47,c,3
59351.60,213.25,8.05,o,4
59357.61,205.00,8.70,o,4
59359.56,205.00,17.49,o,4
59361.57,94.20,85.52,o,5
59367.60,192.50,8.39,o,4
59371.59,138.50,5.28,c,4
59373.58,185.50,7.27,o,4
59375.60,138.00,5.73,c,4
59377.58,180.00,6.68,o,4
59379.58,123.75,4.88,c,4
59383.59,119.00,10.82,c,2
59385.59,173.50,4.53,o,8
59387.54,178.75,29.11,o,4
59389.50,212.25,42.77,o,4
59395.55,166.75,8.01,o,4
59399.54,161.00,5.64,o,4
59403.51,172.25,10.96,o,4
59405.57,110.00,5.01,c,4
59407.51,160.00,11.80,o,2
59411.52,155.00,5.26,o,4
59413.52,114.75,5.65,c,4
59415.45,155.25,8.01,o,4
59423.55,141.00,12.34,o,3
59425.55,144.75,8.43,o,4
59427.47,146.75,5.91,o,4
59429.46,144.43,6.37,o,7
59431.45,99.00,4.27,c,4
59433.46,145.60,8.01,o,5
59435.44,93.75,3.55,c,8
59437.44,154.00,6.64,o,4
59439.44,93.12,3.46,c,8
59441.43,120.25,6.26,o,4
59443.43,123.20,6.56,o,5
59445.36,141.25,13.20,o,4
59451.41,116.80,10.91,o,5
59453.40,115.33,10.88,o,3
59455.39,124.67,4.94,o,6
59457.39,98.00,6.93,c,3
59461.43,82.50,5.26,c,4
59463.46,130.00,6.72,o,4
59465.45,100.75,5.41,c,4
59467.48,108.00,11.04,o,4
59471.38,115.75,9.92,o,4
59479.41,115.00,23.50,o,5
59481.38,114.75,10.76,o,4
59483.35,120.67,10.23,o,3
59485.35,113.50,6.89,o,4
59487.37,96.00,8.52,o,4
59489.35,108.25,5.76,o,4
59491.36,105.00,8.67,o,3
59493.33,120.62,5.50,o,8
59495.34,104.25,15.84,o,4
59501.31,124.75,11.89,o,4
59505.34,173.00,178.00,o,1
59509.29,126.00,15.55,o,4
59511.30,108.00,17.41,o,2
59513.28,75.75,5.90,c,4
59515.30,114.50,8.41,o,4
59517.33,81.25,5.51,c,4
59519.29,107.50,7.89,o,4
59523.28,106.33,6.15,o,6
59527.25,99.67,11.92,o,6
59529.25,121.75,12.34,o,4
59531.29,101.00,20.66,o,4
59535.27,95.00,19.06,o,3
59537.25,96.25,13.63,o,4
59539.28,91.67,23.10,o,3
59541.26,106.00,6.09,o,8
59543.27,92.25,8.26,o,4
59545.24,107.50,5.90,o,8
59547.24,97.00,12.55,o,4
59551.22,111.25,8.39,o,4
59559.21,97.33,16.94,o,3
59563.21,90.25,14.58,o,4
59565.23,87.75,14.62,o,4
59567.21,106.67,28.00,o,3
59569.20,88.67,10.71,o,3
59658.39,68.50,33.81,o,2
59667.15,30.50,38.36,c,4
59680.17,69.50,30.45,o,2
59688.12,48.29,8.49,o,7
59690.40,35.00,10.60,o,3
59693.42,20.60,37.64,o,5
59698.40,74.75,8.43,o,4
59701.40,60.25,33.70,o,4
59702.41,47.00,10.80,o,3
59705.41,27.67,20.01,o,3
59706.38,57.00,7.15,o,4
59709.39,60.75,6.76,o,4
59710.42,53.25,8.33,o,4
59717.35,61.00,10.42,o,4
59723.10,54.50,9.88,o,4
59724.82,35.89,4.52,o,9
59726.68,41.73,4.39,o,11
59731.11,49.00,5.66,o,4
59735.14,43.00,5.40,o,3
59736.05,41.25,5.00,o,4
59741.31,31.50,8.05,o,4
59742.93,24.75,88.57,o,4
59745.34,40.00,13.52,o,4
59767.09,37.75,5.76,o,4
59768.68,33.81,3.05,o,16
59772.80,39.36,11.84,o,11
59774.01,45.00,22.13,o,4
59781.31,38.00,15.51,o,2
59782.29,25.00,4.67,o,4
59785.30,11.25,24.10,o,8
59786.25,21.75,6.05,o,4
59789.31,20.00,3.14,c,8
59791.38,20.25,2.93,c,8
59793.29,20.00,4.82,c,3
59796.02,17.00,4.24,c,3
59797.19,23.00,5.64,o,4
59799.90,20.00,23.96,o,8
59801.17,70.75,24.82,o,4
59807.09,79.53,63.43,o,15
59809.24,12.38,5.43,o,8
59810.16,19.00,3.14,c,8
59811.97,8.75,5.56,o,4
59813.17,12.00,3.49,c,5
59814.22,12.00,3.29,c,8
59814.98,28.75,4.89,o,4
59818.13,14.75,4.32,c,4
59818.89,12.62,3.93,o,8
59820.11,17.86,7.20,o,7
59821.12,8.00,3.79,c,4
59822.21,23.25,3.88,c,4
59823.87,23.75,5.63,o,4
59825.22,12.50,3.63,c,4
59826.86,25.40,6.67,o,5
59828.01,34.00,12.75,o,2
59835.01,4.83,5.34,o,12
59841.18,24.25,5.68,o,4
59842.19,13.50,5.76,o,4
59843.92,17.50,5.12,c,8
59845.14,21.75,5.13,o,4
59846.03,12.12,7.14,c,8
59846.07,11.33,7.19,o,3
59849.16,8.67,5.26,o,3
59851.36,11.00,7.32,c,7
59853.14,8.67,5.77,o,3
59854.85,8.36,17.76,o,11
