# MJD (average of the points included, after clipping)
# uJy (average of the points included after clipping)
# duJy (error on the average point after clipping)
# F (filter)
# n (number of points included in the stacked detection, after
# clipping)
MJD,uJy,duJy,F,n
58331.54,21.50,448.00,c,2
58335.45,4.75,5.51,c,4
58337.46,-2.00,6.50,o,5
58339.45,-11.50,51.73,c,2
58341.42,-3.14,5.41,o,7
58343.43,5.57,3.86,c,7
58347.41,-3.50,4.05,o,8
58351.40,-13.50,9.14,o,4
58361.37,-4.75,6.14,o,8
58365.36,-4.75,8.14,o,4
58367.36,-5.00,5.78,o,4
58369.35,-13.14,8.14,o,7
58371.35,-7.25,5.01,o,4
58373.34,3.00,6.25,o,4
58375.37,1.33,6.77,c,3
58377.33,-8.50,7.75,o,4
58379.33,6.50,5.80,o,8
58383.32,26.00,22.18,o,3
58385.32,4.50,14.03,o,4
58386.81,-3.33,11.13,o,6
58389.31,14.00,9.89,o,4
58391.31,6.25,6.90,o,4
58393.31,-2.00,9.51,o,4
58395.34,4.12,8.15,c,8
58397.30,-19.50,9.02,o,4
58403.32,-7.00,5.89,c,4
58407.24,-23.57,17.15,o,7
58413.26,-24.62,9.82,o,8
58417.30,-31.75,18.82,o,4
58423.24,20.75,5.38,o,8
58431.26,186.75,5.65,c,4
58433.25,218.33,51.84,o,3
58435.24,255.50,7.56,c,4
58437.26,265.80,221.36,o,5
58451.25,287.00,11.84,o,3
58455.20,286.75,18.67,c,4
58459.20,266.67,12.81,c,3
58460.20,311.50,23.31,c,2
58461.20,237.25,19.17,o,4
58529.65,41.00,7.69,o,4
58569.64,23.50,28.16,o,2
58571.63,24.25,14.42,o,4
58573.63,31.00,14.19,o,3
58575.64,10.00,8.75,c,2
58577.62,5.67,7.33,o,3
58579.63,4.00,7.43,c,2
58581.62,6.75,8.99,o,4
58585.61,6.00,14.00,o,1
58587.60,9.00,13.00,o,1
58589.59,15.50,7.62,o,4
58597.59,1.75,9.41,o,4
58603.60,14.00,5.84,c,4
58605.59,-7.00,7.99,o,4
58607.61,1.25,8.91,c,4
58609.58,-0.75,6.63,o,4
58611.62,7.00,15.00,c,1
58613.54,1.00,7.95,o,3
58615.54,-7.75,5.39,o,4
58617.50,9.12,6.03,o,8
58619.54,13.75,6.38,o,4
58623.55,-10.00,29.00,o,1
58627.56,4.25,5.26,o,4
58629.54,5.25,7.57,o,4
58631.47,4.25,5.27,o,4
58633.44,8.67,28.51,o,3
58635.50,-2.50,5.14,c,4
58637.53,6.25,7.03,o,4
58639.48,1.00,20.00,c,1
58641.57,-2.50,6.64,o,4
58643.60,-5.67,5.97,o,3
58645.42,1.00,8.49,o,3
58647.46,-7.00,7.77,o,4
58649.45,-4.25,10.90,o,4
58655.40,24.67,90.46,o,3
58659.47,4.00,4.48,o,7
58663.43,3.29,3.20,c,7
58665.46,0.67,7.90,o,3
58667.53,-4.75,4.16,c,4
58671.34,-7.25,9.03,o,4
58674.59,-12.00,7.91,o,4
58677.49,-9.75,9.90,o,4
58679.41,3.25,11.43,o,4
58681.52,6.67,20.60,o,3
58685.40,8.33,9.43,o,3
58689.54,2.00,6.64,o,4
58691.42,2.50,3.76,c,4
58693.40,-11.00,6.42,o,4
58699.26,7.00,6.42,c,4
58701.43,-5.00,6.94,o,3
58703.43,-4.75,4.64,c,4
58705.34,-6.12,6.98,o,8
58707.50,16.75,13.58,c,4
58709.35,102.57,99.49,o,7
58711.38,-24.67,185.41,o,3
58713.38,-15.25,9.14,o,4
58719.37,10.50,5.01,o,4
58721.46,-5.50,5.78,o,4
58723.46,6.75,3.42,c,8
58727.37,-2.00,3.31,c,6
58733.29,-27.00,34.00,o,1
58737.34,11.50,8.91,o,4
58739.35,28.00,48.55,o,2
58743.24,28.50,32.79,o,4
58745.32,-7.50,4.42,o,4
58751.28,0.50,4.02,c,4
58755.25,-3.75,4.41,c,4
58757.26,-6.00,16.12,o,3
58761.36,-6.25,30.09,o,4
58765.25,-1.50,6.66,o,4
58769.32,-12.25,11.01,o,4
58771.34,13.25,18.21,o,4
58773.25,3.00,5.14,o,4
58775.25,-9.00,8.17,c,4
58777.29,-2.25,5.27,o,4
58779.27,11.25,4.39,c,4
58783.22,-16.00,9.00,c,1
58785.29,-5.50,7.31,o,4
58789.20,3.00,9.32,o,4
58803.22,-11.33,6.76,c,3
58817.19,7.00,10.44,o,8
58827.20,-36.00,26.32,o,2
58913.65,-2.50,5.74,o,4
58917.61,-17.50,11.51,o,4
