# MJD (average of the points included, after clipping)
# uJy (average of the points included after clipping)
# duJy (error on the average point after clipping)
# F (filter)
# n (number of points included in the stacked detection, after
# clipping)
MJD,uJy,duJy,F,n
59030.34,22.50,5.13,o,4
59032.32,20.75,7.89,o,4
59034.35,15.25,10.15,o,4
59036.35,2.88,6.10,o,8
59038.31,1.75,4.93,o,4
59040.32,0.38,2.93,c,8
59042.32,-3.00,5.14,o,4
59044.35,-10.00,6.36,c,2
59046.31,-11.33,19.09,o,3
59048.33,1.00,4.27,c,4
59050.30,6.67,4.62,o,3
59054.28,1.50,3.76,o,4
59058.31,4.00,5.66,o,4
59060.29,-6.25,7.36,o,4
59062.29,-7.75,8.04,o,4
59064.26,-16.00,8.63,o,4
59068.33,-3.00,9.92,o,2
59070.26,2.50,4.41,o,4
59072.26,9.00,5.14,c,4
59076.27,-13.00,4.24,c,8
59078.25,5.00,7.81,o,2
59080.25,4.75,7.76,c,4
59082.30,3.00,6.06,o,3
59084.24,0.50,7.69,o,4
59086.24,-5.00,9.91,o,4
59088.24,-8.75,9.31,o,4
59092.26,1.00,7.36,o,8
59100.25,-5.25,5.01,c,4
59104.24,5.75,5.28,c,4
59106.23,10.50,10.63,o,4
59108.26,6.25,5.51,c,4
59130.22,73.50,9.03,o,8
59190.64,193.50,11.91,o,4
59206.65,166.75,5.41,c,4
59214.62,176.50,10.58,o,4
59216.60,153.00,15.31,o,4
59222.66,168.25,8.81,o,4
59228.65,121.50,5.11,c,4
59238.61,104.25,3.65,c,4
59242.63,126.25,9.01,o,4
59244.62,124.75,10.57,o,4
59246.62,124.75,5.89,o,4
59250.65,110.00,5.89,o,4
59252.58,113.00,5.77,o,4
59254.63,72.25,4.71,c,4
59256.57,72.33,5.79,c,3
59258.61,69.50,4.63,c,4
59262.54,64.75,4.53,c,4
59270.53,74.50,8.01,o,4
59278.57,67.33,15.17,o,3
59288.56,35.25,4.29,c,4
59292.47,41.25,3.15,c,8
59294.55,52.00,3.76,o,4
59298.52,47.75,7.75,o,4
59300.52,50.50,86.18,o,2
59304.47,33.00,23.05,o,2
59306.58,52.50,6.39,o,4
59308.62,10.00,23.82,o,2
59310.47,25.50,3.76,c,4
59314.49,9.00,6.53,c,4
59318.48,24.75,4.02,c,4
59320.45,20.33,6.74,o,3
59322.44,25.75,3.76,c,4
59324.44,27.50,5.01,o,4
59326.44,43.00,7.82,o,4
59328.45,27.50,9.27,o,4
59330.49,44.00,21.03,o,6
59332.51,22.75,9.71,o,4
59334.46,31.75,4.69,o,8
59342.40,26.75,13.53,o,4
59344.39,17.00,4.02,c,4
59346.40,29.50,4.54,o,4
59350.39,21.75,4.39,o,4
59354.44,19.25,4.38,o,4
59356.48,32.50,8.02,o,4
59358.40,18.75,7.52,o,4
59360.40,32.00,13.02,o,3
59362.44,40.00,8.86,o,3
59364.45,13.75,6.20,o,4
59368.39,17.50,5.26,o,4
59370.38,13.17,2.87,c,6
59372.43,18.75,4.88,o,4
59374.37,12.50,2.48,c,8
59376.44,24.75,5.39,o,4
59378.38,18.50,3.13,c,4
59382.36,19.00,4.93,o,4
59384.34,22.50,11.72,o,2
59386.44,27.67,8.88,o,6
59388.38,20.50,11.52,o,4
59390.34,13.38,9.63,o,8
59392.34,21.50,7.37,o,4
59394.35,13.00,3.76,o,4
59398.33,10.00,4.48,o,3
59402.34,10.00,5.00,o,2
59404.31,8.25,3.88,c,4
59406.31,10.00,3.52,o,4
59408.31,11.75,3.88,c,4
59410.32,7.67,4.24,o,3
59412.32,8.00,7.16,o,3
59414.31,19.50,5.28,o,4
59416.29,-6.00,23.51,o,2
59418.32,-4.50,45.86,o,4
59420.30,3.50,7.66,o,4
59422.31,16.50,13.74,o,4
59424.29,5.25,4.38,o,4
59426.27,9.25,3.63,c,4
59430.28,1.00,3.38,c,4
59432.30,16.75,7.01,o,4
59434.28,7.50,3.88,c,4
59436.29,11.62,4.63,o,8
59440.25,11.14,5.55,o,7
59444.28,3.75,7.69,o,4
59446.24,3.00,9.96,o,4
59448.24,-23.75,16.10,o,4
59452.26,12.25,5.39,o,4
59458.25,1.75,7.15,o,4
59468.23,12.50,9.92,c,4
59486.23,-4.75,12.11,o,4
59492.22,5.33,15.07,o,3
59566.62,18.50,24.28,o,4
59590.60,-1.75,4.51,o,8
59592.61,1.25,5.30,c,4
59598.60,-9.00,14.25,o,3
59605.21,-1.57,4.77,o,7
59609.10,2.38,4.13,o,8
59613.57,5.50,5.78,o,4
59615.57,-3.00,5.13,c,4
59617.62,7.00,9.01,o,4
59619.63,-3.50,4.76,c,4
59621.55,-3.75,7.51,o,4
59623.59,4.75,6.26,o,8
59625.57,3.62,7.37,o,8
59627.12,-7.25,6.85,o,8
59629.54,-10.00,12.90,o,3
