         MJD         m       dm     uJy   duJy   F  err  chi/N       RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask
57429.337705 19.491430      NaN    13.0   15.0   c  0.0   1.01 92.76452 -22.2973  8248.01  4598.21 3.96 3.72  70.5 -0.423    19.55 21.60 02a57429o0284c 0xc00800
57430.307248 19.287255      NaN    10.0   20.0   c  0.0   0.86 92.76452 -22.2973  7192.98  5545.61 4.18 3.49  76.2 -0.415    19.36 21.43 02a57430o0197c 0xc00800
57430.322678 18.921935      NaN    38.0   20.0   c  0.0   0.92 92.76452 -22.2973  6922.62  4974.02 4.13 3.49  80.7 -0.409    19.42 21.50 02a57430o0222c 0xc00900
57430.338072 19.436675      NaN    10.0   17.0   c  0.0   1.21 92.76452 -22.2973  8118.48  4392.60 4.30 3.50  82.8 -0.392    19.45 21.56 02a57430o0247c 0xc00800
57430.353485 19.631075      NaN   -11.0   17.0   c  0.0   1.27 92.76452 -22.2973  8378.74  4666.02 4.36 3.52  85.9 -0.388    19.41 21.52 02a57430o0272c 0xc00800
57453.284680 19.454622      NaN     3.0   19.0   c  0.0   1.04 92.76452 -22.2973  7488.83  5897.74 4.09 3.68  79.4 -0.462    19.44 21.42 02a57453o0135c 0xc00800
57453.301573 19.631075      NaN    -1.0   17.0   c  0.0   0.86 92.76452 -22.2973  7206.71  5319.87 3.98 3.64  80.8 -0.469    19.48 21.45 02a57453o0169c 0xc00800
57453.317861 19.334813      NaN    13.0   18.0   c  0.0   0.78 92.76452 -22.2973  8361.36  4735.30 4.01 3.67  72.9 -0.462    19.50 21.47 02a57453o0202c 0xc00800
57453.334049 19.401649      NaN    15.0   16.0   c  0.0   1.32 92.76452 -22.2973  8364.62  4679.53 4.01 3.60  77.7 -0.460    19.48 21.44 02a57453o0235c 0xc00800
57457.273605 19.334813      NaN     7.0   20.0   c  0.0   0.84 92.76452 -22.2973  7541.08  5846.16 4.26 3.80  78.2 -0.489    19.42 21.48 02a57457o0136c 0xc00800
57457.292164 19.510313      NaN    -4.0   19.0   c  0.0   0.93 92.76452 -22.2973  7261.61  5265.21 4.11 3.80  83.0 -0.483    19.47 21.54 02a57457o0173c 0xc00800
57457.332430 19.302877      NaN     9.0   20.0   c  0.0   0.89 92.76452 -22.2973  8367.60  4679.89 4.17 3.84  70.7 -0.474    19.47 21.54 02a57457o0241c 0xc00800
57461.259929 17.334149      NaN   -81.0  141.0   c  0.0   0.82 92.76452 -22.2973  7489.07  5940.02 4.09 3.63  78.9 -0.499    17.10 18.18 02a57461o0102c 0xc00800
57461.277306 18.826541      NaN    32.0   25.0   c  0.0   0.80 92.76452 -22.2973  7206.61  5358.75 4.00 3.68  80.6 -0.487    19.04 20.61 02a57461o0137c 0xc00900
57461.294482 17.647352      NaN    74.0   81.0   c  0.0   0.97 92.76452 -22.2973  8360.93  4775.22 4.04 3.63  77.6 -0.485    17.65 18.79 02a57461o0172c 0xc00900
57461.311154 17.918258      NaN    58.0   63.0   c  0.0   1.00 92.76452 -22.2973  8365.09  4680.13 3.90 3.47  75.3 -0.500    17.45 18.82 02a57461o0206c 0xc00900
57481.235998 19.051202      NaN    15.0   24.0   c  0.0   1.10 92.76452 -22.2973  7392.80  5859.04 4.10 3.63  79.1 -0.492    18.97 20.52 02a57481o0064c 0xc00800
57481.248068 19.454622      NaN   -26.0   20.0   c  0.0   0.97 92.76452 -22.2973  7111.22  5280.90 3.96 3.54  81.4 -0.496    19.27 21.06 02a57481o0088c 0xc00800
57481.262031 19.256669      NaN    12.0   20.0   c  0.0   1.19 92.76452 -22.2973  8281.71  4692.56 4.03 3.51  77.9 -0.492    19.25 21.00 02a57481o0116c 0xc00800
57481.276817 19.115465      NaN    19.0   21.0   c  0.0   1.32 92.76452 -22.2973  8357.87  4673.41 4.08 3.55  77.8 -0.481    19.16 20.86 02a57481o0146c 0xc00800
57687.586168 19.241693      NaN    16.0   19.0   c  0.0   0.78 92.76452 -22.2973  8754.21  7094.70 3.70 3.36 -79.4 -0.437    19.44 21.17 02a57687o0801c 0xc00800
57687.600743 19.226921      NaN    26.0   16.0   c  0.0   1.17 92.76452 -22.2973  8733.33  7058.14 3.61 3.26 -72.3 -0.422    19.48 21.19 02a57687o0829c 0xc00800
57687.614957 19.569016      NaN    -4.0   18.0   c  0.0   0.82 92.76452 -22.2973  8786.63  7135.49 3.68 3.35 -75.1 -0.439    19.47 21.21 02a57687o0856c 0xc00800
57687.627266 19.510313      NaN   -15.0   19.0   c  0.0   0.78 92.76452 -22.2973  8809.14  7019.50 3.72 3.35 -78.3 -0.444    19.47 21.20 02a57687o0880c 0xc00800
57687.642139 19.510313      NaN   -16.0   19.0   c  0.0   1.29 92.76452 -22.2973  8775.83  7082.05 3.65 3.27 -73.5 -0.424    19.22 20.70 02a57687o0910c 0xc00800
57691.587306 19.529530      NaN    11.0   15.0   c  0.0   1.02 92.76452 -22.2973  7444.14  4820.56 3.95 3.67  84.9 -0.376    19.56 21.49 02a57691o0377c 0xc00800
57691.601768 19.569016      NaN     3.0   17.0   c  0.0   0.72 92.76452 -22.2973  7426.31  4784.50 3.95 3.69  87.8 -0.377    19.54 21.47 02a57691o0405c 0xc00800
57691.616174 19.549093      NaN     7.0   16.0   c  0.0   0.87 92.76452 -22.2973  7480.99  4862.36 4.14 3.88  86.2 -0.367    19.45 21.39 02a57691o0433c 0xc00800
57691.630538 19.334813      NaN    10.0   19.0   c  0.0   0.72 92.76452 -22.2973  7520.42  4745.80 4.11 3.89  84.0 -0.370    19.44 21.36 02a57691o0461c 0xc00800
57691.644403 19.256669      NaN   -17.0   24.0   c  0.0   0.86 92.76452 -22.2973  7468.08  4806.88 4.10 3.87  84.4 -0.367    19.12 20.71 02a57691o0488c 0xc00800
57699.586967 19.302877      NaN   -17.0   23.0   c  0.0   0.92 92.76452 -22.2973  8016.02  7140.04 3.58 3.28 -76.8 -0.449    19.13 20.81 02a57699o0781c 0xc00800
57699.601308 18.967180      NaN    31.0   21.0   c  0.0   0.92 92.76452 -22.2973  7997.68  7101.99 3.57 3.28 -77.0 -0.462    19.32 21.04 02a57699o0809c 0xc00900
57699.615764 19.271854      NaN    17.0   18.0   c  0.0   0.84 92.76452 -22.2973  8052.19  7179.30 3.58 3.27 -78.4 -0.452    19.48 21.20 02a57699o0837c 0xc00800
