Nested Sampling Global Log-Evidence           :   -0.789675734796117865E+02  +/-    0.524909374221240621E+00
Nested Importance Sampling Global Log-Evidence:   -0.843932509834804279E+02  +/-    0.201076304730529620E+00

Dim No.       Mean        Sigma
   1    0.536528267082985316E-01    0.283833136101320320E-01
   2   -0.205080659508905718E+02    0.171683567926441016E+01
   3    0.976415384439391576E+00    0.470747366251910715E-01
   4    0.146051080219537321E+01    0.125197312416656714E+00
   5    0.497429738586168280E-02    0.262399236745311125E-02
   6    0.165754483593960056E+01    0.517847577798420874E-01
   7   -0.170294732175906516E+01    0.424282127972859635E+00
   8   -0.130607944315406371E+00    0.543449817261521528E-01
   9   -0.867148338656151019E+01    0.184961368940137239E+01
  10   -0.233675259495955218E+00    0.846047470944268215E-01
  11   -0.176768048180700993E+00    0.135622724394273225E+00
  12   -0.900813001812579284E-01    0.249515219382907494E+00
  13    0.122324481163303897E+00    0.658028875728368517E-01
  14   -0.107157585872535144E+01    0.669301938893425569E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.969091882424289452E-01
   2   -0.177228259775966279E+02
   3    0.103209152276191829E+01
   4    0.172107276734529147E+01
   5    0.735083794151575494E-02
   6    0.149909412729431857E+01
   7   -0.193772711072572923E+01
   8   -0.183937572626010459E+00
   9   -0.115325462168902639E+02
  10   -0.326881240583503541E+00
  11   -0.776439332169751167E-01
  12    0.225684663715860129E+00
  13    0.387164576710171626E+00
  14   -0.111213364901137068E+01

MAP Parameters
Dim No.        Parameter
   1    0.969091882424289452E-01
   2   -0.177228259775966279E+02
   3    0.103209152276191829E+01
   4    0.172107276734529147E+01
   5    0.735083794151575494E-02
   6    0.149909412729431857E+01
   7   -0.193772711072572923E+01
   8   -0.183937572626010459E+00
   9   -0.115325462168902639E+02
  10   -0.326881240583503541E+00
  11   -0.776439332169751167E-01
  12    0.225684663715860129E+00
  13    0.387164576710171626E+00
  14   -0.111213364901137068E+01
