Nested Sampling Global Log-Evidence           :   -0.102367676720271975E+05  +/-                         NaN
Nested Importance Sampling Global Log-Evidence:   -0.102372097503341465E+05  +/-    0.522761703046504683E-01

Dim No.       Mean        Sigma
   1    0.499933260656835299E+00    0.932629830088926277E-05
   2    0.178999424178589699E+02    0.130176795380213765E-01
   3   -0.408657449952563034E+00    0.136211913997890503E-01
   4    0.184655725966560968E+01    0.227717009169111137E-03
   5    0.359934560173541955E-05    0.102615150165241141E-05
   6    0.149929454731573686E+01    0.181830968817908766E-02
   7   -0.180454899439499505E+01    0.100952444222966578E+00
   8    0.695051593912487109E-01    0.722100322586811364E-03
   9    0.396792345060482388E+00    0.191395720612151654E+00
  10   -0.122875876739464027E+00    0.113114338552160382E+00
  11   -0.261011928943127192E+00    0.166539633973874167E-02
  12   -0.157915803315446496E+00    0.107667272167239578E+00
  13    0.236789276164665413E+00    0.375545677879342895E-02
  14   -0.106797932435214071E+01    0.106119234764837558E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.499950650413463482E+00
   2    0.179076952825107050E+02
   3   -0.404962316850967841E+00
   4    0.184613344160065940E+01
   5    0.613509517554711965E-06
   6    0.149903865097771005E+01
   7   -0.181157742730280669E+01
   8    0.685959490261655869E-01
   9    0.276833217435508594E+00
  10   -0.141721708759842135E-01
  11   -0.261472619350423430E+00
  12   -0.253968422048717779E+00
  13    0.236550942756840410E+00
  14   -0.106714032810022141E+01

MAP Parameters
Dim No.        Parameter
   1    0.499941396559730633E+00
   2    0.178849825597978054E+02
   3   -0.399981894407124505E+00
   4    0.184648478598291632E+01
   5    0.614516198007725934E-05
   6    0.149828646804263221E+01
   7   -0.196711767808607441E+01
   8    0.691155633856575802E-01
   9    0.358348358037480663E+00
  10   -0.143537480120266292E+00
  11   -0.259877527242862449E+00
  12   -0.306746059612517774E+00
  13    0.235259049703885142E+00
  14   -0.107407425785319766E+01
