         MJD         m       dm    uJy   duJy F  err  chi/N        RA     Dec        x        y   maj   min   phi  apfit  mag5sig   Sky            Obs   __tmp_SN
57323.624822 18.396507      NaN     24     45 o    0   1.06 142.43168 3.07271  3379.03  4180.42  4.37  3.62 -33.0 -0.490    18.26 19.25 02a57323o0662o   0.533333
57388.614202 19.256669      NaN      6     22 o    0   1.20 142.43168 3.07271  7640.73  6179.20  3.52  3.09  87.8 -0.478    18.99 20.45 02a57388o0667o   0.272727
57388.633731 19.089302      NaN    -38     28 o    0   0.75 142.43168 3.07271  7928.99  6761.73  3.59  3.18  86.4 -0.473    18.92 20.36 02a57388o0698o  -1.357143
57388.650059 19.076453      NaN      4     27 o    0   0.96 142.43168 3.07271  7057.23  5596.90  3.52  3.33 -89.0 -0.468    18.88 20.28 02a57388o0724o   0.148148
57388.666235 18.978793      NaN    -23     31 o    0   1.10 142.43168 3.07271  6762.45  7338.92  3.69  3.46 -89.9 -0.458    18.58 19.82 02a57388o0750o  -0.741935
57408.462609 18.878500      NaN    -26     34 o    0   0.84 142.43168 3.07271  3693.69  3951.10  3.75  3.52 -43.0 -0.429    18.59 19.60 02a57408o0445o  -0.764706
57408.498054 18.978793      NaN    -13     31 o    0   1.10 142.43168 3.07271  6775.57  6168.19  3.42  3.13  88.8 -0.465    18.63 19.62 02a57408o0497o  -0.419355
57408.506642 18.776955      NaN     10     34 o    0   1.11 142.43168 3.07271  3102.63  3377.10  3.79  3.46 -33.4 -0.445    18.63 19.61 02a57408o0509o   0.294118
57408.538638 18.857417      NaN     11     31 o    0   1.20 142.43168 3.07271  7935.31  5596.65  3.47  3.09  88.0 -0.465    18.64 19.64 02a57408o0555o   0.354839
57444.470345 18.693037      NaN     25     32 o    0   1.09 142.43168 3.07271  7273.66  6585.41  3.87  3.55 -87.4 -0.472    18.54 19.71 02a57444o0202o   0.781250
57444.534542 18.684100      NaN     17     35 o    0   1.04 142.43168 3.07271  7881.87  5587.01  3.74  3.23  87.3 -0.464    18.46 19.46 02a57444o0248o   0.485714
57445.450508 19.169763      NaN    -32     26 o    0   1.08 142.43168 3.07271  6747.88  6848.86  3.49  3.03 -89.7 -0.484    18.91 20.14 02a57445o0490o  -1.230769
57445.472807 18.878500      NaN     27     25 o    0   1.15 142.43168 3.07271  6458.77  6271.78  3.49  3.10 -86.7 -0.479    18.87 20.07 02a57445o0531o   1.080000
57445.495028 19.212347      NaN    -11     25 o    0   1.38 142.43168 3.07271  7620.71  5698.22  3.53  3.08  87.1 -0.462    18.83 19.99 02a57445o0572o  -0.440000
57445.517301 19.026525      NaN     11     26 o    0   1.01 142.43168 3.07271  7875.97  5584.88  3.57  3.10  87.8 -0.473    18.75 19.89 02a57445o0613o   0.423077
57464.401119 19.038793      NaN      4     28 o    0   1.35 142.43168 3.07271  6784.61  6450.47  3.65  3.02  89.9 -0.484    18.71 19.99 02a57464o0396o   0.142857
57464.422403 18.757738      NaN     18     32 o    0   1.02 142.43168 3.07271  6495.97  5870.79  3.65  3.23 -85.7 -0.461    18.67 19.96 02a57464o0438o   0.562500
57464.444613 18.967180      NaN      7     29 o    0   1.28 142.43168 3.07271  7656.97  5298.94  3.76  3.24  86.9 -0.472    18.65 19.92 02a57464o0481o   0.241379
