         MJD         m       dm     uJy   duJy F  err   chi/N        RA     Dec        x        y   maj   min   phi  apfit  mag5sig   Sky            Obs     Mask
57499.363688 18.243872      NaN      21     54 o    0    0.79 142.43975 3.07604  7198.43  6416.42  3.86  3.04 -89.6 -0.491    18.12 18.82 02a57499o0284o 0xc00800
57499.376734 18.417189      NaN     -62     52 o    0    1.25 142.43975 3.07604  7256.52  6493.82  3.80  2.96  89.1 -0.502    18.09 18.75 02a57499o0310o 0xc00900
57499.389426 18.356290      NaN     -82     55 o    0    1.16 142.43975 3.07604  7275.56  6378.13  3.80  3.02  89.4 -0.496    18.03 18.67 02a57499o0335o 0xc00800
57501.239657 18.944322      NaN     -33     32 o    0    1.27 142.43975 3.07604  7226.79  6427.34  4.05  3.55  78.7 -0.487    18.57 19.71 02a57501o0061o 0xc00900
57501.251281 18.298627      NaN      60     38 o    0    0.96 142.43975 3.07604  7205.97  6394.28  4.07  3.50  82.8 -0.518    18.51 19.65 02a57501o0077o 0xc00900
57501.265920 18.816441      NaN     -66     36 o    0    1.19 142.43975 3.07604  7263.23  6478.79  4.10  3.36  84.0 -0.525    18.47 19.58 02a57501o0095o 0xc00900
57501.282365 18.757738      NaN     -49     38 o    0    1.36 142.43975 3.07604  7280.57  6369.37  4.20  3.22  87.4 -0.521    18.35 19.40 02a57501o0113o 0xc00800
57505.325374 19.169763      NaN     -34     26 o    0    0.87 142.43975 3.07604  7228.60  6455.16  3.84  3.31  89.3 -0.469    19.02 20.59 02a57505o0203o 0xc00800
57505.335683 19.226921      NaN       5     23 o    0    0.84 142.43975 3.07604  7268.82  6416.33  3.88  3.41  88.5 -0.464    19.00 20.56 02a57505o0223o 0xc00800
57505.346973 19.351140      NaN       6     20 o    0    1.38 142.43975 3.07604  7210.53  6397.12  3.84  3.40  86.3 -0.461    19.04 20.63 02a57505o0245o 0xc00800
57505.360440 19.051202      NaN      18     23 o    0    0.92 142.43975 3.07604  7287.80  6474.96  3.85  3.35  86.5 -0.463    19.00 20.59 02a57505o0271o 0xc00800
57505.374883 19.212347      NaN     -12     25 o    0    1.08 142.43975 3.07604  7190.16  6493.49  3.78  3.30  88.1 -0.461    18.80 20.18 02a57505o0299o 0xc00800
57525.280917 18.504094      NaN     -53     48 o    0    1.49 142.43975 3.07604  8316.91  5686.50  4.21  3.39  85.7 -0.575    17.64 18.91 02a57525o0120o 0xc00800
57525.293553 18.623526      NaN      -5     43 o    0    1.03 142.43975 3.07604  8330.03  5571.12  4.16  3.15  87.5 -0.529    18.36 19.33 02a57525o0142o 0xc00800
57525.306169 18.459772 0.318483     150     44 o    0    0.96 142.43975 3.07604  8294.74  5627.00  4.04  3.14  85.4 -0.506    18.33 19.25 02a57525o0165o 0xc00900
57736.543009 18.623526      NaN     -50     43 o    0    1.24 142.43975 3.07604  3380.07  5555.87  3.71  3.61  75.9 -0.437    18.38 19.11 02a57736o0666o 0xc00800
57736.555497 18.675237      NaN      -2     41 o    0    1.04 142.43975 3.07604  3396.37  5595.16  3.59  3.52  83.0 -0.436    18.43 19.14 02a57736o0689o 0xc00800
57736.568081 18.550302      NaN    -118     46 o    0    0.96 142.43975 3.07604  3337.83  5517.77  3.93  3.81  72.4 -0.419    18.34 19.16 02a57736o0713o 0xc00900
57736.579965 18.702047      NaN     -42     40 o    0    1.15 142.43975 3.07604  3317.57  5635.06  3.63  3.55  74.3 -0.434    18.43 19.18 02a57736o0735o 0xc00800
57764.512967 15.143932      NaN   -1170   1060 o    0    2.02 142.43975 3.07604  7148.03  7711.41 13.04  3.55  -7.4 -0.264    16.41 16.09 02a57764o0612o 0xc00802
57764.522919 16.943818      NaN     -23    202 o    0    0.90 142.43975 3.07604  3371.45  2769.61  3.65  3.62 -22.6 -0.403    16.97 16.85 02a57764o0630o 0xc00802
57764.545082 17.283991      NaN      62    127 o    0    1.42 142.43975 3.07604  7183.40  7753.21  3.32  3.15 -58.8 -0.512    17.95 18.29 02a57764o0670o 0xc00800
57764.556596 18.249822      NaN      47     45 o    0    1.34 142.43975 3.07604  7202.21  7639.28  3.31  3.10 -61.8 -0.440    18.40 19.02 02a57764o0690o 0xc00800
57764.577921 17.281543      NaN     -64    148 o    0    2.43 142.43975 3.07604  7170.46  7700.98  3.78  3.44  -1.5 -0.480    17.44 17.76 02a57764o0728o 0xc00800
57768.560944 16.196632      NaN    -482    402 o    0    1.89 142.43975 3.07604  7981.50  5801.13  3.83  3.50  87.2 -0.586    16.91 17.22 02a57768o0694o 0xc00802
57768.576459 18.208845      NaN     -53     63 o    0    1.26 142.43975 3.07604  7965.30  5764.32  3.83  3.53 -87.9 -0.418    18.02 18.69 02a57768o0721o 0xc00800
57768.588541 18.125925      NaN      24     60 o    0    1.68 142.43975 3.07604  8029.24  5841.88  3.70  3.35 -87.5 -0.443    18.07 18.69 02a57768o0743o 0xc00800
57768.609572 18.226218      NaN     -48     62 o    0    1.48 142.43975 3.07604  8049.24  5723.74  3.69  3.33 -88.0 -0.449    18.05 18.65 02a57768o0786o 0xc00800
57768.613483 18.243872      NaN     -86     61 o    0    1.67 142.43975 3.07604  8007.80  5778.64  3.77  3.42 -89.5 -0.427    18.02 18.64 02a57768o0794o 0xc00900
57788.501825 19.569016      NaN      -3     18 o    0    1.13 142.43975 3.07604  5574.54  7994.37  3.45  3.35  82.7 -0.469    19.40 21.00 02a57788o0560o 0xc00800
57788.514230 19.271854      NaN      14     19 o    0    0.87 142.43975 3.07604  5556.59  7953.36  3.42  3.32 -88.4 -0.471    19.43 21.05 02a57788o0581o 0xc00800
57788.529091 19.436675      NaN       1     20 o    0    0.93 142.43975 3.07604  5618.28  8031.98  3.49  3.46 -11.9 -0.461    19.39 21.05 02a57788o0611o 0xc00800
57788.552477 19.454622      NaN      -5     20 o    0    0.86 142.43975 3.07604  5639.82  7913.03  3.61  3.50  -0.7 -0.451    19.38 21.08 02a57788o0654o 0xc00800
57788.557298 19.609992      NaN       4     16 o    0    1.48 142.43975 3.07604  5600.46  7968.84  3.43  3.40 -85.6 -0.464    19.41 21.05 02a57788o0664o 0xc00800
57800.481631 19.115465      NaN      13     23 o    0    1.11 142.43975 3.07604  5418.19  7511.37  3.41  3.34  88.4 -0.469    19.05 20.30 02a57800o0352o 0xc00800
57800.496938 18.403357      NaN      26     44 o    0    0.99 142.43975 3.07604  1886.89  2643.38  4.30  4.08 -81.4 -0.547    18.53 20.01 01a57800o0510o 0xc00800
57800.498967 19.256669      NaN      -8     24 o    0    1.21 142.43975 3.07604  5399.78  7472.14  3.39  3.36 -84.0 -0.472    19.01 20.23 02a57800o0384o 0xc00800
57800.511210 18.649074      NaN     -33     42 o    0    0.94 142.43975 3.07604  1905.95  2681.92  4.23  3.97 -81.8 -0.555    18.58 20.02 01a57800o0537o 0xc00800
57800.516327 19.169763      NaN     -58     26 o    0    1.04 142.43975 3.07604  5458.97  7549.46  3.35  3.31 -61.3 -0.481    18.98 20.16 02a57800o0416o 0xc00800
57800.526220 18.558199      NaN      26     37 o    0    1.12 142.43975 3.07604  1849.54  2602.80  4.39  4.13 -83.3 -0.529    18.53 20.01 01a57800o0565o 0xc00800
57800.532799 19.155932      NaN       1     26 o    0    0.96 142.43975 3.07604  5483.03  7430.02  3.40  3.35 -19.4 -0.473    18.91 20.06 02a57800o0446o 0xc00800
57800.549261 18.921935      NaN       8     30 o    0    1.11 142.43975 3.07604  5445.54  7486.10  3.55  3.39   4.4 -0.465    18.83 19.98 02a57800o0476o 0xc00800
57802.274728 18.261819      NaN      45     45 o    0    1.05 142.43975 3.07604  6980.61  6711.49  3.55  3.46 -83.2 -0.653    18.52 20.04 01a57802o0076o 0xc00800
57802.284343 18.623526      NaN      -6     43 o    0    1.26 142.43975 3.07604  7558.98  6127.60  3.52  3.41  82.5 -0.654    18.60 20.18 01a57802o0094o 0xc00800
57802.290570 19.384550      NaN       4     20 o    0    0.98 142.43975 3.07604  3544.35  3772.68  3.65  3.52  86.9 -0.419    19.23 20.72 02a57802o0106o 0xc00800
57802.294095 18.684100      NaN      14     36 o    0    1.24 142.43975 3.07604  6689.40  5840.36  3.63  3.55  81.8 -0.642    18.67 20.35 01a57802o0112o 0xc00800
57802.300397 19.510313      NaN     -11     19 o    0    0.93 142.43975 3.07604  2963.40  4352.17  3.65  3.50  79.9 -0.426    19.27 20.80 02a57802o0124o 0xc00800
57802.304120 18.267867      NaN      47     44 o    0    1.08 142.43975 3.07604  7858.37  6995.74  4.14  3.77  89.4 -0.615    18.68 20.53 01a57802o0130o 0xc00800
57802.310414 19.569016      NaN      -3     18 o    0    0.94 142.43975 3.07604  3833.51  4647.22  3.64  3.49  83.7 -0.415    19.32 20.89 02a57802o0142o 0xc00800
57802.313708 18.729535      NaN       9     36 o    0    1.28 142.43975 3.07604  6409.78  7289.32  3.87  3.72 -80.4 -0.606    18.74 20.60 01a57802o0147o 0xc00800
57802.320880 19.436675      NaN      13     16 o    0    1.23 142.43975 3.07604  2675.88  3481.64  3.70  3.53  85.0 -0.418    19.37 20.99 02a57802o0160o 0xc00900
