Nested Sampling Global Log-Evidence           :   -0.894352725245637536E+01  +/-    0.292277226446755856E+00
Nested Importance Sampling Global Log-Evidence:   -0.122578737530838175E+02  +/-    0.810700975163693105E+00

Dim No.       Mean        Sigma
   1    0.850084781367935333E-01    0.345207776778380382E-01
   2   -0.134166995092548600E+02    0.576188689275698973E+01
   3    0.755327299567795984E+00    0.251623841805209691E+00
   4    0.152378792295276222E+01    0.404634654984428688E+00
   5    0.965113701516471037E-02    0.319458594948348728E-02
   6    0.192820034855398514E+01    0.301295620639580486E+00
   7   -0.171515495597605594E+01    0.416950368081352496E+00
   8   -0.274397151059480975E-01    0.426742270960964454E-01
   9   -0.913134469012803818E+00    0.361363539472797601E+01
  10   -0.143865703847204596E+00    0.153347698897138673E+00
  11   -0.634435171396248859E-01    0.149313871658892899E+00
  12   -0.368015242356893091E+00    0.184314377247595418E+00
  13    0.438481391793873500E-02    0.189181091148187097E+00
  14   -0.106391896027178912E+01    0.520494439607110185E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.766592310353388651E-01
   2   -0.130833349658888736E+02
   3    0.518195107169717506E+00
   4    0.112847981278162512E+01
   5    0.109476458643488397E-01
   6    0.207506674448229056E+01
   7   -0.139845676415374798E+01
   8    0.108480112354575747E-01
   9    0.543853166082268125E+01
  10   -0.242220958428915306E+00
  11    0.583884884836288684E-01
  12   -0.112966605524277022E+00
  13    0.763719675434351708E-01
  14   -0.107293360200077670E+01

MAP Parameters
Dim No.        Parameter
   1    0.766592310353388651E-01
   2   -0.130833349658888736E+02
   3    0.518195107169717506E+00
   4    0.112847981278162512E+01
   5    0.109476458643488397E-01
   6    0.207506674448229056E+01
   7   -0.139845676415374798E+01
   8    0.108480112354575747E-01
   9    0.543853166082268125E+01
  10   -0.242220958428915306E+00
  11    0.583884884836288684E-01
  12   -0.112966605524277022E+00
  13    0.763719675434351708E-01
  14   -0.107293360200077670E+01
