Nested Sampling Global Log-Evidence           :   -0.140190157860923193E+03  +/-    0.634087594487960371E+00
Nested Importance Sampling Global Log-Evidence:   -0.146438942650669247E+03  +/-    0.346313002654658544E-01

Dim No.       Mean        Sigma
   1    0.123251199473110126E+00    0.261637846104556433E-01
   2   -0.906639441496873033E+01    0.125734936537148245E+01
   3    0.890605741714326826E+00    0.324814189347757271E-01
   4    0.972788305572015455E+00    0.228720454288149772E+00
   5    0.955619176658992209E-02    0.380653198830825830E-02
   6    0.165722117393166535E+01    0.170340425937926775E-01
   7   -0.175065764152535697E+01    0.452607474881373539E+00
   8    0.411014463440951550E-01    0.296554643226672604E-01
   9    0.449865005289092831E-01    0.128820425460210997E+01
  10   -0.321554199238164584E-01    0.343984479838580909E-01
  11   -0.144303071242227483E-01    0.114335155242442588E+00
  12   -0.212622230772992693E+00    0.207230285636135270E+00
  13   -0.155304583845330219E+00    0.200155567679757042E-01
  14   -0.105826962504192257E+01    0.468561647087807551E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.134491187580322691E+00
   2   -0.844565499563593214E+01
   3    0.916291345671866986E+00
   4    0.818464467826718223E+00
   5    0.707470669159951555E-02
   6    0.164602357677484767E+01
   7   -0.126026051425083319E+01
   8    0.525964184032411408E-01
   9    0.455069943702652413E+00
  10   -0.206195637809415688E-01
  11    0.176179275755022555E-01
  12   -0.313527525500516768E+00
  13   -0.151769219500468538E+00
  14   -0.109759816237780661E+01

MAP Parameters
Dim No.        Parameter
   1    0.134491187580322691E+00
   2   -0.844565499563593214E+01
   3    0.916291345671866986E+00
   4    0.818464467826718223E+00
   5    0.707470669159951555E-02
   6    0.164602357677484767E+01
   7   -0.126026051425083319E+01
   8    0.525964184032411408E-01
   9    0.455069943702652413E+00
  10   -0.206195637809415688E-01
  11    0.176179275755022555E-01
  12   -0.313527525500516768E+00
  13   -0.151769219500468538E+00
  14   -0.109759816237780661E+01
