         MJD         m       dm     uJy  duJy F  err   chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  uJy_offset
57512.516646 15.107010 0.005940  1474.0    18 c    0  546.16 292.75253 48.34868   874.27  4401.85 4.76 4.00 -31.2 -0.395    19.35 21.43 02a57512o0612c 0xc00801     -1816.0
57512.518582 15.097482 0.005888  1503.0    18 c    0  613.52 292.75253 48.34868   886.73  4440.48 4.52 3.83 -36.3 -0.418    19.41 21.44 02a57512o0616c 0xc00801     -1816.0
57512.523916 14.764559 0.004574  2694.0    19 c    0  993.74 292.75253 48.34868 10214.81  4473.99 4.37 3.72  69.1 -0.475    19.52 21.53 02a57512o0627c 0xc00801     -1816.0
57512.528987 15.244379 0.006741  1083.0    18 c    0  412.81 292.75253 48.34868   832.26  4361.23 4.49 3.75 -39.1 -0.433    19.45 21.46 02a57512o0636c 0xc00801     -1816.0
57512.533828 15.664937 0.008827   152.0    16 c    0  282.09 292.75253 48.34868  7561.01  3586.19 4.04 3.87  31.8 -0.430    19.51 21.55 02a57512o0646c 0xc00801     -1816.0
57512.538228 14.957420 0.004888  1960.0    17 c    0  833.57 292.75253 48.34868   807.01  4476.92 4.41 3.67 -39.8 -0.438    19.49 21.50 02a57512o0655c 0xc00801     -1816.0
57515.498611 15.171596 0.007005  1284.0    20 c    0  519.41 292.75253 48.34868  8049.66  1942.36 4.44 3.84  14.6 -0.472    19.38 21.31 02a57515o0571c 0xc00801     -1816.0
57515.509873 14.371230 0.005027  4663.0    30 c    0  888.05 292.75253 48.34868  8074.15  1984.44 4.41 3.80  16.8 -0.474    19.00 20.84 02a57515o0593c 0xc00801     -1816.0
57515.521126 15.398223 0.008199   700.0    19 c    0  305.56 292.75253 48.34868  8009.40  1910.49 4.46 3.80  16.2 -0.481    19.44 21.34 02a57515o0615c 0xc00801     -1816.0
57515.532059 17.905150 0.099888 -1566.0    23 c    0    9.82 292.75253 48.34868  7993.10  2028.66 4.37 3.74  16.7 -0.487    19.46 21.37 02a57515o0637c 0xc00800     -1816.0
57515.542989 14.971602 0.005244  1911.0    18 c    0  807.31 292.75253 48.34868  8031.40  1970.02 4.36 3.74  18.8 -0.485    19.48 21.40 02a57515o0659c 0xc00801     -1816.0
57541.482397 15.277462 0.006178   996.0    16 c    0  569.57 292.75253 48.34868  7203.37  3251.91 3.93 3.70  12.5 -0.443    19.66 21.73 02a57541o0589c 0xc00801     -1816.0
57541.491995 15.677143 0.010043   130.0    18 c    0  253.68 292.75253 48.34868  7218.94  3291.28 4.02 3.76   4.8 -0.432    19.62 21.70 02a57541o0608c 0xc00801     -1816.0
57541.496463 17.546052 0.053039 -1468.0    17 c    0   14.63 292.75253 48.34868  7178.34  3208.30 3.89 3.69  10.3 -0.440    19.64 21.70 02a57541o0617c 0xc00801     -1816.0
57541.513820 15.272070 0.006531  1010.0    17 c    0  619.12 292.75253 48.34868  7160.55  3323.13 3.83 3.68  10.5 -0.436    19.55 21.59 02a57541o0652c 0xc00801     -1816.0
57541.525834 16.024645 0.013831  -403.0    18 c    0  128.47 292.75253 48.34868  7186.87  3273.02 3.94 3.68  18.7 -0.434    19.56 21.60 02a57541o0675c 0xc00801     -1816.0
57545.449659 14.705983 0.004562  2944.0    20 c    0  979.59 292.75253 48.34868 10154.62  4054.20 4.39 3.78  68.7 -0.470    19.40 21.44 02a57545o0430c 0xc00801     -1816.0
57545.459636 14.619218 0.004633  3340.0    22 c    0  904.50 292.75253 48.34868 10191.25  4085.85 4.43 3.88  73.3 -0.456    19.39 21.47 02a57545o0449c 0xc00801     -1816.0
57545.466968 14.912638 0.005518  2119.0    20 c    0  645.23 292.75253 48.34868   757.58  4042.28 4.45 3.75 -38.4 -0.417    19.22 21.20 02a57545o0463c 0xc00801     -1816.0
57549.455899 15.492852 0.007533   490.0    16 c    0  382.13 292.75253 48.34868  8826.75  2521.29 4.46 4.04  35.6 -0.440    19.62 21.78 02a57549o0324c 0xc00801     -1816.0
57549.466185 15.356321 0.007058   799.0    17 c    0  447.68 292.75253 48.34868  8863.14  2555.16 4.23 3.86  40.7 -0.453    19.66 21.80 02a57549o0343c 0xc00801     -1816.0
57549.482405 16.073362 0.013662  -465.0    17 c    0  139.68 292.75253 48.34868  8808.14  2477.46 4.31 3.93  39.3 -0.442    19.64 21.81 02a57549o0374c 0xc00801     -1816.0
57549.489219 15.353418 0.007039   806.0    17 c    0  464.99 292.75253 48.34868  8789.62  2597.10 4.23 3.86  43.4 -0.444    19.67 21.83 02a57549o0388c 0xc00801     -1816.0
57549.502508 16.166446 0.012258  -576.0    14 c    0  277.05 292.75253 48.34868  8824.85  2539.44 4.16 3.76  42.6 -0.455    19.69 21.83 02a57549o0414c 0xc00801     -1816.0
57581.416732 19.454622      NaN -1835.0    20 c    0    2.60 292.75253 48.34868  7488.96  5264.77 4.03 3.70  78.4 -0.437    19.34 21.21 02a57581o0339c 0xc00800     -1816.0
57581.430552 15.692313 0.009618   103.0    17 c    0  237.42 292.75253 48.34868  7504.29  5301.47 3.96 3.63  73.6 -0.435    19.47 21.49 02a57581o0367c 0xc00801     -1816.0
57581.451421 15.784369 0.009854   -53.0    16 c    0  215.99 292.75253 48.34868  3104.88  5304.77 4.04 3.70 -49.5 -0.434    19.63 21.81 02a57581o0408c 0xc00801     -1816.0
57581.462036 15.344757 0.006984   827.0    17 c    0  492.86 292.75253 48.34868  3132.87  5181.80 3.94 3.63 -45.5 -0.438    19.61 21.76 02a57581o0429c 0xc00801     -1816.0
57581.464456 16.138782 0.015364  -544.0    18 c    0   95.50 292.75253 48.34868  3095.15  5242.08 4.03 3.68 -47.3 -0.433    19.53 21.67 02a57581o0434c 0xc00801     -1816.0
57605.385060 15.522443 0.007741   428.0    16 c    0  395.82 292.75253 48.34868  3338.28  5318.84 4.74 4.04 -15.7 -0.368    19.51 21.82 02a57605o0292c 0xc00801     -1816.0
