         MJD         m       dm    uJy   duJy   F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask
57779.497375 19.115465 0.251573   82.0   19.0   c  0.0   1.15 145.37402 -11.1995  7626.30  9137.78 3.64 3.46 -38.7 -0.398    19.78 21.87 02a57779o0544c 0xc00b00
57779.512926 19.155932      NaN   31.0   16.0   c  0.0   1.45 145.37402 -11.1995  7607.88  9099.67 3.51 3.28 -39.4 -0.394    19.81 21.88 02a57779o0574c 0xc00800
57779.528388 19.169763 0.222715   78.0   16.0   c  0.0   1.23 145.37402 -11.1995  7685.64  9180.21 3.62 3.43 -28.0 -0.397    19.79 21.89 02a57779o0604c 0xc00a00
57779.543914 19.128787 0.214466   81.0   16.0   c  0.0   2.29 145.37402 -11.1995  7704.38  9062.27 4.05 3.63  -0.5 -0.440    19.73 21.86 02a57779o0634c 0xc00b00
57779.559448 19.271854 0.321133   71.0   21.0   c  0.0   0.96 145.37402 -11.1995  7649.17  9120.03 3.77 3.49  -6.1 -0.442    19.73 21.80 02a57779o0664c 0xc00a00
57783.493397 18.675237 0.123580  123.0   14.0   c  0.0   2.29 145.37402 -11.1995  6691.24  7305.76 3.80 3.55  81.1 -0.407    19.77 21.82 02a57783o0529c 0xc00a00
57783.508545 18.889197 0.161248  101.0   15.0   c  0.0   2.17 145.37402 -11.1995  6672.44  7268.71 3.88 3.64  89.1 -0.399    19.75 21.85 02a57783o0558c 0xc00a00
57783.523630 18.489118 0.111548  146.0   15.0   c  0.0   3.40 145.37402 -11.1995  6731.49  7346.84 3.84 3.60  86.2 -0.402    19.77 21.87 02a57783o0587c 0xc00800
57783.539204 18.836735 0.143399  106.0   14.0   c  0.0   3.08 145.37402 -11.1995  6752.73  7229.92 3.89 3.67  87.5 -0.399    19.73 21.82 02a57783o0617c 0xc00a00
57783.554861 19.128787 0.227871   81.0   17.0   c  0.0   2.07 145.37402 -11.1995  6715.76  7287.21 4.05 3.80 -89.9 -0.389    19.68 21.82 02a57783o0647c 0xc00b00
57787.463019 18.955691 0.160003   95.0   14.0   c  0.0   3.30 145.37402 -11.1995  5882.86  6103.10 3.86 3.67  77.1 -0.388    19.80 21.97 02a57787o0474c 0xc00b00
57787.476091 18.534680 0.108574  140.0   14.0   c  0.0   2.29 145.37402 -11.1995  5864.21  6065.49 3.79 3.63  78.0 -0.393    19.83 21.98 02a57787o0501c 0xc00a00
57787.491672 18.615142 0.116925  130.0   14.0   c  0.0   2.81 145.37402 -11.1995  5921.34  6143.36 3.97 3.77  81.5 -0.378    19.77 21.97 02a57787o0532c 0xc00a00
