,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,58244.512401,20.178,0.547,31,17,o,0,1.28,256.18473,38.23555,1458.63,950.56,2.17,1.88,45.5,-0.543,19.07,19.86,02a58244o0616o
1,58244.525369,21.001,3.753,14,54,o,0,0.57,256.18473,38.23555,1443.23,912.54,2.04,1.82,49.7,-0.558,18.07,18.51,02a58244o0644o
2,58244.533264,19.714,0.501,47,24,o,0,1.0,256.18473,38.23555,1506.15,989.88,2.07,1.81,48.2,-0.55,19.1,19.84,02a58244o0661o
3,58244.542443,21.05,1.692,14,23,o,0,1.7,256.18473,38.23555,1519.23,867.13,2.01,1.84,52.8,-0.536,18.58,19.14,02a58244o0680o
4,58246.532102,16.833,1.233,671,828,o,0,1.04,256.18473,38.23555,6425.66,7679.35,3.56,2.97,-88.1,-0.431,15.14,16.08,01a58246o0252o
5,58246.537674,-17.853,0.97,-262,254,o,0,1.22,256.18473,38.23555,6442.73,7740.01,3.38,2.89,-84.6,-0.445,16.27,17.2,01a58246o0264o
6,58246.546496,-17.877,3.0,-257,770,o,0,1.31,256.18473,38.23555,6383.46,7698.63,3.53,3.01,-83.5,-0.436,15.27,16.07,01a58246o0283o
7,58246.555342,17.551,0.608,346,211,o,0,0.96,256.18473,38.23555,6371.97,7849.91,3.66,3.12,-83.0,-0.425,16.55,17.58,01a58246o0302o
8,58248.514116,21.846,1.426,7,10,o,0,1.03,256.18473,38.23555,3110.58,571.82,2.15,1.93,50.1,-0.461,19.79,21.21,02a58248o0618o
9,58248.520142,-21.599,1.114,-8,9,o,0,1.24,256.18473,38.23555,3095.68,532.75,2.12,1.9,49.4,-0.465,19.72,21.09,02a58248o0631o
10,58248.534016,-21.508,1.124,-9,10,o,0,0.89,256.18473,38.23555,3158.54,611.56,2.2,1.99,53.1,-0.461,19.73,21.14,02a58248o0661o
11,58248.54281,-22.041,1.561,-6,9,o,0,1.46,256.18473,38.23555,3172.8,494.17,2.17,1.92,58.2,-0.461,19.68,21.05,02a58248o0680o
12,58249.560339,22.632,6.0,3,19,o,0,1.18,256.18473,38.23555,8351.31,54.03,3.5,3.0,82.7,-0.438,19.18,20.77,01a58249o0158o
13,58249.579743,24.323,34.0,1,23,o,0,0.64,256.18473,38.23555,8305.92,54.09,3.48,2.97,-89.7,-0.448,19.17,20.64,01a58249o0198o
14,58249.582614,-20.887,1.154,-16,18,o,0,1.17,256.18473,38.23555,8293.26,184.53,3.75,3.13,84.6,-0.45,18.85,20.43,01a58249o0204o
