,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
973,59756.282579,22.018,1.842,6,10,c,0,1.32,200.47854,16.74437,1730.37,9852.26,2.52,2.14,-57.3,-0.452,19.63,21.32,02a59756o0084c
974,59756.288132,21.192,0.765,12,9,c,0,1.26,200.47854,16.74437,1787.2,9928.96,2.42,2.11,-54.5,-0.45,19.64,21.3,02a59756o0096c
975,59756.320463,21.934,1.698,6,10,c,0,1.08,200.47854,16.74437,1805.94,9810.44,2.41,2.24,-53.5,-0.452,19.63,21.38,02a59756o0108c
976,59756.355349,20.218,1.101,30,33,o,0,0.94,200.47854,16.74437,6782.9,780.59,2.75,2.56,-52.2,-0.519,18.56,19.94,01a59756o0169o
977,59756.359042,21.113,1.114,13,14,o,0,0.85,200.47854,16.74437,6803.34,819.7,2.75,2.6,-50.3,-0.515,19.34,20.77,01a59756o0177o
978,59756.365506,-22.892,5.5,-2,14,o,0,1.14,200.47854,16.74437,6745.57,744.51,2.7,2.68,83.6,-0.485,19.34,20.77,01a59756o0191o
979,59756.391675,-22.929,6.364,-2,16,o,0,1.42,200.47854,16.74437,6733.93,868.83,2.75,2.64,-47.4,-0.502,19.09,20.41,01a59756o0247o
980,59758.294837,-20.617,1.016,-21,21,c,0,1.32,200.47854,16.74437,1748.61,9886.27,2.5,2.24,-51.5,-0.447,18.58,20.14,02a59758o0109c
981,59758.298009,21.341,1.762,11,19,c,0,1.1,200.47854,16.74437,1729.52,9848.7,2.39,2.16,-52.5,-0.458,18.92,20.45,02a59758o0116c
982,59758.299878,-22.921,4.786,-2,12,o,0,1.41,200.47854,16.74437,6711.31,845.11,2.75,2.48,-54.0,-0.527,19.43,20.93,01a59758o0030o
983,59758.324199,22.069,2.125,5,12,c,0,1.67,200.47854,16.74437,1787.09,9929.79,2.44,2.19,-52.5,-0.446,19.38,21.06,02a59758o0172c
984,59758.342536,24.597,23.667,0,12,c,0,1.0,200.47854,16.74437,1809.52,9808.37,2.61,2.42,-48.7,-0.449,19.42,21.16,02a59758o0211c
985,59760.260531,21.669,1.611,8,13,c,0,1.01,200.47854,16.74437,1752.36,9891.9,2.43,2.28,-45.9,-0.45,19.4,20.79,02a59760o0017c
986,59760.263705,21.117,0.773,13,10,c,0,1.07,200.47854,16.74437,1733.08,9852.9,2.54,2.28,-53.9,-0.458,19.49,20.99,02a59760o0024c
987,59760.269134,20.96,0.892,15,13,c,0,1.27,200.47854,16.74437,1789.11,9930.38,3.24,2.89,-54.3,-0.448,19.28,21.1,02a59760o0036c
988,59760.282787,22.565,3.5,3,12,c,0,1.13,200.47854,16.74437,1809.22,9812.74,2.63,2.34,-52.0,-0.453,19.5,21.09,02a59760o0066c
989,59760.317898,23.231,7.778,2,14,o,0,0.9,200.47854,16.74437,5400.25,7409.44,2.89,2.73,-45.2,-0.462,19.26,20.78,01a59760o0099o
990,59760.320627,20.497,0.517,23,12,o,0,1.27,200.47854,16.74437,5418.9,7447.78,2.85,2.64,-50.0,-0.472,19.28,20.78,01a59760o0105o
991,59760.327471,20.759,0.711,18,13,o,0,0.94,200.47854,16.74437,5357.81,7372.27,2.92,2.67,-48.1,-0.464,19.28,20.8,01a59760o0120o
992,59760.341284,-21.53,1.651,-9,15,o,0,1.02,200.47854,16.74437,5340.68,7490.83,2.92,2.66,-42.6,-0.462,19.22,20.72,01a59760o0150o
993,59763.257843,21.654,1.968,8,16,o,0,1.18,200.47854,16.74437,5378.95,7403.11,2.96,2.89,-75.2,-0.445,19.06,20.69,01a59763o0037o
994,59763.261074,-24.884,33.0,0,13,o,0,0.87,200.47854,16.74437,5401.38,7443.03,2.94,2.87,-66.0,-0.445,19.37,20.95,01a59763o0044o
995,59763.26662,21.225,1.373,12,16,o,0,0.8,200.47854,16.74437,5342.52,7366.82,3.08,2.94,-56.6,-0.453,19.28,21.05,01a59763o0056o
996,59763.285812,19.888,0.277,40,11,o,0,1.1,200.47854,16.74437,5328.89,7486.31,2.82,2.73,54.5,-0.441,19.41,21.0,01a59763o0097o
997,59764.255849,19.951,0.483,38,18,o,0,1.0,200.47854,16.74437,5380.5,7401.96,2.73,2.56,-86.6,-0.479,19.08,20.35,01a59764o0029o
998,59764.259532,21.322,1.393,11,15,o,0,0.98,200.47854,16.74437,5402.27,7441.03,2.62,2.58,-68.4,-0.483,19.22,20.4,01a59764o0037o
999,59764.266128,20.501,0.602,23,14,o,0,0.9,200.47854,16.74437,5343.34,7365.24,2.73,2.46,-51.6,-0.491,19.28,20.48,01a59764o0051o
1000,59764.281711,22.13,2.367,5,12,o,0,1.32,200.47854,16.74437,5329.32,7484.15,2.7,2.63,68.5,-0.464,19.32,20.56,01a59764o0084o
1001,59765.259921,-20.754,0.821,-18,15,o,0,1.0,200.47854,16.74437,1406.78,5320.16,2.28,2.21,-57.9,-0.434,19.15,19.97,02a59765o0036o
1002,59765.263096,19.366,0.256,65,17,o,0,0.87,200.47854,16.74437,1387.13,5281.31,2.19,2.12,-51.1,-0.453,19.23,20.07,02a59765o0043o
1003,59765.280831,20.717,0.702,19,13,o,0,1.39,200.47854,16.74437,1446.15,5357.68,2.19,2.18,-61.1,-0.446,19.27,20.23,02a59765o0082o
1004,59765.291302,20.889,0.872,16,14,o,0,1.09,200.47854,16.74437,1466.27,5242.03,2.07,2.04,-26.9,-0.458,19.33,20.2,02a59765o0105o
1005,59766.261853,-20.533,0.627,-22,14,o,0,1.63,200.47854,16.74437,1408.45,5322.56,2.1,2.04,-51.4,-0.454,19.07,19.66,02a59766o0041o
1006,59766.267295,21.295,1.528,11,17,o,0,1.33,200.47854,16.74437,1389.08,5284.2,2.45,2.41,-58.2,-0.42,19.04,19.86,02a59766o0053o
1007,59766.270487,20.783,1.088,18,19,o,0,1.16,200.47854,16.74437,1447.89,5361.85,2.22,2.17,-52.6,-0.446,19.06,19.71,02a59766o0060o
1008,59766.280911,21.22,2.134,12,25,o,0,0.83,200.47854,16.74437,1467.38,5245.34,2.07,2.05,-19.4,-0.444,18.82,19.27,02a59766o0083o
1009,59767.257873,-22.54,5.429,-4,19,o,0,1.2,200.47854,16.74437,5379.53,7399.22,2.65,2.57,64.7,-0.474,18.95,19.77,01a59767o0041o
1010,59767.271904,22.997,13.083,2,30,o,0,1.56,200.47854,16.74437,5403.3,7439.59,2.8,2.62,50.3,-0.455,18.63,19.34,01a59767o0071o
1011,59767.275105,20.183,1.059,31,32,o,0,0.91,200.47854,16.74437,5344.04,7366.03,2.64,2.62,69.4,-0.475,18.75,19.45,01a59767o0078o
1012,59767.29474,21.513,2.537,9,23,o,0,1.13,200.47854,16.74437,5330.41,7484.29,2.59,2.51,-55.2,-0.495,18.94,19.67,01a59767o0120o
1013,59770.265482,19.95,0.505,38,19,o,0,1.58,200.47854,16.74437,998.67,1164.57,2.67,2.47,-50.6,-0.605,18.91,19.77,01a59770o0057o
1014,59770.268678,21.754,2.929,7,21,o,0,0.96,200.47854,16.74437,1020.41,1203.75,2.57,2.44,-54.1,-0.596,18.93,19.76,01a59770o0064o
1015,59770.274152,19.861,0.573,41,24,o,0,0.96,200.47854,16.74437,961.36,1125.92,2.77,2.54,-53.6,-0.604,18.93,19.74,01a59770o0076o
1016,59770.284195,-20.933,1.639,-15,25,o,0,0.89,200.47854,16.74437,948.18,1244.5,2.66,2.48,-49.7,-0.607,18.87,19.72,01a59770o0098o
1017,59770.298382,20.831,0.876,17,15,o,0,1.52,200.47854,16.74437,5176.81,1232.16,2.11,2.05,-85.7,-0.447,18.97,19.57,02a59770o0124o
1018,59770.303818,20.432,0.726,24,18,o,0,1.11,200.47854,16.74437,5157.78,1192.76,2.07,2.02,72.4,-0.435,18.99,19.56,02a59770o0136o
1019,59770.306982,20.651,0.939,20,19,o,0,0.95,200.47854,16.74437,5218.33,1271.1,2.1,2.0,-67.6,-0.444,18.99,19.54,02a59770o0143o
1020,59770.318785,-20.761,1.006,-18,18,o,0,1.07,200.47854,16.74437,5238.05,1152.78,2.07,2.02,-78.8,-0.447,18.95,19.5,02a59770o0169o
1021,59772.258336,22.343,5.955,4,25,o,0,1.29,200.47854,16.74437,1000.82,1167.54,2.77,2.48,-51.0,-0.608,18.9,19.63,01a59772o0035o
1022,59772.268041,21.135,1.646,13,21,o,0,1.59,200.47854,16.74437,1024.3,1207.11,2.46,2.34,-51.5,-0.616,18.95,19.67,01a59772o0056o
1023,59772.277748,21.391,2.786,10,28,o,0,0.81,200.47854,16.74437,966.46,1129.28,2.59,2.42,-48.9,-0.625,18.87,19.62,01a59772o0077o
1024,59772.284689,21.819,3.857,7,26,o,0,0.85,200.47854,16.74437,952.5,1247.21,2.45,2.32,-56.4,-0.625,18.87,19.59,01a59772o0092o
1025,59774.258888,20.007,0.617,36,22,o,0,1.44,200.47854,16.74437,999.97,1167.03,2.62,2.42,-55.3,-0.598,18.87,19.63,01a59774o0039o
1026,59774.262074,-22.742,8.2,-3,24,o,0,1.32,200.47854,16.74437,1021.37,1205.63,2.79,2.6,-49.4,-0.572,18.81,19.62,01a59774o0046o
1027,59774.267566,19.921,0.661,39,26,o,0,1.04,200.47854,16.74437,962.4,1127.17,2.89,2.64,-52.8,-0.577,18.77,19.57,01a59774o0058o
1028,59774.274856,19.876,0.464,41,19,o,0,1.15,200.47854,16.74437,5178.0,1232.28,1.96,1.87,-56.3,-0.452,18.95,19.37,02a59774o0066o
1029,59774.278484,-20.715,0.921,-19,17,o,0,1.19,200.47854,16.74437,5158.4,1193.41,1.96,1.9,-62.0,-0.452,18.93,19.35,02a59774o0074o
1030,59774.279441,19.911,0.646,39,26,o,0,1.24,200.47854,16.74437,949.38,1245.85,2.72,2.54,-50.0,-0.586,18.78,19.52,01a59774o0084o
1031,59774.283931,20.265,0.63,28,18,o,0,1.13,200.47854,16.74437,5217.52,1271.49,2.01,1.9,-62.9,-0.452,18.91,19.31,02a59774o0086o
1032,59775.250668,-22.787,7.583,-3,21,o,0,1.2,200.47854,16.74437,996.99,1163.51,3.09,2.98,-51.9,-0.523,18.97,20.19,01a59775o0017o
1033,59775.274246,21.504,2.114,9,19,o,0,1.02,200.47854,16.74437,1026.52,1208.41,2.88,2.65,-57.4,-0.575,19.2,20.39,01a59775o0068o
1034,59775.27744,20.659,0.931,20,18,o,0,1.34,200.47854,16.74437,966.15,1130.34,3.02,2.8,-52.0,-0.571,19.09,20.26,01a59775o0075o
1035,59775.28379,22.41,5.889,4,23,o,0,0.89,200.47854,16.74437,949.63,1248.16,2.98,2.73,-50.4,-0.577,19.02,20.04,01a59775o0088o
1036,59776.290902,20.894,0.802,16,13,o,0,0.93,200.47854,16.74437,650.92,3612.23,2.51,2.37,-50.4,-0.551,19.41,20.9,01a59776o0108o
1037,59776.300934,20.626,0.564,20,12,o,0,1.58,200.47854,16.74437,672.62,3651.76,2.45,2.33,-49.0,-0.556,19.42,20.76,01a59776o0130o
1038,59776.310508,20.611,0.748,21,16,o,0,1.11,200.47854,16.74437,613.65,3574.66,2.56,2.34,-47.3,-0.563,19.2,20.29,01a59776o0151o
1039,59776.319643,21.276,1.636,11,18,o,0,1.35,200.47854,16.74437,598.41,3691.95,2.62,2.36,-49.3,-0.572,19.08,19.99,01a59776o0171o
1040,59778.292412,-24.026,11.167,-1,10,c,0,1.21,200.47854,16.74437,5282.94,5113.39,2.57,2.36,32.5,-0.395,19.59,21.12,02a59778o0104c
1041,59778.296497,-20.717,0.577,-19,11,c,0,1.04,200.47854,16.74437,5263.92,5074.19,2.61,2.38,31.2,-0.395,19.52,21.1,02a59778o0113c
1042,59778.303289,20.734,0.548,18,10,c,0,1.07,200.47854,16.74437,5321.78,5151.46,2.55,2.32,31.6,-0.392,19.5,21.06,02a59778o0128c
1043,59778.321412,-21.467,1.368,-9,13,c,0,1.07,200.47854,16.74437,5342.1,5034.85,2.66,2.42,31.3,-0.391,19.37,20.95,02a59778o0168c
1044,59779.316822,20.068,0.418,34,14,o,0,1.14,200.47854,16.74437,648.32,3611.11,2.64,2.43,-49.6,-0.549,19.32,20.68,01a59779o0169o
1045,59779.320016,20.635,0.76,20,15,o,0,0.86,200.47854,16.74437,669.09,3650.35,2.5,2.38,-52.3,-0.548,19.32,20.65,01a59779o0176o
1046,59779.327315,22.59,4.789,3,16,o,0,0.86,200.47854,16.74437,609.93,3572.77,2.63,2.46,-50.9,-0.539,19.31,20.58,01a59779o0192o
1047,59779.340989,20.411,0.702,25,18,o,0,1.13,200.47854,16.74437,592.41,3690.75,2.91,2.61,-46.5,-0.526,19.19,20.39,01a59779o0222o
1048,59781.286413,-21.534,1.0,-9,9,c,0,1.35,200.47854,16.74437,5279.3,5111.41,2.47,2.34,28.5,-0.399,19.53,21.06,02a59781o0099c
1049,59781.289582,22.069,1.711,5,9,c,0,1.32,200.47854,16.74437,5260.09,5072.43,2.44,2.35,28.8,-0.402,19.51,21.05,02a59781o0106c
1050,59781.295007,-21.11,0.868,-13,11,c,0,0.7,200.47854,16.74437,5318.44,5148.97,2.46,2.35,27.9,-0.399,19.5,21.04,02a59781o0118c
1051,59781.304996,21.399,1.045,10,10,c,0,1.31,200.47854,16.74437,5338.57,5032.66,2.55,2.36,30.7,-0.395,19.48,21.02,02a59781o0140c
1052,59782.306473,21.629,1.232,8,10,c,0,0.91,200.47854,16.74437,5280.57,5112.55,2.45,2.32,32.9,-0.406,19.56,21.1,02a59782o0072c
1053,59782.309643,-24.481,16.25,-1,10,c,0,0.96,200.47854,16.74437,5261.31,5073.38,2.44,2.36,25.4,-0.404,19.54,21.1,02a59782o0079c
1054,59782.315996,21.036,0.859,14,12,c,0,0.71,200.47854,16.74437,5319.36,5150.43,2.46,2.4,15.8,-0.406,19.49,21.07,02a59782o0093c
1055,59782.325958,21.033,0.772,14,11,c,0,1.25,200.47854,16.74437,5339.16,5034.29,2.47,2.39,16.2,-0.401,19.42,21.02,02a59782o0115c
