Nested Sampling Global Log-Evidence           :   -0.328231962438296421E+02  +/-    0.485626422148161152E+00
Nested Importance Sampling Global Log-Evidence:   -0.384372345289423123E+02  +/-    0.350813282453866920E-01

Dim No.       Mean        Sigma
   1    0.730106320261777603E-01    0.293933184590351552E-01
   2   -0.190863617667030141E+02    0.177997561973651663E+01
   3    0.963541684932582521E+00    0.590924673340483125E-01
   4    0.159184528346213638E+01    0.180717553962226996E+00
   5    0.825735441965743701E-02    0.173140210772671356E-02
   6    0.178290055232307032E+01    0.100588446012068289E+00
   7   -0.165160077417964901E+01    0.431846995272985368E+00
   8   -0.379948703075796562E-01    0.341055298032708343E-01
   9   -0.505501041764013870E+01    0.182903226143168207E+01
  10   -0.600476818563299639E-01    0.994711492162682204E-01
  11   -0.989282321622529520E-01    0.136978012186483866E+00
  12   -0.256600903801845914E+00    0.216071665002104618E+00
  13   -0.953198817556072664E-01    0.109588724249193789E+00
  14   -0.106018839668719278E+01    0.624735906317275269E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.535592583220198953E-01
   2   -0.200269505595331800E+02
   3    0.916569907643748572E+00
   4    0.168791805681041929E+01
   5    0.802277413714729860E-02
   6    0.180532356243939462E+01
   7   -0.267254657652093197E+01
   8   -0.741537002551066748E-01
   9   -0.697336306136115081E+01
  10   -0.651916908635954973E-01
  11   -0.165242296439490038E+00
  12   -0.648605075334641845E+00
  13   -0.122546447764710548E+00
  14   -0.136679924337142333E+01

MAP Parameters
Dim No.        Parameter
   1    0.535592583220198953E-01
   2   -0.200269505595331800E+02
   3    0.916569907643748572E+00
   4    0.168791805681041929E+01
   5    0.802277413714729860E-02
   6    0.180532356243939462E+01
   7   -0.267254657652093197E+01
   8   -0.741537002551066748E-01
   9   -0.697336306136115081E+01
  10   -0.651916908635954973E-01
  11   -0.165242296439490038E+00
  12   -0.648605075334641845E+00
  13   -0.122546447764710548E+00
  14   -0.136679924337142333E+01
