         MJD         m       dm    uJy   duJy F  err    chi/N        RA     Dec        x        y   maj   min   phi  apfit  mag5sig   Sky            Obs   __tmp_SN
57499.363688 18.280067      NaN     27     50 o    0     1.02 142.43306 3.07604  7211.37  6416.49  3.87  3.04 -89.7 -0.491    18.12 18.82 02a57499o0284o   0.540000
57499.376734 18.058851      NaN     49     56 o    0     0.87 142.43306 3.07604  7269.47  6493.89  3.81  2.96  89.1 -0.502    18.09 18.75 02a57499o0310o   0.875000
57499.389426 18.273950      NaN      1     59 o    0     1.02 142.43306 3.07604  7288.51  6378.20  3.80  3.02  89.3 -0.496    18.03 18.67 02a57499o0335o   0.016949
57501.239657 18.702047      NaN     12     36 o    0     0.98 142.43306 3.07604  7239.74  6427.41  4.05  3.55  78.7 -0.487    18.57 19.71 02a57501o0061o   0.333333
57501.251281 18.675237      NaN      6     39 o    0     0.98 142.43306 3.07604  7218.92  6394.34  4.07  3.50  82.8 -0.518    18.51 19.65 02a57501o0077o   0.153846
57501.265920 18.847027      NaN    -92     35 o    0     1.32 142.43306 3.07604  7276.19  6478.86  4.10  3.36  84.0 -0.525    18.47 19.58 02a57501o0095o  -2.628571
57501.282365 18.582238      NaN     11     41 o    0     1.33 142.43306 3.07604  7293.52  6369.44  4.20  3.22  87.3 -0.521    18.35 19.40 02a57501o0113o   0.268293
57505.325374 18.867907      NaN     40     21 o    0     1.36 142.43306 3.07604  7241.55  6455.23  3.84  3.31  89.3 -0.469    19.02 20.59 02a57505o0203o   1.904762
57505.335683 19.302877      NaN     -2     23 o    0     0.98 142.43306 3.07604  7281.77  6416.40  3.88  3.41  88.5 -0.464    19.00 20.56 02a57505o0223o  -0.086957
57505.346973 19.302877      NaN    -10     23 o    0     0.93 142.43306 3.07604  7223.48  6397.19  3.84  3.40  86.2 -0.461    19.04 20.63 02a57505o0245o  -0.434783
57505.360440 19.197966      NaN      1     25 o    0     0.79 142.43306 3.07604  7300.75  6475.03  3.85  3.35  86.5 -0.463    19.00 20.59 02a57505o0271o   0.040000
57505.374883 19.212347      NaN     -4     25 o    0     0.98 142.43306 3.07604  7203.11  6493.56  3.78  3.30  88.0 -0.461    18.80 20.18 02a57505o0299o  -0.160000
57525.280917 17.963129      NaN     54     61 o    0     0.85 142.43306 3.07604  8329.90  5686.57  4.22  3.39  85.7 -0.575    17.64 18.91 02a57525o0120o   0.885246
57525.293553 18.481707      NaN     -6     49 o    0     0.87 142.43306 3.07604  8343.02  5571.19  4.16  3.15  87.5 -0.529    18.36 19.33 02a57525o0142o  -0.122449
57525.306169 18.649074      NaN   -137     42 o    0     1.19 142.43306 3.07604  8307.73  5627.07  4.05  3.14  85.3 -0.507    18.33 19.25 02a57525o0165o  -3.261905
57736.543009 18.191747      NaN     60     44 o    0     1.02 142.43306 3.07604  3367.13  5555.83  3.71  3.61  75.7 -0.437    18.38 19.11 02a57736o0666o   1.363636
57736.555497 18.623526      NaN    -38     43 o    0     1.00 142.43306 3.07604  3383.43  5595.11  3.59  3.52  82.7 -0.436    18.43 19.14 02a57736o0689o  -0.883721
