         MJD         m       dm     uJy   duJy F  err  chi/N        RA     Dec        x        y   maj   min   phi  apfit  mag5sig   Sky            Obs    __tmp_SN
57499.363688 18.459772      NaN     -56     50 o    0   1.15 142.43975 3.06937  7198.47  6403.50  3.86  3.04 -89.6 -0.491    18.12 18.82 02a57499o0284o   -1.120000
57499.376734 18.317510      NaN       9     54 o    0   1.14 142.43975 3.06937  7256.57  6480.90  3.80  2.96  89.1 -0.502    18.09 18.75 02a57499o0310o    0.166667
57499.389426 18.226218      NaN       3     61 o    0   0.98 142.43975 3.06937  7275.61  6365.21  3.80  3.02  89.4 -0.496    18.03 18.67 02a57499o0335o    0.049180
57501.239657 18.847027      NaN     -14     35 o    0   1.06 142.43975 3.06937  7226.83  6414.42  4.05  3.55  78.8 -0.487    18.57 19.71 02a57501o0061o   -0.400000
57501.251281 18.757738      NaN     -35     38 o    0   1.03 142.43975 3.06937  7206.01  6381.36  4.07  3.50  82.8 -0.519    18.51 19.65 02a57501o0077o   -0.921053
57501.265920 18.280067      NaN      48     43 o    0   0.85 142.43975 3.06937  7263.28  6465.87  4.10  3.36  84.0 -0.525    18.47 19.58 02a57501o0095o    1.116279
57501.282365 18.504094      NaN       6     46 o    0   0.87 142.43975 3.06937  7280.62  6356.45  4.20  3.22  87.3 -0.521    18.35 19.40 02a57501o0113o    0.130435
57505.325374 19.302877      NaN     -26     23 o    0   0.89 142.43975 3.06937  7228.65  6442.24  3.84  3.31  89.3 -0.469    19.02 20.59 02a57505o0203o   -1.130435
57505.335683 18.955691      NaN      29     22 o    0   0.93 142.43975 3.06937  7268.86  6403.41  3.88  3.41  88.5 -0.464    19.00 20.56 02a57505o0223o    1.318182
57505.346973 18.816441      NaN      33     25 o    0   0.79 142.43975 3.06937  7210.58  6384.20  3.84  3.40  86.3 -0.461    19.04 20.63 02a57505o0245o    1.320000
57505.360440 19.256669      NaN      -4     24 o    0   0.90 142.43975 3.06937  7287.84  6462.04  3.85  3.36  86.5 -0.463    19.00 20.59 02a57505o0271o   -0.166667
57505.374883 18.944322      NaN      24     24 o    0   1.11 142.43975 3.06937  7190.21  6480.57  3.78  3.30  88.1 -0.461    18.80 20.18 02a57505o0299o    1.000000
57525.280917 18.376212      NaN      -6     54 o    0   1.05 142.43975 3.06937  8316.97  5673.57  4.21  3.39  85.7 -0.575    17.64 18.91 02a57525o0120o   -0.111111
57525.293553 18.317510      NaN      36     45 o    0   0.85 142.43975 3.06937  8330.09  5558.20  4.16  3.15  87.5 -0.529    18.36 19.33 02a57525o0142o    0.800000
57525.306169 18.043943      NaN      76     48 o    0   0.94 142.43975 3.06937  8294.80  5614.07  4.04  3.14  85.3 -0.506    18.33 19.25 02a57525o0165o    1.583333
57736.543009 18.349730      NaN      28     46 o    0   0.76 142.43975 3.06937  3380.01  5568.78  3.71  3.61  75.8 -0.437    18.38 19.11 02a57736o0666o    0.608696
57736.555497 18.702047      NaN      -5     40 o    0   1.22 142.43975 3.06937  3396.32  5608.07  3.59  3.52  82.9 -0.437    18.43 19.14 02a57736o0689o   -0.125000
57736.568081 18.489118      NaN      23     41 o    0   1.37 142.43975 3.06937  3337.77  5530.67  3.93  3.81  72.3 -0.419    18.34 19.16 02a57736o0713o    0.560976
57736.579965 18.330283      NaN      55     38 o    0   1.15 142.43975 3.06937  3317.50  5647.96  3.63  3.55  74.1 -0.434    18.43 19.18 02a57736o0735o    1.447368
57764.512967 15.147009      NaN    -472   1057 o    0   1.66 142.43975 3.06937  7148.06  7698.45 13.04  3.55  -7.4 -0.264    16.41 16.09 02a57764o0612o   -0.446547
57764.522919 17.069016      NaN    -186    180 o    0   1.08 142.43975 3.06937  3371.42  2782.56  3.65  3.62 -22.3 -0.404    16.97 16.85 02a57764o0630o   -1.033333
57764.545082 17.797727      NaN    -130     92 o    0   2.57 142.43975 3.06937  7183.42  7740.25  3.32  3.15 -59.0 -0.511    17.95 18.29 02a57764o0670o   -1.413043
57764.556596 18.396507      NaN      -9     53 o    0   1.04 142.43975 3.06937  7202.24  7626.33  3.31  3.10 -62.0 -0.441    18.40 19.02 02a57764o0690o   -0.169811
57764.577921 17.326476      NaN      -8    142 o    0   1.68 142.43975 3.06937  7170.49  7688.03  3.78  3.45  -1.5 -0.480    17.44 17.76 02a57764o0728o   -0.056338
57768.560944 16.254884      NaN    -634    381 o    0   1.69 142.43975 3.06937  7981.56  5788.22  3.83  3.50  87.2 -0.588    16.91 17.22 02a57768o0694o   -1.664042
57768.576459 18.226218      NaN     -86     62 o    0   1.36 142.43975 3.06937  7965.35  5751.40  3.83  3.53 -87.9 -0.418    18.02 18.69 02a57768o0721o   -1.387097
57768.588541 17.879400      NaN      58     66 o    0   1.30 142.43975 3.06937  8029.30  5828.96  3.70  3.35 -87.5 -0.443    18.07 18.69 02a57768o0743o    0.878788
57768.609572 18.243872      NaN     -32     61 o    0   1.11 142.43975 3.06937  8049.30  5710.82  3.69  3.33 -88.1 -0.449    18.05 18.65 02a57768o0786o   -0.524590
57768.613483 18.158337      NaN     -26     66 o    0   0.83 142.43975 3.06937  8007.85  5765.72  3.77  3.42 -89.5 -0.427    18.02 18.64 02a57768o0794o   -0.393939
57788.501825 19.454622      NaN     -26     20 o    0   0.81 142.43975 3.06937  5574.58  7981.41  3.45  3.35  82.8 -0.468    19.40 21.00 02a57788o0560o   -1.300000
57788.514230 19.419021      NaN       8     18 o    0   1.06 142.43975 3.06937  5556.63  7940.40  3.42  3.32 -88.4 -0.471    19.43 21.05 02a57788o0581o    0.444444
57788.529091 19.318728      NaN      11     19 o    0   1.04 142.43975 3.06937  5618.33  8019.03  3.49  3.46 -12.4 -0.461    19.39 21.05 02a57788o0611o    0.578947
57788.552477 19.569016      NaN      -9     18 o    0   1.25 142.43975 3.06937  5639.86  7900.08  3.61  3.50  -0.7 -0.450    19.38 21.08 02a57788o0654o   -0.500000
57788.557298 19.128787      NaN      24     19 o    0   0.97 142.43975 3.06937  5600.51  7955.88  3.44  3.40 -85.6 -0.464    19.41 21.05 02a57788o0664o    1.263158
57800.481631 19.287255      NaN       4     22 o    0   1.15 142.43975 3.06937  5418.23  7498.43  3.41  3.34  88.4 -0.469    19.05 20.30 02a57800o0352o    0.181818
57800.496938 18.158337      NaN      72     42 o    0   1.04 142.43975 3.06937  1887.09  2656.36  4.30  4.08 -81.4 -0.546    18.53 20.01 01a57800o0510o    1.714286
57800.498967 19.169763      NaN     -16     26 o    0   0.78 142.43975 3.06937  5399.83  7459.20  3.39  3.36 -84.3 -0.472    19.01 20.23 02a57800o0384o   -0.615385
57800.511210 18.317510      NaN      45     42 o    0   1.15 142.43975 3.06937  1906.15  2694.90  4.23  3.97 -81.8 -0.555    18.58 20.02 01a57800o0537o    1.071429
57800.516327 18.933071      NaN      22     25 o    0   0.99 142.43975 3.06937  5459.02  7536.52  3.35  3.31 -62.1 -0.480    18.98 20.16 02a57800o0416o    0.880000
57800.526220 18.504094      NaN      21     41 o    0   1.05 142.43975 3.06937  1849.74  2615.78  4.39  4.13 -83.3 -0.529    18.53 20.01 01a57800o0565o    0.512195
