 tnsname control_id           ra        dec   ra_offset  dec_offset radius_arcsec n_detec n_detec_o n_detec_c
2022acgi          0 142.43640417 3.07270556           0           0             0    2592      2012       580
     NaN          1 142.43974809 3.07604467  0.00334392  0.00333912          17.0    2592      2012       580
     NaN          2 142.43640417 3.07742778  0.00000000  0.00472222          17.0    2593      2013       580
     NaN          3 142.43306024 3.07604467 -0.00334392  0.00333912          17.0    2592      2012       580
     NaN          4 142.43167515 3.07270556 -0.00472902  0.00000000          17.0    2592      2012       580
     NaN          5 142.43306024 3.06936644 -0.00334392 -0.00333912          17.0    2593      2012       581
     NaN          6 142.43640417 3.06798333 -0.00000000 -0.00472222          17.0    2593      2012       581
     NaN          7 142.43974809 3.06936644  0.00334392 -0.00333912          17.0    2593      2012       581
     NaN          8 142.44113319 3.07270556  0.00472902 -0.00000000          17.0    2592      2012       580
