Nested Sampling Global Log-Evidence           :   -0.233920086941357113E+02  +/-    0.468216129108026624E+00
Nested Importance Sampling Global Log-Evidence:   -0.295499479810796686E+02  +/-    0.204423333237119198E+00

Dim No.       Mean        Sigma
   1    0.566213869217849913E-01    0.215914466749887353E-01
   2   -0.206990755160691933E+02    0.761081872385644775E+01
   3    0.407546929265784508E+00    0.274521479932804457E+00
   4    0.117548856981074157E+01    0.239922710762638269E+00
   5    0.994361958382589464E-02    0.278367947243999972E-02
   6    0.220847033521114611E+01    0.104020651112996451E-01
   7   -0.178560331037681852E+01    0.438395423050694344E+00
   8   -0.100425670779357795E+00    0.275306675149098630E-01
   9   -0.360663071794652446E+01    0.370562846070190322E+01
  10   -0.144439479406353655E+00    0.175596479044537845E+00
  11   -0.489580470965778058E-01    0.155451418686430143E+00
  12   -0.299393691348780022E+00    0.220658327380313268E+00
  13    0.730269988226433034E-02    0.163058170992686699E-01
  14   -0.105492035215617208E+01    0.529485042789666696E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.667822406670450092E-01
   2   -0.160284063004882462E+02
   3   -0.124455246938181996E+00
   4    0.136873093716583449E+01
   5    0.101359211880522274E-01
   6    0.220544480879663052E+01
   7   -0.241350216935057693E+01
   8   -0.121356208632206017E+00
   9    0.120390414356066833E+01
  10   -0.425644505594034883E+00
  11   -0.340829911364707971E+00
  12   -0.104723110569787628E+00
  13    0.138935637134727230E-01
  14   -0.101429927492098448E+01

MAP Parameters
Dim No.        Parameter
   1    0.667822406670450092E-01
   2   -0.160284063004882462E+02
   3   -0.124455246938181996E+00
   4    0.136873093716583449E+01
   5    0.101359211880522274E-01
   6    0.220544480879663052E+01
   7   -0.241350216935057693E+01
   8   -0.121356208632206017E+00
   9    0.120390414356066833E+01
  10   -0.425644505594034883E+00
  11   -0.340829911364707971E+00
  12   -0.104723110569787628E+00
  13    0.138935637134727230E-01
  14   -0.101429927492098448E+01
