Nested Sampling Global Log-Evidence           :   -0.563871220020552055E+01  +/-                         NaN
Nested Importance Sampling Global Log-Evidence:   -0.633753070841697230E+01  +/-    0.104600235870966896E+00

Dim No.       Mean        Sigma
   1    0.133400887547532904E+00    0.313113544051548320E-02
   2   -0.223377455827329605E+02    0.593407486407485640E+00
   3    0.394298514680524403E+00    0.121781407202907699E+00
   4    0.135568025180066032E+01    0.133858111879089064E-01
   5    0.147418969476821784E-01    0.136527864890535300E-02
   6    0.105920159543575232E+01    0.207043901264008720E-01
   7   -0.192167398730762629E+01    0.717457579237390786E-01
   8    0.152192895815411261E+00    0.936252633455450338E-02
   9    0.159406445690000642E+01    0.521956170500555539E+00
  10   -0.997694502845056785E-01    0.341151832686367104E-01
  11    0.408367269730138191E-01    0.164833996980861056E-01
  12   -0.433432950970512321E+00    0.144906616887775959E-01
  13    0.178477946264129134E+00    0.360576167581315374E-01
  14   -0.108325717464489957E+01    0.984516336080465231E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.134317223172133432E+00
   2   -0.222816059989173638E+02
   3    0.414559591834645080E+00
   4    0.136497002353322694E+01
   5    0.154227166253196393E-01
   6    0.101859743276715209E+01
   7   -0.177817204450663602E+01
   8    0.146105670880902511E+00
   9    0.248262536065560102E+01
  10   -0.659860883371604229E-01
  11    0.366576187718327812E-01
  12   -0.439060920046850656E+00
  13    0.215003141353538707E+00
  14   -0.109113545322416461E+01

MAP Parameters
Dim No.        Parameter
   1    0.134715229718717966E+00
   2   -0.217025888138163907E+02
   3    0.430280796604109450E+00
   4    0.138448443057682313E+01
   5    0.130971676718965244E-01
   6    0.104538244825164739E+01
   7   -0.192885935201495906E+01
   8    0.177394906461761426E+00
   9    0.106415816864117563E+01
  10   -0.100252843295617067E+00
  11    0.375133056560322461E-01
  12   -0.463021637631700234E+00
  13    0.187995984677062050E+00
  14   -0.109034880155880076E+01
