Nested Sampling Global Log-Evidence           :   -0.418628094748771176E+02  +/-    0.534712885117066938E+00
Nested Importance Sampling Global Log-Evidence:   -0.472703629746091778E+02  +/-    0.326130322988068544E-01

Dim No.       Mean        Sigma
   1    0.760750413073929960E-01    0.226441001545987231E-01
   2   -0.183771322925968192E+02    0.899982397936182621E+00
   3    0.753287425307624381E+00    0.663478551081241735E-01
   4    0.109911150127190571E+01    0.206866063921710946E+00
   5    0.101073995178327068E-01    0.323527131470645107E-02
   6    0.202338422622087011E+01    0.309917254120492050E-01
   7   -0.173011909732685343E+01    0.445155602811939388E+00
   8    0.345997271892311900E-01    0.291173933010968368E-01
   9   -0.179166102342760536E+01    0.109136943752394511E+01
  10   -0.198559103442341539E+00    0.874317369576169817E-01
  11   -0.328691396490357612E-01    0.150403473361846590E+00
  12   -0.314689907277228065E+00    0.234868464051095488E+00
  13   -0.273365179213001852E+00    0.360668754557383897E-01
  14   -0.106368999241032380E+01    0.595427920797688970E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.733067353644953901E-01
   2   -0.183021961363021788E+02
   3    0.678181837709366131E+00
   4    0.102646660762430009E+01
   5    0.134715267911724897E-01
   6    0.204538475831678879E+01
   7   -0.223386199732915802E+01
   8    0.204087018501452055E-01
   9   -0.220808638105168686E+01
  10   -0.175857514239837642E+00
  11    0.144443746720254479E+00
  12   -0.454621035025866260E+00
  13   -0.296857378522036142E+00
  14   -0.100935056011483515E+01

MAP Parameters
Dim No.        Parameter
   1    0.733067353644953901E-01
   2   -0.183021961363021788E+02
   3    0.678181837709366131E+00
   4    0.102646660762430009E+01
   5    0.134715267911724897E-01
   6    0.204538475831678879E+01
   7   -0.223386199732915802E+01
   8    0.204087018501452055E-01
   9   -0.220808638105168686E+01
  10   -0.175857514239837642E+00
  11    0.144443746720254479E+00
  12   -0.454621035025866260E+00
  13   -0.296857378522036142E+00
  14   -0.100935056011483515E+01
