Nested Sampling Global Log-Evidence           :   -0.274961595659216052E+02  +/-    0.541124812957914370E+00
Nested Importance Sampling Global Log-Evidence:   -0.333401955083284491E+02  +/-    0.539755119266248362E-01

Dim No.       Mean        Sigma
   1    0.212257992888839758E+00    0.278304127526859645E-01
   2   -0.264723101589899521E+02    0.615083702710073155E+01
   3    0.163574291795822546E+01    0.386496249161255509E-01
   4    0.149459749574896028E+01    0.124130525334874856E+00
   5    0.510073477766638094E-02    0.291370810542795726E-02
   6    0.131752825764555470E+01    0.998777005571227505E-01
   7   -0.168684301031027450E+01    0.444665382721943503E+00
   8   -0.461712230499041962E-01    0.699646672302359773E-01
   9   -0.587610655074782606E+01    0.348518123119214351E+01
  10   -0.333047184680890229E-01    0.407752901803616133E-01
  11   -0.171923867143744108E+00    0.956488373855247653E-01
  12   -0.217650029365952132E-01    0.200753064835850509E+00
  13   -0.223508825128141214E+00    0.117235739895968707E+00
  14   -0.106294254987391734E+01    0.630823878396643695E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.229925178676226361E+00
   2   -0.335877526822152248E+02
   3    0.158508834545158184E+01
   4    0.160581092681075877E+01
   5    0.569074027160883233E-02
   6    0.132258815391778151E+01
   7   -0.121055470100878715E+01
   8    0.143177696400821619E-02
   9   -0.877827008549908250E+01
  10   -0.755631166275013699E-01
  11   -0.134967427883648211E+00
  12    0.130005651061041810E+00
  13   -0.209588407619101330E+00
  14   -0.109391312465277624E+01

MAP Parameters
Dim No.        Parameter
   1    0.229925178676226361E+00
   2   -0.335877526822152248E+02
   3    0.158508834545158184E+01
   4    0.160581092681075877E+01
   5    0.569074027160883233E-02
   6    0.132258815391778151E+01
   7   -0.121055470100878715E+01
   8    0.143177696400821619E-02
   9   -0.877827008549908250E+01
  10   -0.755631166275013699E-01
  11   -0.134967427883648211E+00
  12    0.130005651061041810E+00
  13   -0.209588407619101330E+00
  14   -0.109391312465277624E+01
