tnsname control_id           ra         dec   ra_offset  dec_offset radius_arcsec n_detec n_detec_o n_detec_c
2022esa          0 253.49000000 -9.70285000           0           0             0    3254      2494       760
    NaN          1 253.49338757 -9.69951088  0.00338757  0.00333912          17.0    3252      2492       760
    NaN          2 253.49000000 -9.69812778  0.00000000  0.00472222          17.0    3258      2498       760
    NaN          3 253.48661243 -9.69951088 -0.00338757  0.00333912          17.0    3267      2505       762
    NaN          4 253.48520925 -9.70285000 -0.00479075  0.00000000          17.0    3264      2501       763
    NaN          5 253.48661243 -9.70618912 -0.00338757 -0.00333912          17.0    3262      2500       762
    NaN          6 253.49000000 -9.70757222 -0.00000000 -0.00472222          17.0    3253      2493       760
    NaN          7 253.49338757 -9.70618912  0.00338757 -0.00333912          17.0    3247      2487       760
    NaN          8 253.49479075 -9.70285000  0.00479075 -0.00000000          17.0    3248      2488       760
