          MJD  MJDbin           uJy         duJy         stdev        x2  Nclip  Ngood  Nexcluded     Mask         m       dm
 57232.299952 57232.5         -21.5        258.0           NaN       NaN      0      1          1 0x800000 16.678148      NaN
          NaN 57437.5           NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57438.5           NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57439.5           NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN      NaN
 57440.559279 57440.5     50.701546    19.746849     38.183766  0.951485      0      4          4 0x800000 18.797090      NaN
 57441.554212 57441.5    -21.901364    21.436392     38.279673  0.800876      0      4          4 0x800000 19.379318      NaN
          NaN 57442.5           NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57443.5           NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57444.5           NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57445.5           NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57446.5           NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57447.5           NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57448.5           NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57449.5           NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57450.5           NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57451.5           NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57452.5           NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57453.5           NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57454.5           NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57455.5           NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57456.5           NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57457.5           NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57458.5           NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57459.5           NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57460.5           NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57461.5           NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57462.5           NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57463.5           NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57464.5           NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57465.5           NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN      NaN
 57466.511916 57466.5     -0.896603     13.36065     23.706539  0.889739      0      4          4 0x800000 19.892628      NaN
          NaN 57467.5           NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57468.5           NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57469.5           NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN      NaN
 57470.486202 57470.5    -49.263548    66.990307     120.67035  0.547642      0      3          3 0x800000 18.142167      NaN
  57471.31263 57471.5         -78.5        116.0           NaN       NaN      0      1          1 0x800000 17.546052      NaN
