         MJD         m       dm  uJy  duJy F  err  chi/N        RA       Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  uJy_offset
59690.063419 19.401649      NaN  NaN    21 o    0   1.15 304.09817 -51.08497   770.78  4000.92 2.35 2.21 -26.5 -0.416    18.72 19.19 03a59690o0641o 0xc00800         NaN
59690.063874 19.197966      NaN  NaN    22 o    0   1.16 304.09817 -51.08497 10210.29  4086.18 2.76 2.13 -50.8 -0.336    18.71 19.23 03a59690o0642o 0xc00800         NaN
59690.069845 18.944322      NaN  NaN    21 o    0   0.86 304.09817 -51.08497 10266.05  4162.21 2.74 2.10 -51.3 -0.347    18.76 19.25 03a59690o0652o 0xc00800         NaN
59690.074685 19.401649      NaN  NaN    21 o    0   1.11 304.09817 -51.08497   791.84  3883.81 2.32 2.15 -33.4 -0.406    18.76 19.22 03a59690o0661o 0xc00800         NaN
59690.082929 19.256669      NaN  NaN    24 o    0   1.11 304.09817 -51.08497 10288.40  4046.24 2.74 2.09 -53.0 -0.347    18.76 19.29 03a59690o0676o 0xc00800         NaN
59692.333018 19.226921      NaN  NaN    22 o    0   1.20 304.09817 -51.08497  1742.92   336.43 2.29 1.78  39.8 -0.453    18.86 19.51 04a59692o0749o 0xc00800         NaN
59692.340357 19.766969      NaN  NaN    15 o    0   1.88 304.09817 -51.08497  1726.33   298.23 2.34 1.88  36.0 -0.448    18.83 19.52 04a59692o0762o 0xc00800         NaN
59692.344869 18.767304      NaN  NaN    20 o    0   1.26 304.09817 -51.08497  1785.59   379.46 2.36 1.90  35.9 -0.439    18.77 19.53 04a59692o0770o 0xc00800         NaN
59692.361190 19.696897      NaN  NaN    16 o    0   1.21 304.09817 -51.08497  1813.73   263.97 2.27 1.71  38.2 -0.464    18.88 19.60 04a59692o0799o 0xc00800         NaN
59692.369908 19.051202      NaN  NaN    29 o    0   1.19 304.09817 -51.08497  3775.47 10520.06 2.34 1.69 -69.6 -0.476    18.92 19.70 04a59692o0815o 0xc00800         NaN
59702.130696 18.878500      NaN  NaN    34 o    0   0.88 304.09817 -51.08497  2192.94  2128.44 2.39 2.15 -51.0 -0.400    18.35 19.41 03a59702o0878o 0xc00900         NaN
59702.135226 19.766969      NaN  NaN    15 o    0   0.98 304.09817 -51.08497  2176.05  2089.50 2.29 2.18 -57.0 -0.422    19.16 20.15 03a59702o0886o 0xc00800         NaN
59702.142136 19.014394      NaN  NaN    30 o    0   0.99 304.09817 -51.08497  2228.05  2169.94 2.35 2.19 -55.7 -0.410    18.52 19.51 03a59702o0899o 0xc00800         NaN
59702.155670 18.048890      NaN  NaN    73 o    0   0.95 304.09817 -51.08497  2243.86  2057.40 2.32 2.09 -57.2 -0.411    17.53 18.43 03a59702o0928o 0xc00800         NaN
59708.362270 19.241693      NaN  NaN    16 o    0   1.39 304.09817 -51.08497  7322.68    77.73 2.34 1.97 -30.6 -0.389    19.31 20.49 04a59708o0819o 0xc00800         NaN
59708.363170 19.401649      NaN  NaN    16 o    0   1.60 304.09817 -51.08497  9941.23 10193.10 2.67 2.32  30.0 -0.428    19.18 20.43 04a59708o0821o 0xc00800         NaN
59708.364071 16.279867      NaN  NaN   305 o    0   0.29 304.09817 -51.08497  7305.69    39.48 2.53 2.02 -32.8 -0.359    19.24 20.46 04a59708o0823o 0xc00802         NaN
59708.369203 19.384550      NaN  NaN    20 o    0   1.28 304.09817 -51.08497  9925.77 10156.28 2.86 2.38  21.7 -0.388    18.98 20.18 04a59708o0833o 0xc00800         NaN
