Nested Sampling Global Log-Evidence           :   -0.154587415355711482E+02  +/-    0.388943758643236603E+00
Nested Importance Sampling Global Log-Evidence:   -0.206940315754493867E+02  +/-    0.788525527710241814E-01

Dim No.       Mean        Sigma
   1    0.916471286457241768E-01    0.483422738212248571E-01
   2   -0.189188760931136244E+02    0.790894326962650052E+00
   3    0.328068044602919717E+00    0.935750361379663331E-01
   4    0.133427939993279510E+01    0.230366208054870486E+00
   5    0.106150895004253083E-01    0.407857404868959984E-02
   6    0.133337971019528889E+01    0.127140032037135475E+00
   7   -0.165705177198982945E+01    0.445270852562188346E+00
   8   -0.107874665028947839E+00    0.644478310236929336E-01
   9   -0.847901118950842525E+00    0.948263703311614803E+00
  10   -0.101928169265843707E+00    0.118290583858835521E+00
  11   -0.416578396330288606E-01    0.137029563003353450E+00
  12   -0.210367687262023290E+00    0.239068886569630407E+00
  13   -0.586217927551125617E-01    0.170863169082552169E+00
  14   -0.106126174482303304E+01    0.561716337674152064E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.111322821364381291E+00
   2   -0.187259202084511003E+02
   3    0.371861918382618895E+00
   4    0.148326766531441945E+01
   5    0.140964663193117873E-01
   6    0.122596820282306429E+01
   7   -0.124006387363226311E+01
   8   -0.153840540586440366E+00
   9   -0.160942054264084144E+01
  10   -0.146941262956234359E+00
  11   -0.779191589142946422E-01
  12   -0.762370190658313684E+00
  13   -0.147251700442479261E+00
  14   -0.101465198388867317E+01

MAP Parameters
Dim No.        Parameter
   1    0.111322821364381291E+00
   2   -0.187259202084511003E+02
   3    0.371861918382618895E+00
   4    0.148326766531441945E+01
   5    0.140964663193117873E-01
   6    0.122596820282306429E+01
   7   -0.124006387363226311E+01
   8   -0.153840540586440366E+00
   9   -0.160942054264084144E+01
  10   -0.146941262956234359E+00
  11   -0.779191589142946422E-01
  12   -0.762370190658313684E+00
  13   -0.147251700442479261E+00
  14   -0.101465198388867317E+01
