         MJD         m       dm    uJy  duJy F  err   chi/N        RA     Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  uJy_offset
57606.280694 19.841877      NaN    0.0    14 c    0    0.98 225.12458 17.2363  8134.03  3716.05 3.87 3.61  67.5 -0.413    19.64 21.57 02a57606o0016c 0xc00800         0.0
57606.293446 19.841877      NaN  -12.0    14 c    0    1.25 225.12458 17.2363  8151.53  3600.39 3.89 3.65  63.9 -0.426    19.66 21.63 02a57606o0033c 0xc00800         0.0
57606.304629 19.696897      NaN  -27.0    16 c    0    0.77 225.12458 17.2363  8113.10  3657.13 3.95 3.72  61.9 -0.423    19.66 21.67 02a57606o0048c 0xc00800         0.0
57626.240445 19.002397      NaN   28.0    21 c    0    0.96 225.12458 17.2363  8331.25  5168.47 4.24 3.75  84.0 -0.437    19.19 20.91 02a57626o0023c 0xc00800         0.0
57626.243525 19.529530      NaN    5.0    17 c    0    1.05 225.12458 17.2363  6390.38  5133.18 4.01 3.81 -78.4 -0.414    19.36 21.24 02a57626o0029c 0xc00800         0.0
57626.249298 19.841877      NaN  -24.0    14 c    0    1.11 225.12458 17.2363  6446.99  5209.62 3.89 3.68 -81.1 -0.424    19.52 21.49 02a57626o0040c 0xc00800         0.0
57626.257616 19.696897      NaN  -10.0    16 c    0    0.86 225.12458 17.2363  6466.91  5092.83 3.96 3.79 -79.2 -0.411    19.52 21.55 02a57626o0056c 0xc00800         0.0
57626.268573 19.631075      NaN    9.0    14 c    0    1.19 225.12458 17.2363  6428.56  5150.32 3.90 3.73 -85.1 -0.410    19.51 21.51 02a57626o0077c 0xc00800         0.0
57633.281925 15.441359      NaN  564.0   618 c    0    1.17 225.12458 17.2363  7276.87  3761.71 4.64 4.50  84.8 -0.327    17.55 19.53 02a57633o0026c 0xc00802         0.0
57637.250487 19.271854      NaN   14.0    19 c    0    1.05 225.12458 17.2363  7247.70  6584.11 3.96 3.71  62.3 -0.424    19.20 20.86 02a57637o0024c 0xc00800         0.0
57637.259477 19.569016      NaN  -19.0    18 c    0    1.29 225.12458 17.2363  7228.57  6543.70 3.75 3.57  87.8 -0.414    19.19 20.80 02a57637o0042c 0xc00800         0.0
57637.271469 19.401649      NaN  -10.0    21 c    0    0.96 225.12458 17.2363  7283.02  6621.08 3.79 3.59 -87.7 -0.410    19.13 20.73 02a57637o0066c 0xc00800         0.0
57777.671327 19.302877      NaN  -23.0    23 c    0    0.80 225.12458 17.2363  3445.18  6685.33 3.92 3.80  82.5 -0.376    19.13 20.59 02a57777o0852c 0xc00800         0.0
57781.662993 19.841877      NaN  -18.0    14 c    0    1.12 225.12458 17.2363  3095.82  6412.40 3.52 3.49  38.6 -0.451    19.76 21.69 02a57781o0773c 0xc00800         0.0
57781.680474 16.660063      NaN  304.0   161 c    0    0.86 225.12458 17.2363  3115.31  6451.35 3.63 3.56  48.5 -0.449    17.79 17.89 02a57781o0799c 0xc00802         0.0
