tnsname control_id           ra          dec   ra_offset  dec_offset radius_arcsec n_detec n_detec_o n_detec_c
2020onv          0 349.19175000 -23.31031111           0           0             0    2985      2272       713
    NaN          1 349.19538589 -23.30697200  0.00363589  0.00333912          17.0    2987      2272       715
    NaN          2 349.19175000 -23.30558889  0.00000000  0.00472222          17.0    2985      2272       713
    NaN          3 349.18811411 -23.30697200 -0.00363589  0.00333912          17.0    2987      2275       712
    NaN          4 349.18660807 -23.31031111 -0.00514193  0.00000000          17.0    2985      2274       711
    NaN          5 349.18811411 -23.31365023 -0.00363589 -0.00333912          17.0    2985      2273       712
    NaN          6 349.19175000 -23.31503333 -0.00000000 -0.00472222          17.0    2982      2269       713
    NaN          7 349.19538589 -23.31365023  0.00363589 -0.00333912          17.0    2985      2270       715
    NaN          8 349.19689193 -23.31031111  0.00514193 -0.00000000          17.0    2986      2272       714
