tnsname control_id           ra         dec   ra_offset  dec_offset radius_arcsec n_detec n_detec_o n_detec_c
2022erq          0 278.35566667 44.08656944           0           0             0    3186      2372       814
    NaN          1 278.36031537 44.08990856  0.00464870  0.00333912          17.0    3191      2375       816
    NaN          2 278.35566667 44.09129167  0.00000000  0.00472222          17.0    3188      2373       815
    NaN          3 278.35101796 44.08990856 -0.00464870  0.00333912          17.0    3183      2369       814
    NaN          4 278.34909241 44.08656944 -0.00657426  0.00000000          17.0    3181      2367       814
    NaN          5 278.35101796 44.08323033 -0.00464870 -0.00333912          17.0    3181      2368       813
    NaN          6 278.35566667 44.08184722 -0.00000000 -0.00472222          17.0    3185      2371       814
    NaN          7 278.36031537 44.08323033  0.00464870 -0.00333912          17.0    3189      2374       815
    NaN          8 278.36224093 44.08656944  0.00657426 -0.00000000          17.0    3190      2375       815
