         MJD         m       dm   uJy  duJy F  err    chi/N        RA      Dec        x        y   maj  min   phi  apfit  mag5sig   Sky            Obs   __tmp_SN
57328.229921 18.816441      NaN   -17    36 o    0     1.07 278.34909 44.08657  8784.91  9953.67  4.53 3.79  86.4 -0.482    18.76 20.45 02a57328o0084o  -0.472222
57328.245721 17.217448      NaN  -174   157 o    0     1.35 278.34909 44.08657 10291.73   257.35  6.77 3.72  23.0 -0.397    17.69 19.23 02a57328o0109o  -1.108280
57440.635251 18.356290      NaN   -30    55 o    0     1.33 278.34909 44.08657 10450.10  1621.32  4.74 3.76  33.2 -0.522    18.28 19.16 02a57440o0767o  -0.545455
57440.637404 18.459772      NaN   -89    50 o    0     1.55 278.34909 44.08657   966.36  1622.50  5.40 3.79 -23.5 -0.484    18.16 19.05 02a57440o0771o  -1.780000
57440.648671 18.261819      NaN    15    55 o    0     1.15 278.34909 44.08657  1251.96  2221.77  4.93 3.57 -25.6 -0.494    18.28 19.14 02a57440o0792o   0.272727
57440.655030 18.174913      NaN    51    48 o    0     1.08 278.34909 44.08657  9583.90  2838.88  4.28 3.75  36.5 -0.485    18.33 19.27 02a57440o0804o   1.062500
57440.656085 18.417189      NaN   -23    52 o    0     0.86 278.34909 44.08657   114.70  2757.73  5.22 3.75 -33.0 -0.425    18.27 19.16 02a57440o0806o  -0.442308
57440.659164 18.180496      NaN    59    45 o    0     1.32 278.34909 44.08657  9371.68  3120.28  4.26 3.84  39.0 -0.467    18.29 19.25 02a57440o0812o   1.311111
57441.628937 18.243872      NaN    -2    61 o    0     1.04 278.34909 44.08657 10229.98  2022.37  4.36 3.55  35.9 -0.543    18.28 19.06 02a57441o0769o  -0.032787
57441.631141 18.280067      NaN   -15    59 o    0     1.12 278.34909 44.08657   744.01  2001.56  5.04 3.41 -25.2 -0.518    18.22 18.97 02a57441o0773o  -0.254237
57441.640669 17.603715      NaN  -202   110 o    0     0.73 278.34909 44.08657 10510.31  2597.76  4.30 3.63  48.4 -0.535    18.30 19.13 02a57441o0791o  -1.836364
57441.642316 18.104842      NaN    40    56 o    0     0.93 278.34909 44.08657  1041.55  2601.36  4.84 3.52 -26.5 -0.481    18.22 19.03 02a57441o0794o   0.714286
57441.648600 18.131260      NaN    62    47 o    0     1.22 278.34909 44.08657  9353.27  3234.95  3.86 3.46  55.0 -0.503    18.32 19.15 02a57441o0806o   1.319149
57441.652824 17.976960      NaN    93    47 o    0     1.05 278.34909 44.08657  9369.65  3118.83  3.97 3.55  41.8 -0.502    18.32 19.17 02a57441o0814o   1.978723
57466.642690 19.169763      NaN    -4    26 o    0     1.25 278.34909 44.08657 10307.35  1724.46  4.88 3.77  32.1 -0.525    19.28 21.08 02a57466o0869o  -0.153846
57466.652801 18.376212      NaN     3    53 o    0     1.17 278.34909 44.08657   821.55  1706.63  5.30 3.37 -24.7 -0.514    18.35 19.22 02a57466o0889o   0.056604
57470.568863 16.562492      NaN  -274   287 o    0     1.18 278.34909 44.08657 10004.44  1721.42  4.58 3.69  35.1 -0.543    16.85 17.01 02a57470o0733o  -0.954704
57470.576725 18.191747      NaN   -22    64 o    0     1.03 278.34909 44.08657   508.92  1679.79  5.26 3.67 -27.2 -0.498    18.12 18.94 02a57470o0749o  -0.343750
57470.582158 18.226218      NaN     6    60 o    0     1.14 278.34909 44.08657 10282.39  2298.05  4.61 3.72  43.2 -0.541    18.22 19.05 02a57470o0760o   0.100000
57470.589064 18.280067      NaN   -20    59 o    0     0.98 278.34909 44.08657   807.53  2281.90  4.96 3.55 -27.1 -0.501    18.20 19.02 02a57470o0774o  -0.338983
57470.592956 18.481707      NaN   -33    49 o    0     1.21 278.34909 44.08657  9126.80  2934.13  4.12 3.62  45.2 -0.519    18.25 19.08 02a57470o0782o  -0.673469
57470.600268 18.376212      NaN   -39    54 o    0     1.15 278.34909 44.08657  9350.08  3122.41  4.23 3.67  51.4 -0.504    18.27 19.12 02a57470o0797o  -0.722222
57492.523062 18.826541      NaN    32    25 o    0     1.37 278.34909 44.08657 10319.84  1997.82  4.35 3.75  42.1 -0.517    19.20 20.84 02a57492o0623o   1.280000
57492.548207 19.212347      NaN     3    24 o    0     1.42 278.34909 44.08657   822.80  1991.42  4.73 3.49 -27.9 -0.486    19.21 20.83 02a57492o0675o   0.125000
57492.550647 19.510313      NaN    -7    19 o    0     1.60 278.34909 44.08657  9438.50  3216.37  3.89 3.45  62.0 -0.493    19.25 20.89 02a57492o0680o  -0.368421
57492.556555 19.212347      NaN    -5    25 o    0     1.34 278.34909 44.08657  1122.97  2590.37  4.47 3.47 -29.6 -0.480    19.21 20.81 02a57492o0692o  -0.200000
57492.563416 18.558199      NaN    50    29 o    0     1.95 278.34909 44.08657  9357.38  3125.70  3.53 3.16 -49.9 -0.508    18.89 20.67 02a57492o0706o   1.724138
57523.457537 18.944322      NaN     0    32 o    0     1.25 278.34909 44.08657  8231.75  1698.05  4.39 3.74  20.2 -0.529    18.88 20.24 02a57523o0419o   0.000000
57523.468308 18.878500      NaN   -10    34 o    0     1.02 278.34909 44.08657  8268.38  1732.51  4.48 3.87  16.5 -0.510    18.87 20.27 02a57523o0441o  -0.294118
57523.478727 19.014394      NaN   -28    30 o    0     1.40 278.34909 44.08657  8208.00  1661.41  4.37 3.64  19.2 -0.529    18.94 20.35 02a57523o0462o  -0.933333
57523.495367 19.169763      NaN   -12    26 o    0     1.36 278.34909 44.08657  8181.51  1778.68  4.41 3.63  16.9 -0.519    19.05 20.57 02a57523o0495o  -0.461538
57523.506709 18.967180      NaN     7    29 o    0     1.13 278.34909 44.08657  8223.00  1719.22  4.34 3.61  20.8 -0.525    19.08 20.66 02a57523o0517o   0.241379
57527.461454 18.417189      NaN   -80    52 o    0     0.93 278.34909 44.08657  9951.66  1433.72  5.25 4.23  34.7 -0.513    18.50 19.60 02a57527o0303o  -1.538462
57527.465353 18.336727      NaN    24    48 o    0     1.05 278.34909 44.08657   465.44  1386.88  5.51 3.60 -24.3 -0.504    18.54 19.58 02a57527o0311o   0.500000
57527.470898 18.550302      NaN   -18    46 o    0     1.04 278.34909 44.08657  9984.62  1465.88  4.87 3.98  38.2 -0.529    18.54 19.61 02a57527o0322o  -0.391304
57527.474835 18.452558 0.330754   151    46 o    0     0.98 278.34909 44.08657   490.65  1421.84  5.50 3.66 -24.5 -0.493    18.52 19.60 02a57527o0330o   3.282609
57527.477742 18.147425      NaN    56    48 o    0     1.22 278.34909 44.08657  9926.44  1391.75  5.00 4.07  34.7 -0.519    18.52 19.61 02a57527o0336o   1.166667
57527.486335 18.349730      NaN    31    45 o    0     0.98 278.34909 44.08657   427.89  1343.36  5.47 3.71 -26.2 -0.494    18.56 19.63 02a57527o0353o   0.688889
57527.494550 18.598565      NaN    -5    44 o    0     1.13 278.34909 44.08657  9905.39  1512.03  4.88 3.92  34.9 -0.525    18.58 19.65 02a57527o0369o  -0.113636
57527.502908 18.369531      NaN    43    40 o    0     1.46 278.34909 44.08657   419.60  1458.67  5.37 3.63 -27.8 -0.490    18.59 19.65 02a57527o0384o   1.075000
57527.506443 18.598565      NaN    -6    44 o    0     1.17 278.34909 44.08657  9947.23  1451.54  4.96 4.08  34.3 -0.515    18.53 19.63 02a57527o0391o  -0.136364
57527.514260 18.550302      NaN   -13    46 o    0     1.06 278.34909 44.08657   446.68  1398.98  5.51 3.78 -27.5 -0.473    18.57 19.65 02a57527o0406o  -0.282609
57535.437613 18.944322      NaN   -23    32 o    0     1.29 278.34909 44.08657 10164.53  2595.81  4.21 3.54  54.8 -0.520    18.89 20.21 02a57535o0424o  -0.718750
57535.449703 18.757738      NaN     9    35 o    0     0.91 278.34909 44.08657 10211.53  2626.30  4.03 3.46  59.6 -0.519    18.92 20.26 02a57535o0448o   0.257143
57535.455155 19.089302      NaN   -16    28 o    0     1.34 278.34909 44.08657   709.46  2563.64  4.58 3.45 -30.9 -0.477    18.88 20.20 02a57535o0459o  -0.571429
57535.462122 19.014394      NaN   -15    30 o    0     1.41 278.34909 44.08657 10159.14  2548.75  3.99 3.40  66.0 -0.499    18.96 20.30 02a57535o0473o  -0.500000
57535.464591 19.014394      NaN   -27    30 o    0     1.11 278.34909 44.08657   728.54  2600.30  4.64 3.56 -32.7 -0.472    18.89 20.24 02a57535o0478o  -0.900000
57535.471911 19.051202      NaN   -56    29 o    0     1.05 278.34909 44.08657   668.35  2521.71  4.53 3.47 -32.7 -0.476    18.93 20.29 02a57535o0493o  -1.931034
57535.473409 18.978793      NaN    -4    31 o    0     1.18 278.34909 44.08657 10125.65  2669.90  3.99 3.43  60.3 -0.510    18.98 20.34 02a57535o0496o  -0.129032
57535.484706 18.978793      NaN    -4    31 o    0     1.16 278.34909 44.08657   643.88  2643.05  4.61 3.49 -31.8 -0.463    18.93 20.28 02a57535o0518o  -0.129032
57535.485828 19.051202      NaN   -20    29 o    0     1.33 278.34909 44.08657 10159.69  2615.79  4.16 3.49  57.6 -0.512    18.98 20.34 02a57535o0520o  -0.689655
57535.496097 19.128787      NaN   -30    27 o    0     1.28 278.34909 44.08657   689.85  2583.97  4.55 3.44 -33.3 -0.475    18.95 20.29 02a57535o0540o  -1.111111
57568.412701 19.142275      NaN    11    23 o    0     1.26 278.34909 44.08657 10006.02  2925.83  4.12 3.54  62.4 -0.511    19.35 21.13 02a57568o0361o   0.478261
57568.425035 19.454622      NaN   -13    20 o    0     1.95 278.34909 44.08657   542.56  2884.56  4.47 3.49 -36.8 -0.466    19.36 21.17 02a57568o0386o  -0.650000
57568.431043 18.867907      NaN    34    23 o    0     1.11 278.34909 44.08657   536.12  7578.84  4.23 3.63 -60.5 -0.443    19.34 21.17 02a57568o0398o   1.478261
57568.440509 18.826541      NaN    47    20 o    0     1.78 278.34909 44.08657   604.45  7651.49  3.95 3.53 -60.2 -0.459    19.37 21.18 02a57568o0417o   2.350000
57568.447454 19.089302      NaN    18    22 o    0     1.03 278.34909 44.08657   557.24  2919.40  4.56 3.59 -36.0 -0.447    19.36 21.21 02a57568o0431o   0.818182
57568.449871 19.302877      NaN     3    22 o    0     1.27 278.34909 44.08657   505.43  2836.11  4.36 3.47 -35.8 -0.465    19.40 21.26 02a57568o0436o   0.136364
57568.457262 19.351140      NaN   -22    22 o    0     1.14 278.34909 44.08657   616.95  7533.21  3.97 3.41 -62.9 -0.461    19.41 21.23 02a57568o0451o  -1.000000
57568.460646 19.302877      NaN     9    20 o    0     1.16 278.34909 44.08657 10085.37  7580.17  4.34 3.26  82.0 -0.468    19.38 21.24 02a57568o0458o   0.450000
57568.461613 19.401649      NaN   -19    21 o    0     1.30 278.34909 44.08657   575.54  7594.84  4.05 3.53 -59.6 -0.451    19.40 21.24 02a57568o0460o  -0.904762
57568.475816 18.836735      NaN    46    20 o    0     1.33 278.34909 44.08657 10056.81  7635.92  4.27 3.10  85.1 -0.479    19.38 21.22 02a57568o0488o   2.300000
57597.384066 19.302877      NaN   -37    23 o    0     0.92 278.34909 44.08657  8324.79  8113.72  4.58 4.52 -43.4 -0.375    19.18 21.24 02a57597o0203o  -1.608696
57597.388903 19.038793      NaN    22    22 o    0     1.10 278.34909 44.08657  8310.18  8075.18  4.79 4.30  10.3 -0.385    19.19 21.25 02a57597o0213o   1.000000
57597.415990 19.529530      NaN     2    18 o    0     1.27 278.34909 44.08657  8365.68  8155.95  4.26 3.51  86.6 -0.443    19.39 21.30 02a57597o0268o   0.111111
57597.418886 19.510313      NaN   -12    19 o    0     1.40 278.34909 44.08657  8378.57  8038.58  4.23 3.54  85.9 -0.453    19.39 21.31 02a57597o0274o  -0.631579
57597.431774 19.419021      NaN     8    18 o    0     1.34 278.34909 44.08657  8348.12  8095.13  4.30 3.78  82.0 -0.437    19.37 21.37 02a57597o0300o   0.444444
57598.368127 19.318728      NaN     2    22 o    0     1.30 278.34909 44.08657  1840.94  8576.06  4.73 4.12 -21.1 -0.397    19.18 21.19 02a57598o0270o   0.090909
57598.384437 19.256669      NaN   -40    24 o    0     0.88 278.34909 44.08657  1828.13  8535.95  4.84 4.18 -33.6 -0.400    19.16 21.15 02a57598o0303o  -1.666667
57598.393739 19.026525      NaN    17    24 o    0     1.15 278.34909 44.08657  1881.15  8610.98  4.84 4.16 -26.9 -0.398    19.17 21.20 02a57598o0322o   0.708333
57598.398075 19.454622      NaN   -34    20 o    0     1.30 278.34909 44.08657  1894.87  8492.76  4.15 3.79 -48.2 -0.436    19.33 21.25 02a57598o0331o  -1.700000
57598.418926 19.454622      NaN   -14    20 o    0     1.55 278.34909 44.08657  1854.32  8552.10  4.42 3.81 -69.0 -0.421    19.23 21.13 02a57598o0373o  -0.700000
57613.347378 18.878500      NaN    18    28 o    0     1.27 278.34909 44.08657   637.87  8413.64  3.89 3.52 -62.3 -0.463    18.90 20.61 02a57613o0228o   0.642857
57613.357287 18.944322      NaN    -2    32 o    0     1.39 278.34909 44.08657 10131.82  8467.04  4.55 3.24  85.1 -0.507    18.89 20.64 02a57613o0247o  -0.062500
57613.366126 18.445391      NaN    53    33 o    0     1.32 278.34909 44.08657  8988.39  8377.09  4.17 3.27  87.0 -0.502    18.88 20.63 02a57613o0264o   1.606061
57613.373886 18.623526      NaN    36    31 o    0     1.18 278.34909 44.08657  9045.16  8455.74  4.22 3.21  86.2 -0.491    18.90 20.62 02a57613o0279o   1.161290
