         MJD         m       dm    uJy  duJy F  err    chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs  __tmp_SN
57541.469729 19.226921      NaN     23    17 c    0     1.06 278.35567 44.08185  8670.74  1923.97 4.62 3.90  19.7 -0.467    19.67 21.83 02a57541o0566c  1.352941
57541.478757 19.302877      NaN     21    16 c    0     1.09 278.35567 44.08185  8616.97  1847.21 4.33 3.76  24.2 -0.473    19.72 21.82 02a57541o0582c  1.312500
57541.486886 19.696897      NaN     -1    16 c    0     1.11 278.35567 44.08185  8613.28  1965.65 4.21 3.71  24.5 -0.469    19.69 21.78 02a57541o0598c -0.062500
57541.500494 19.212347      NaN     30    15 c    0     1.22 278.35567 44.08185  1927.19  8627.09 4.07 3.66 -57.7 -0.430    19.66 21.77 02a57541o0625c  2.000000
57545.446752 19.510313      NaN     -6    19 c    0     0.86 278.35567 44.08185  2113.02  2745.23 4.43 3.73 -24.4 -0.423    19.47 21.52 02a57545o0424c -0.315789
57545.456246 18.944322      NaN    -53    32 c    0     1.08 278.35567 44.08185  2124.03  2784.04 4.52 3.78 -16.8 -0.421    18.89 20.89 02a57545o0442c -1.656250
57545.463946 19.212347      NaN    -14    25 c    0     0.96 278.35567 44.08185  2069.30  2703.62 4.64 3.85 -19.1 -0.411    19.07 21.11 02a57545o0457c -0.560000
57545.471927 19.038793      NaN      4    28 c    0     1.04 278.35567 44.08185  2063.18  2818.74 4.34 3.67 -23.5 -0.434    18.94 20.90 02a57545o0473c  0.142857
57549.431127 18.720295      NaN     55    21 c    0     1.07 278.35567 44.08185 10287.21  1132.35 4.96 3.93  36.8 -0.474    19.71 21.86 02a57549o0276c  2.619048
57549.434525 19.510313      NaN     -4    19 c    0     1.05 278.35567 44.08185   790.64  1106.24 5.21 3.76 -24.0 -0.466    19.69 21.83 02a57549o0283c -0.210526
57549.441306 19.351140      NaN     -8    22 c    0     1.01 278.35567 44.08185 10298.19  1171.27 5.22 4.07  34.9 -0.455    19.68 21.87 02a57549o0295c -0.363636
57549.445904 19.631075      NaN    -12    17 c    0     1.17 278.35567 44.08185   809.15  1151.86 5.26 3.88 -23.8 -0.450    19.67 21.85 02a57549o0304c -0.705882
57549.471219 19.510313      NaN      6    17 c    0     1.07 278.35567 44.08185   747.72  1073.62 5.19 3.83 -23.7 -0.454    19.71 21.89 02a57549o0352c  0.352941
57549.473002 19.334813      NaN     16    17 c    0     1.17 278.35567 44.08185   324.65  9331.16 4.83 4.27 -32.6 -0.371    19.60 21.90 02a57549o0355c  0.941176
57549.479502 19.401649      NaN     -8    21 c    0     1.00 278.35567 44.08185 10265.06  1154.20 5.06 4.05  33.1 -0.443    19.68 21.89 02a57549o0368c -0.380952
57549.480469 19.454622      NaN      6    18 c    0     1.02 278.35567 44.08185   743.30  1178.92 5.13 3.87 -26.4 -0.455    19.69 21.87 02a57549o0370c  0.333333
57549.490188 19.569016      NaN     -7    18 c    0     0.97 278.35567 44.08185   779.42  1123.50 5.07 3.84 -24.4 -0.458    19.71 21.88 02a57549o0390c -0.388889
57581.388712 19.169763      NaN    -24    26 c    0     1.02 278.35567 44.08185  1635.39  6620.10 4.22 3.70 -53.8 -0.455    19.00 20.66 02a57581o0283c -0.923077
57581.409990 19.318728      NaN      8    20 c    0     0.87 278.35567 44.08185  1616.75  6584.60 4.13 3.59 -55.0 -0.463    19.34 21.15 02a57581o0326c  0.400000
57581.422159 19.155932      NaN     25    18 c    0     1.03 278.35567 44.08185  1672.16  6659.24 4.30 3.70 -56.0 -0.446    19.41 21.35 02a57581o0350c  1.388889
57581.425057 19.302877      NaN     24    15 c    0     1.04 278.35567 44.08185  1686.92  6541.62 4.19 3.65 -54.0 -0.454    19.44 21.39 02a57581o0356c  1.600000
57581.439971 19.841877      NaN     -5    14 c    0     1.40 278.35567 44.08185  1639.84  6602.48 4.03 3.50 -56.8 -0.459    19.64 21.73 02a57581o0385c -0.357143
57605.365915 19.674510      NaN      4    15 c    0     1.14 278.35567 44.08185  1893.56  6678.40 3.95 3.65 -57.2 -0.419    19.70 21.86 02a57605o0255c  0.266667
57605.377310 19.766969      NaN    -22    15 c    0     1.02 278.35567 44.08185  1878.12  6638.00 4.12 3.68 -65.0 -0.418    19.69 21.87 02a57605o0277c -1.466667
57605.379838 19.529530      NaN      2    18 c    0     0.93 278.35567 44.08185  1933.21  6713.71 4.62 4.32 -55.8 -0.388    19.55 21.87 02a57605o0282c  0.111111
