Nested Sampling Global Log-Evidence           :   -0.152602845859452657E+03  +/-    0.840976017257455521E+00
Nested Importance Sampling Global Log-Evidence:   -0.155155802570951010E+03  +/-    0.433932797282180482E-01

Dim No.       Mean        Sigma
   1    0.125876202600727183E+00    0.116353897969748519E-01
   2   -0.561467811859965167E+02    0.787358548243928591E+00
   3    0.847861212638053696E+00    0.359325650894923507E-01
   4    0.133268115725019243E+01    0.393940936729014618E-01
   5    0.174990966554249561E-01    0.153377230043389595E-02
   6    0.230071051587559028E+01    0.114564266443508873E-01
   7   -0.164150634511303317E+01    0.349480499356619290E+00
   8   -0.145416046039193003E+00    0.193269937022599592E-01
   9   -0.798752887417416879E+01    0.973268719148205674E+00
  10   -0.705446620374038935E-01    0.565288572716788063E-01
  11    0.339119258017219405E-02    0.106309310155729905E+00
  12   -0.222619303470893065E+00    0.883317530765850706E-01
  13   -0.575315231381221953E-01    0.183023981400753898E-01
  14   -0.106069349672437041E+01    0.470119410319438866E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.111079495911776294E+00
   2   -0.575132134793109770E+02
   3    0.781432604711256640E+00
   4    0.131278775150568627E+01
   5    0.171643030987342210E-01
   6    0.230303422005805958E+01
   7   -0.213267474744765284E+01
   8   -0.142515481492332174E+00
   9   -0.720389223114242228E+01
  10   -0.457352301138939932E-01
  11   -0.771947654198850974E-01
  12   -0.202112498407386348E+00
  13   -0.552638631585264800E-01
  14   -0.110395776881215446E+01

MAP Parameters
Dim No.        Parameter
   1    0.111079495911776294E+00
   2   -0.575132134793109770E+02
   3    0.781432604711256640E+00
   4    0.131278775150568627E+01
   5    0.171643030987342210E-01
   6    0.230303422005805958E+01
   7   -0.213267474744765284E+01
   8   -0.142515481492332174E+00
   9   -0.720389223114242228E+01
  10   -0.457352301138939932E-01
  11   -0.771947654198850974E-01
  12   -0.202112498407386348E+00
  13   -0.552638631585264800E-01
  14   -0.110395776881215446E+01
