Nested Sampling Global Log-Evidence           :   -0.380933341789288504E+00  +/-                         NaN
Nested Importance Sampling Global Log-Evidence:   -0.997702809890044229E+00  +/-    0.813712003017708629E-01

Dim No.       Mean        Sigma
   1    0.890095869975512100E-01    0.844040828859679224E-02
   2   -0.205841529578252036E+02    0.296004086417439050E+01
   3    0.552502120221963211E+00    0.503521351317050836E-01
   4    0.165741833286488949E+01    0.759230262527999522E-01
   5    0.106329511835224991E-01    0.966663254188757592E-03
   6    0.180719545976722018E+01    0.104161157723689793E+00
   7   -0.173762480850643897E+01    0.316588031425859839E+00
   8   -0.104354276170595880E+00    0.115865664364429976E-01
   9   -0.419841506660557506E+01    0.187567734226902672E+01
  10   -0.152203947619941188E+00    0.778907768142921703E-01
  11   -0.773000451901567492E-01    0.549748881621552610E-01
  12   -0.163632010895147090E+00    0.543238092642606626E-01
  13    0.157477291717577940E-01    0.594001757182762921E-01
  14   -0.108397662491344837E+01    0.132453764106203933E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.858473215295437880E-01
   2   -0.218655339072277535E+02
   3    0.552477379976049732E+00
   4    0.156627403365137119E+01
   5    0.106368454018326963E-01
   6    0.176594837405524219E+01
   7   -0.146340258709679238E+01
   8   -0.105146249249331594E+00
   9   -0.307594041971763321E+01
  10   -0.174890904990975649E+00
  11   -0.124872422080381393E+00
  12   -0.264527987081554450E+00
  13    0.247723155139291697E-01
  14   -0.108272607481847438E+01

MAP Parameters
Dim No.        Parameter
   1    0.718991348237565109E-01
   2   -0.216851409534143968E+02
   3    0.625620992723089908E+00
   4    0.168341648820979173E+01
   5    0.109660445086943985E-01
   6    0.198665434968133181E+01
   7   -0.176953863120461552E+01
   8   -0.106240482419115531E+00
   9   -0.635188095498558170E+01
  10   -0.988027598751359259E-01
  11   -0.141784816767489996E+00
  12   -0.161432629214198708E+00
  13    0.483970658531798700E-01
  14   -0.108340647195755624E+01
