Nested Sampling Global Log-Evidence           :   -0.417858084464207238E+02  +/-    0.249941279193992533E+00
Nested Importance Sampling Global Log-Evidence:   -0.470828637410890352E+02  +/-    0.541804628163442339E-01

Dim No.       Mean        Sigma
   1    0.885438906512123619E-01    0.488803318644633195E-01
   2   -0.293197119767722114E+02    0.770999135542654646E+01
   3    0.727974636801368535E+00    0.406039254601489652E+00
   4    0.807550616947652400E+00    0.301356080775316226E+00
   5    0.885822565332634523E-02    0.474566532298787824E-02
   6    0.757074765604512256E+00    0.317465994864724932E+00
   7   -0.179619018383708551E+01    0.368436260525601855E+00
   8   -0.738093993172787149E-01    0.879589857027757022E-01
   9   -0.447897685006794610E+01    0.375597176345759998E+01
  10   -0.148043157554870519E+00    0.150176142471050988E+00
  11   -0.544400818580839385E-01    0.138087478194870716E+00
  12   -0.214952005239756189E+00    0.227193835152044776E+00
  13   -0.227435737161918561E+00    0.214430928609326249E+00
  14   -0.104606526863381988E+01    0.412642095439507972E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.732231142835148008E-01
   2   -0.433088430411816177E+02
   3    0.401684220655724900E+00
   4    0.118371457686918924E+01
   5    0.458642288898709980E-02
   6    0.158012424398629392E+00
   7   -0.190099591074763397E+01
   8   -0.227083863910052183E-01
   9   -0.542762231809172135E+01
  10   -0.203502166284431435E+00
  11   -0.573424251426646464E-01
  12   -0.327571819423003674E+00
  13   -0.287608952588354783E+00
  14   -0.100214608838983832E+01

MAP Parameters
Dim No.        Parameter
   1    0.757855435476856298E-01
   2   -0.242097230858335060E+02
   3    0.245359642963516478E+00
   4    0.840672251059576436E+00
   5    0.995846831404098923E-02
   6    0.784368259524386713E+00
   7   -0.212042090319479515E+01
   8   -0.521052288884593928E-01
   9   -0.587935733521123005E+01
  10    0.373389774543460284E-01
  11   -0.265251670778992032E+00
  12   -0.345043135674780510E+00
  13   -0.722882989273350846E-01
  14   -0.102386213450983998E+01
