,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,60456.407315,-20.785,1.661,-18,29,o,0,1.04,33.73558,-51.45272,4134.18,3566.72,2.33,2.23,88.5,-0.432,18.46,19.08,04a60456o0969o
1,60456.422923,20.24,0.886,29,26,o,0,1.36,33.73558,-51.45272,4115.3,3531.74,2.16,2.13,-75.6,-0.474,18.61,19.19,04a60456o1001o
2,60456.425715,-20.442,0.89,-24,22,o,0,1.81,33.73558,-51.45272,4170.83,3610.85,2.15,2.06,-85.0,-0.437,18.57,19.18,04a60456o1007o
3,60468.414435,21.983,1.757,6,10,c,0,1.41,33.73558,-51.45272,3186.14,1618.01,2.46,2.19,42.6,-0.391,19.34,21.13,04a60468o1019c
4,60468.421986,20.998,0.817,14,12,c,0,0.99,33.73558,-51.45272,3168.36,1581.3,2.33,2.05,41.4,-0.392,19.43,21.13,04a60468o1035c
5,60468.433838,21.186,1.132,12,14,c,0,0.93,33.73558,-51.45272,3226.52,1663.82,2.52,2.28,43.2,-0.377,19.25,20.87,04a60468o1060c
6,60468.437101,22.406,3.741,4,15,c,0,0.83,33.73558,-51.45272,3246.93,1547.56,2.42,2.26,43.3,-0.393,19.16,20.57,04a60468o1067c
7,60482.139681,-20.694,1.32,-19,25,o,0,1.19,33.73558,-51.45272,6901.9,1476.36,2.47,2.21,-43.3,-0.406,18.54,19.09,03a60482o0968o
8,60482.143434,-22.412,6.875,-4,27,o,0,0.96,33.73558,-51.45272,6885.25,1437.75,2.56,2.31,-40.4,-0.401,18.55,19.19,03a60482o0976o
9,60482.148724,-21.373,2.507,-10,26,o,0,1.22,33.73558,-51.45272,6939.18,1514.55,2.42,2.22,-37.2,-0.425,18.58,19.21,03a60482o0987o
10,60482.15881,-21.133,1.845,-13,24,o,0,1.17,33.73558,-51.45272,6964.07,1395.96,2.44,2.22,-35.0,-0.419,18.61,19.27,03a60482o1008o
11,60492.327059,20.694,0.826,19,16,o,0,0.87,33.73558,-51.45272,2201.96,7106.87,2.17,1.92,-74.2,-0.423,19.28,20.54,04a60492o0831o
12,60492.330239,20.561,0.707,22,15,o,0,0.98,33.73558,-51.45272,2182.21,7067.62,2.1,1.86,-67.4,-0.441,19.27,20.52,04a60492o0838o
13,60492.354965,22.412,3.0,4,12,o,0,1.41,33.73558,-51.45272,2243.46,7151.49,2.14,1.89,-71.9,-0.433,19.33,20.6,04a60492o0890o
14,60492.373875,19.789,0.327,44,14,o,0,1.01,33.73558,-51.45272,2266.86,7040.71,2.29,2.01,-68.3,-0.409,19.24,20.55,04a60492o0930o
15,60496.362571,-20.757,0.76,-18,14,o,0,1.07,33.73558,-51.45272,3176.64,5597.26,2.17,1.98,-83.3,-0.397,19.2,20.41,04a60496o0906o
16,60496.365801,20.022,0.389,36,14,o,0,1.28,33.73558,-51.45272,3159.08,5558.96,2.29,2.09,88.7,-0.381,19.18,20.44,04a60496o0913o
17,60496.385424,-22.077,2.511,-5,14,o,0,1.55,33.73558,-51.45272,3227.44,5642.62,2.04,1.99,83.0,-0.439,19.27,20.49,04a60496o0954o
18,60496.391397,21.712,1.476,8,11,o,0,1.04,33.73558,-51.45272,3249.09,5527.44,2.11,1.95,-80.3,-0.428,19.26,20.51,04a60496o0967o
19,60498.106904,19.86,0.276,41,11,c,0,1.4,33.73558,-51.45272,1327.38,1558.68,2.73,2.62,-60.0,-0.383,19.44,21.38,03a60498o0908c
20,60498.12091,21.106,0.887,13,12,c,0,1.22,33.73558,-51.45272,1312.85,1513.37,2.57,2.44,-63.0,-0.388,19.49,21.38,03a60498o0938c
21,60498.124108,20.36,0.428,26,11,c,0,0.98,33.73558,-51.45272,1368.91,1595.01,2.47,2.38,-67.1,-0.394,19.53,21.36,03a60498o0945c
22,60500.36493,20.58,0.663,21,14,o,0,1.16,33.73558,-51.45272,4159.28,7549.4,2.2,1.78,-76.3,-0.434,19.46,20.83,04a60500o0907o
23,60500.36811,20.259,0.512,29,15,o,0,0.84,33.73558,-51.45272,4140.21,7511.34,2.19,1.75,-75.2,-0.437,19.44,20.84,04a60500o0914o
24,60500.373664,20.433,0.389,24,10,o,0,2.45,33.73558,-51.45272,4201.25,7591.24,2.09,1.79,-68.2,-0.418,19.42,20.82,04a60500o0926o
25,60500.383562,19.96,0.402,38,15,o,0,0.83,33.73558,-51.45272,4226.54,7478.56,1.92,1.75,-68.0,-0.416,19.48,20.83,04a60500o0947o
26,60504.305474,19.404,0.201,63,13,o,0,1.27,33.73558,-51.45272,211.49,7126.52,2.57,2.2,82.4,-0.365,19.4,20.97,04a60504o0788o
27,60504.329246,19.256,0.168,72,12,o,0,1.2,33.73558,-51.45272,194.48,7092.38,2.42,2.05,85.3,-0.376,19.48,21.1,04a60504o0839o
28,60504.347444,19.292,0.145,70,10,o,0,1.18,33.73558,-51.45272,261.18,7177.76,2.45,2.11,85.4,-0.387,19.54,21.16,04a60504o0877o
29,60504.361946,19.561,0.26,54,14,o,0,0.59,33.73558,-51.45272,288.27,7063.85,2.4,2.04,-83.6,-0.378,19.52,21.08,04a60504o0908o
30,60504.368294,18.642,0.141,127,18,o,0,1.4,33.73558,-51.45272,10117.15,7139.86,2.37,1.96,-4.3,-0.43,19.48,21.0,04a60504o0922o
31,60504.371454,19.038,0.145,88,13,o,0,1.43,33.73558,-51.45272,10098.37,7102.73,2.58,2.17,-7.4,-0.4,19.42,20.95,04a60504o0929o
32,60504.382823,19.184,0.155,77,12,o,0,1.84,33.73558,-51.45272,10161.97,7180.58,2.54,2.04,-3.0,-0.414,19.46,20.96,04a60504o0953o
33,60504.397765,19.15,0.175,79,14,o,0,1.49,33.73558,-51.45272,10189.41,7066.79,2.4,2.02,-5.6,-0.426,19.48,20.95,04a60504o0986o
34,60508.346696,18.675,0.113,123,14,o,0,1.69,33.73558,-51.45272,8757.6,9728.6,2.18,1.85,-3.3,-0.477,19.42,20.8,04a60508o0855o
35,60508.350807,18.713,0.109,119,13,o,0,1.36,33.73558,-51.45272,8736.52,9691.23,2.13,1.87,-17.3,-0.478,19.4,20.84,04a60508o0864o
36,60508.368113,18.88,0.14,102,14,o,0,1.45,33.73558,-51.45272,8807.1,9772.86,2.12,1.85,-24.1,-0.499,19.41,20.79,04a60508o0902o
37,60508.374085,18.724,0.122,118,14,o,0,1.76,33.73558,-51.45272,8830.73,9656.53,2.19,1.86,-20.0,-0.507,19.38,20.79,04a60508o0915o
38,60513.249542,18.222,0.192,187,36,o,0,1.85,33.73558,-51.45272,7045.57,5385.45,2.8,2.56,-55.4,-0.391,17.97,18.42,04a60513o0656o
39,60513.25235,19.636,0.893,51,45,o,0,0.89,33.73558,-51.45272,7025.6,5348.4,2.61,2.4,-50.4,-0.386,18.01,18.42,04a60513o0662o
40,60513.262295,19.18,0.464,77,36,o,0,1.14,33.73558,-51.45272,7080.82,5427.78,2.74,2.5,-54.6,-0.388,18.07,18.51,04a60513o0682o
41,60513.267823,21.517,4.348,9,39,o,0,1.05,33.73558,-51.45272,7099.72,5311.94,2.7,2.45,-54.4,-0.38,18.07,18.56,04a60513o0694o
42,60514.105952,18.03,0.334,223,74,o,0,1.16,33.73558,-51.45272,8807.5,1370.71,2.61,2.4,-51.5,-0.437,17.42,17.79,03a60514o0889o
43,60514.113935,18.688,1.861,122,226,o,0,1.3,33.73558,-51.45272,8846.05,1407.56,2.62,2.38,-52.8,-0.454,16.54,16.6,03a60514o0906o
44,60514.130475,17.915,0.176,248,44,o,0,1.24,33.73558,-51.45272,8871.03,1291.98,2.9,2.64,-46.0,-0.403,18.09,18.8,03a60514o0940o
45,60516.323099,18.744,0.169,116,20,o,0,1.28,33.73558,-51.45272,1277.45,5148.41,2.27,2.13,82.0,-0.392,18.85,19.69,04a60516o0802o
46,60516.324919,18.736,0.166,116,19,o,0,1.18,33.73558,-51.45272,1259.48,5109.24,2.38,2.16,86.2,-0.381,18.84,19.56,04a60516o0806o
47,60516.328084,18.461,0.148,150,22,o,0,1.63,33.73558,-51.45272,1318.77,5190.87,2.23,2.1,-88.7,-0.412,18.63,19.54,04a60516o0813o
48,60516.347907,18.455,0.137,151,21,o,0,0.75,33.73558,-51.45272,1346.09,5082.04,2.24,2.08,72.4,-0.397,18.93,19.76,04a60516o0854o
49,60520.325892,18.568,0.105,136,14,o,0,1.59,33.73558,-51.45272,6134.02,7459.69,2.07,1.89,-54.0,-0.428,19.31,20.56,04a60520o0798o
50,60520.331225,18.524,0.112,141,16,o,0,1.16,33.73558,-51.45272,6119.69,7418.22,2.16,1.85,-26.2,-0.482,19.25,20.54,04a60520o0809o
51,60520.334553,18.643,0.105,127,13,o,0,1.19,33.73558,-51.45272,6180.81,7496.47,2.29,1.93,-58.6,-0.396,19.28,20.59,04a60520o0816o
52,60520.339612,18.559,0.113,137,15,o,0,1.03,33.73558,-51.45272,6201.74,7383.33,2.04,1.78,-44.3,-0.444,19.36,20.52,04a60520o0827o
53,60522.078472,18.634,0.09,128,12,o,0,1.26,33.73558,-51.45272,7990.86,7376.23,2.38,2.13,-45.6,-0.416,19.52,21.06,03a60522o0824o
54,60522.085592,18.658,0.099,125,12,o,0,0.79,33.73558,-51.45272,7973.18,7335.69,2.24,2.03,-46.2,-0.435,19.59,21.07,03a60522o0839o
55,60522.088978,18.598,0.086,132,11,o,0,1.69,33.73558,-51.45272,8029.27,7413.82,2.29,2.04,-45.9,-0.427,19.58,21.07,03a60522o0846o
56,60522.095542,18.698,0.098,120,12,o,0,1.34,33.73558,-51.45272,8050.93,7298.06,2.31,1.99,-48.6,-0.421,19.56,21.04,03a60522o0860o
57,60528.345761,18.543,0.091,139,13,c,0,1.02,33.73558,-51.45272,6066.07,3505.56,2.67,2.5,-23.9,-0.343,19.36,21.4,04a60528o0706c
58,60528.348629,18.638,0.077,127,10,c,0,1.89,33.73558,-51.45272,6050.12,3468.05,2.58,2.39,-24.7,-0.353,19.39,21.4,04a60528o0712c
59,60528.354654,18.641,0.082,127,10,c,0,1.17,33.73558,-51.45272,6110.67,3546.43,2.53,2.34,-24.8,-0.357,19.38,21.42,04a60528o0725c
60,60528.364738,18.613,0.092,130,12,c,0,1.25,33.73558,-51.45272,6139.23,3435.99,2.57,2.4,-24.2,-0.359,19.29,21.23,04a60528o0747c
61,60530.078278,18.836,0.104,106,11,o,0,1.29,33.73558,-51.45272,5095.04,1551.08,2.27,2.14,-43.9,-0.428,19.49,21.03,03a60530o0815o
62,60530.080138,18.929,0.127,97,12,o,0,1.14,33.73558,-51.45272,5077.44,1512.13,2.23,2.12,-40.9,-0.434,19.53,21.0,03a60530o0819o
63,60530.083426,18.854,0.116,104,12,o,0,0.87,33.73558,-51.45272,5132.88,1590.4,2.21,2.06,-40.1,-0.432,19.52,21.03,03a60530o0826o
64,60530.088937,18.626,0.095,129,12,o,0,1.21,33.73558,-51.45272,5153.19,1474.92,2.29,2.06,-54.8,-0.414,19.48,21.02,03a60530o0838o
65,60532.341394,19.145,0.119,80,10,c,0,1.59,33.73558,-51.45272,6949.68,1453.03,2.63,2.31,-12.8,-0.37,19.55,21.58,04a60532o0511c
66,60532.344613,18.808,0.107,109,12,c,0,0.87,33.73558,-51.45272,6932.84,1417.79,2.75,2.47,-6.8,-0.37,19.54,21.55,04a60532o0518c
67,60532.350062,19.151,0.133,79,10,c,0,1.09,33.73558,-51.45272,6991.4,1495.47,2.68,2.39,-19.7,-0.373,19.6,21.55,04a60532o0530c
68,60532.355186,18.862,0.086,104,9,c,0,2.1,33.73558,-51.45272,7017.33,1379.72,2.63,2.38,-16.4,-0.368,19.62,21.6,04a60532o0541c
69,60536.248203,18.992,0.175,92,16,o,0,2.33,33.73558,-51.45272,6703.08,9871.98,2.22,2.03,-64.0,-0.39,19.03,20.18,04a60536o0616o
70,60536.250011,18.72,0.4,118,47,o,0,0.88,33.73558,-51.45272,6683.54,9833.48,2.39,2.1,-62.9,-0.41,18.01,18.79,04a60536o0620o
71,60536.27362,18.918,0.18,98,18,o,0,0.97,33.73558,-51.45272,6754.97,9916.79,2.18,1.89,-53.5,-0.403,19.15,20.27,04a60536o0670o
72,60536.278848,19.108,0.157,82,13,o,0,1.33,33.73558,-51.45272,6774.38,9805.26,2.03,1.79,-38.9,-0.465,19.25,20.48,04a60536o0681o
73,60538.032839,18.935,0.246,97,24,o,0,1.1,33.73558,-51.45272,376.26,3034.63,2.46,2.14,-63.5,-0.392,18.74,19.5,03a60538o0691o
74,60538.035155,18.568,0.166,136,22,o,0,1.08,33.73558,-51.45272,359.09,2994.25,2.44,2.17,-64.0,-0.381,18.8,19.56,03a60538o0696o
75,60538.036508,18.798,0.254,110,28,o,0,0.87,33.73558,-51.45272,9817.11,3286.09,2.41,2.11,-51.8,-0.392,18.84,19.63,03a60538o0699o
76,60538.038311,18.746,0.185,115,21,o,0,1.28,33.73558,-51.45272,414.13,3076.34,2.45,2.16,-65.5,-0.384,18.8,19.6,03a60538o0703o
77,60538.039211,18.45,0.156,151,24,o,0,1.05,33.73558,-51.45272,9797.72,3248.92,2.39,2.14,-55.6,-0.393,18.77,19.56,03a60538o0705o
78,60538.046065,19.814,0.502,43,22,o,0,1.49,33.73558,-51.45272,437.7,2962.2,2.65,2.32,-72.0,-0.39,18.7,19.57,03a60538o0720o
79,60538.053041,18.624,0.272,129,35,o,0,1.23,33.73558,-51.45272,9858.19,3323.22,2.54,2.36,-48.2,-0.382,18.31,19.05,03a60538o0735o
80,60538.05628,19.128,0.454,81,37,o,0,1.21,33.73558,-51.45272,9880.33,3207.89,2.63,2.42,-40.4,-0.384,18.34,19.11,03a60538o0742o
81,60542.054387,18.552,0.283,138,39,o,0,1.22,33.73558,-51.45272,2107.02,7027.61,2.54,2.32,-55.0,-0.407,18.08,18.21,03a60542o0663o
82,60542.069072,19.003,0.389,91,35,o,0,1.4,33.73558,-51.45272,2091.49,6987.36,2.51,2.26,-56.2,-0.398,18.07,18.23,03a60542o0695o
83,60542.070876,-21.343,3.476,-10,37,o,0,1.15,33.73558,-51.45272,2148.33,7067.75,2.51,2.28,-52.6,-0.403,18.05,18.23,03a60542o0699o
84,60542.074032,19.281,0.554,70,39,o,0,1.3,33.73558,-51.45272,2171.4,6952.65,2.55,2.32,-52.8,-0.398,18.05,18.22,03a60542o0706o
85,60552.920363,19.252,0.168,72,12,o,0,1.79,33.73558,-51.45272,4053.26,7505.8,2.64,2.36,-38.4,-0.379,19.27,20.86,03a60553o0452o
86,60552.925843,19.4,0.211,63,13,o,0,1.1,33.73558,-51.45272,4038.41,7460.6,2.61,2.35,-40.8,-0.385,19.3,20.83,03a60553o0462o
87,60552.928097,19.375,0.198,65,13,o,0,1.19,33.73558,-51.45272,4091.44,7547.19,2.66,2.35,-35.7,-0.37,19.31,20.87,03a60553o0467o
88,60552.954372,19.31,0.168,69,12,o,0,1.59,33.73558,-51.45272,4110.41,7435.4,2.72,2.39,-39.2,-0.376,19.33,20.95,03a60553o0521o
89,60553.925308,19.679,0.238,49,12,c,0,1.52,33.73558,-51.45272,129.33,7001.23,2.73,2.46,-35.6,-0.37,19.53,21.53,03a60554o0462c
90,60553.927563,19.665,0.252,49,12,c,0,1.29,33.73558,-51.45272,109.71,6961.0,3.06,2.83,-27.7,-0.37,19.38,21.51,03a60554o0467c
91,60553.928915,19.305,0.173,69,12,c,0,1.04,33.73558,-51.45272,10001.14,7231.94,2.75,2.43,-50.9,-0.38,19.48,21.45,03a60554o0470c
92,60553.930719,19.123,0.175,82,14,c,0,1.16,33.73558,-51.45272,168.78,7042.24,2.95,2.71,-39.3,-0.373,19.42,21.52,03a60554o0474c
93,60553.932071,19.212,0.154,75,12,c,0,1.47,33.73558,-51.45272,9981.59,7194.82,2.82,2.5,-54.8,-0.373,19.41,21.48,03a60554o0477c
94,60553.936129,19.454,0.203,60,12,c,0,1.3,33.73558,-51.45272,192.13,6926.94,2.9,2.66,-34.4,-0.366,19.45,21.55,03a60554o0486c
95,60553.93658,20.296,0.444,28,12,c,0,1.34,33.73558,-51.45272,10038.43,7272.13,2.94,2.56,-50.1,-0.375,19.41,21.48,03a60554o0487c
96,60553.965487,19.441,0.167,61,10,c,0,1.99,33.73558,-51.45272,10059.87,7162.98,2.73,2.39,-53.2,-0.371,19.53,21.52,03a60554o0550c
97,60556.373494,19.313,0.731,68,50,o,0,1.71,33.73558,-51.45272,6640.73,7035.47,2.36,2.14,-49.8,-0.398,17.49,18.96,04a60556o0891o
98,60556.376712,19.212,0.523,75,39,o,0,1.01,33.73558,-51.45272,6655.43,7070.94,2.35,2.11,-43.9,-0.398,18.2,19.68,04a60556o0898o
99,60556.384821,18.683,0.536,122,66,o,0,1.68,33.73558,-51.45272,6599.45,6989.34,2.26,1.99,-51.5,-0.413,17.41,18.8,04a60556o0914o
100,60556.395174,20.103,2.178,33,72,o,0,1.01,33.73558,-51.45272,6577.0,7101.08,2.28,2.09,-41.4,-0.409,17.49,18.92,04a60556o0935o
101,60560.218179,18.945,0.191,96,18,o,0,1.07,33.73558,-51.45272,4673.36,9989.74,2.49,1.92,-71.0,-0.464,19.3,20.66,04a60560o0535o
102,60560.221053,19.551,0.297,55,16,o,0,1.55,33.73558,-51.45272,4653.92,9950.93,2.43,1.85,-69.7,-0.479,19.33,20.66,04a60560o0541o
103,60560.226941,19.294,0.228,70,16,o,0,1.06,33.73558,-51.45272,4717.45,10030.87,2.48,1.86,-72.3,-0.471,19.32,20.8,04a60560o0554o
104,60560.252614,18.99,0.126,92,12,o,0,1.2,33.73558,-51.45272,4756.14,9921.65,2.7,1.97,-72.6,-0.415,19.32,20.83,04a60560o0608o
105,60564.205619,19.603,0.332,52,17,o,0,1.3,33.73558,-51.45272,8787.08,1276.31,2.48,2.38,-58.4,-0.406,19.09,20.41,04a60564o0497o
106,60564.207454,19.583,0.477,53,25,o,0,1.69,33.73558,-51.45272,8768.24,1240.32,2.8,2.19,-29.5,-0.351,18.58,19.78,04a60564o0501o
107,60564.21031,19.589,0.317,53,17,o,0,1.61,33.73558,-51.45272,8826.12,1316.42,2.78,2.13,-27.8,-0.373,18.96,20.25,04a60564o0507o
108,60564.215498,19.197,0.277,76,21,o,0,1.12,33.73558,-51.45272,8848.22,1199.45,2.83,2.25,-26.8,-0.373,18.78,20.06,04a60564o0518o
109,60565.914673,18.804,0.169,109,18,o,0,1.74,33.73558,-51.45272,1235.49,5047.16,2.5,2.25,-58.5,-0.412,18.85,19.71,03a60566o0417o
110,60565.917857,19.093,0.255,84,21,o,0,1.46,33.73558,-51.45272,1218.39,5007.24,2.51,2.23,-59.5,-0.418,18.85,19.72,03a60566o0424o
111,60565.920672,19.861,0.513,41,21,o,0,1.22,33.73558,-51.45272,1276.12,5087.18,2.51,2.25,-60.4,-0.407,18.82,19.73,03a60566o0430o
112,60565.956178,19.111,0.25,82,21,o,0,0.99,33.73558,-51.45272,1297.14,4968.87,2.32,2.05,-62.8,-0.417,18.96,19.83,03a60566o0504o
113,60566.156034,20.577,0.92,21,20,c,0,1.26,33.73558,-51.45272,9314.19,5589.48,2.51,2.17,-53.2,-0.371,18.82,19.65,03a60566o0911c
114,60568.206678,19.174,0.252,78,20,o,0,1.06,33.73558,-51.45272,3211.48,1629.73,2.04,1.94,-21.0,-0.398,18.82,19.45,04a60568o0499o
115,60568.208505,18.911,0.216,99,21,o,0,1.0,33.73558,-51.45272,3193.91,1591.27,2.04,1.86,38.2,-0.447,18.89,19.56,04a60568o0503o
116,60568.211375,19.035,0.214,88,19,o,0,0.95,33.73558,-51.45272,3250.51,1671.49,1.96,1.85,41.2,-0.433,18.92,19.54,04a60568o0509o
117,60568.246979,19.123,0.294,81,24,o,0,0.73,33.73558,-51.45272,3294.99,1562.67,1.98,1.87,-8.0,-0.42,18.92,19.57,04a60568o0584o
118,60569.980413,-18.874,0.644,-102,66,o,0,1.81,33.73558,-51.45272,6027.05,7470.93,2.78,2.51,-44.7,-0.4,17.23,17.17,03a60570o0564o
119,60569.982219,18.963,0.958,94,90,o,0,1.17,33.73558,-51.45272,6008.21,7433.05,2.78,2.6,-41.0,-0.398,17.16,17.14,03a60570o0568o
120,60569.985102,-19.713,1.811,-47,86,o,0,0.77,33.73558,-51.45272,6066.13,7511.5,2.76,2.46,-39.1,-0.403,17.16,17.13,03a60570o0574o
