,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,58571.514097,21.45,1.032,10,10,o,0,1.38,221.12387,33.98612,2015.18,5252.79,2.08,2.0,-58.2,-0.452,19.58,20.94,02a58571o0596o
1,58571.525781,22.6,3.187,3,11,o,0,1.35,221.12387,33.98612,8584.04,5272.71,2.17,2.03,-65.3,-0.44,19.63,20.98,02a58571o0618o
2,58571.527398,-21.813,1.508,-7,10,o,0,1.59,221.12387,33.98612,1965.31,5218.26,2.13,2.02,-50.8,-0.455,19.58,20.97,02a58571o0621o
3,58571.544542,-24.859,24.25,0,10,o,0,1.92,221.12387,33.98612,1957.23,5335.71,2.09,2.07,59.9,-0.447,19.58,20.94,02a58571o0655o
4,58573.507058,20.323,0.733,27,20,o,0,1.27,221.12387,33.98612,8331.66,7200.98,3.03,2.85,-85.6,-0.45,18.85,20.44,01a58573o0584o
5,58573.516187,-20.501,1.016,-23,23,o,0,0.77,221.12387,33.98612,8315.39,7160.76,3.48,3.3,-79.6,-0.417,18.73,20.47,01a58573o0602o
6,58573.535151,20.334,0.806,27,22,o,0,1.41,221.12387,33.98612,2139.25,3343.88,3.14,3.04,5.8,-0.436,18.63,20.32,01a58573o0639o
7,58573.537454,21.373,3.409,10,35,o,0,0.74,221.12387,33.98612,2124.71,3460.06,3.1,3.04,-5.1,-0.438,18.36,20.0,01a58573o0644o
8,58575.511983,-23.314,5.833,-2,10,c,0,1.15,221.12387,33.98612,6477.86,9162.29,2.61,2.48,-47.8,-0.422,19.77,21.83,02a58575o0378c
9,58575.520768,20.639,0.493,20,10,c,0,1.17,221.12387,33.98612,6456.47,9121.24,2.6,2.48,-55.1,-0.415,19.75,21.78,02a58575o0396c
10,58575.540172,21.047,0.643,14,9,c,0,1.05,221.12387,33.98612,6499.16,9204.19,2.61,2.47,-52.7,-0.419,19.73,21.75,02a58575o0434c
11,58575.542497,20.265,0.33,28,9,c,0,1.33,221.12387,33.98612,6514.71,9088.35,2.64,2.5,-52.3,-0.418,19.72,21.75,02a58575o0439c
12,58578.550593,-20.475,0.414,-23,10,o,0,1.38,221.12387,33.98612,5654.52,9157.16,2.83,2.78,-34.8,-0.457,19.45,21.27,01a58578o0720o
13,58578.562911,-21.805,1.475,-7,10,o,0,1.69,221.12387,33.98612,5674.28,9195.64,2.8,2.74,-38.6,-0.463,19.46,21.31,01a58578o0746o
14,58578.573925,-21.639,1.31,-8,10,o,0,1.38,221.12387,33.98612,5609.76,9117.45,3.08,2.88,-17.3,-0.421,19.37,21.27,01a58578o0769o
15,58578.584361,21.867,1.647,6,11,o,0,1.6,221.12387,33.98612,5596.53,9234.36,3.02,2.89,-18.9,-0.432,19.35,21.22,01a58578o0791o
16,58579.515643,-21.938,1.37,-6,8,c,0,1.34,221.12387,33.98612,6436.93,7220.95,2.55,2.38,46.5,-0.406,19.77,21.73,02a58579o0616c
17,58579.526221,-21.829,1.412,-7,10,c,0,1.07,221.12387,33.98612,6400.34,7180.62,2.54,2.37,43.5,-0.406,19.72,21.72,02a58579o0638c
18,58579.527609,22.463,2.31,4,9,c,0,1.18,221.12387,33.98612,6464.99,7258.87,2.54,2.35,45.5,-0.402,19.76,21.71,02a58579o0641c
19,58579.544502,-22.19,1.714,-5,8,c,0,1.03,221.12387,33.98612,6475.73,7143.75,2.64,2.39,47.4,-0.401,19.72,21.69,02a58579o0675c
20,58581.496886,21.02,0.808,14,12,o,0,1.23,221.12387,33.98612,7779.6,5223.95,2.99,2.95,26.6,-0.437,19.41,21.15,01a58581o0561o
21,58581.506809,-20.655,0.58,-20,12,o,0,1.22,221.12387,33.98612,7800.06,5260.24,3.01,2.99,71.9,-0.439,19.41,21.24,01a58581o0579o
22,58581.507729,-22.811,4.286,-3,12,o,0,1.17,221.12387,33.98612,7734.28,5185.16,2.99,2.95,-3.6,-0.44,19.47,21.24,01a58581o0581o
23,58581.525135,21.191,0.891,12,11,o,0,1.33,221.12387,33.98612,7723.2,5299.4,2.94,2.9,-13.8,-0.443,19.45,21.15,01a58581o0616o
24,58583.483148,20.985,0.8,15,12,c,0,0.87,221.12387,33.98612,1914.05,7193.49,2.8,2.5,-47.3,-0.423,19.58,21.71,02a58583o0447c
25,58583.494777,-21.316,0.831,-11,9,c,0,1.14,221.12387,33.98612,8680.25,3334.52,2.9,2.61,-49.9,-0.384,19.55,21.71,02a58583o0470c
26,58583.496413,20.792,0.671,18,12,c,0,0.94,221.12387,33.98612,1864.32,7159.91,3.36,3.03,-45.6,-0.392,19.43,21.73,02a58583o0473c
27,58583.513189,20.501,0.468,23,11,c,0,1.33,221.12387,33.98612,1859.21,7276.97,2.81,2.52,-48.3,-0.415,19.55,21.73,02a58583o0507c
28,58585.326481,-20.407,0.843,-25,21,o,0,1.18,221.12387,33.98612,10013.14,3634.72,3.36,3.22,-80.4,-0.419,18.65,19.99,01a58585o0234o
29,58585.333082,-20.763,1.07,-18,19,o,0,1.12,221.12387,33.98612,9702.07,2752.11,3.39,3.32,-43.9,-0.394,18.92,20.25,01a58585o0248o
30,58585.339065,-22.41,5.133,-4,20,o,0,0.98,221.12387,33.98612,9433.73,4203.94,3.46,3.36,-73.9,-0.408,18.91,20.33,01a58585o0261o
31,58585.343218,20.811,1.125,17,19,o,0,1.37,221.12387,33.98612,10307.21,3344.46,3.78,3.67,82.5,-0.388,18.84,20.35,01a58585o0270o
32,58585.344597,21.217,1.591,12,19,o,0,1.24,221.12387,33.98612,10307.97,3345.08,3.51,3.39,-86.6,-0.418,18.94,20.36,01a58585o0273o
33,58587.475813,-20.4,0.595,-25,15,o,0,1.12,221.12387,33.98612,9723.77,5318.15,3.55,2.33,-89.0,-0.375,18.96,20.29,02a58587o0222o
34,58587.47627,-21.824,1.778,-7,12,o,0,1.7,221.12387,33.98612,9739.83,5199.93,2.21,2.2,68.7,-0.449,19.29,20.28,02a58587o0223o
35,58587.477654,-21.159,1.036,-12,13,o,0,1.41,221.12387,33.98612,233.13,5175.6,2.29,2.04,-45.0,-0.397,19.29,20.32,02a58587o0226o
36,58587.478112,-22.361,3.528,-4,15,o,0,0.89,221.12387,33.98612,200.51,5291.06,2.29,2.04,-45.6,-0.394,19.28,20.32,02a58587o0227o
37,58590.53116,-19.517,0.69,-57,39,o,0,1.18,221.12387,33.98612,9643.29,9034.05,3.23,2.83,85.7,-0.455,18.43,19.26,01a58590o0647o
