,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,60207.429725,21.936,1.732,6,11,c,0,1.29,21.75575,33.95493,9037.9,4255.32,2.56,2.42,-71.3,-0.401,19.59,21.37,02a60207o0475c
1,60207.432453,-21.096,0.722,-13,10,c,0,1.52,21.75575,33.95493,9059.33,4294.4,2.55,2.41,-68.6,-0.402,19.58,21.37,02a60207o0481c
2,60207.467806,21.143,0.744,13,9,c,0,1.5,21.75575,33.95493,9037.17,4226.64,2.63,2.48,-63.5,-0.397,19.57,21.39,02a60207o0555c
3,60207.471566,-21.693,1.269,-8,10,c,0,1.31,21.75575,33.95493,9023.33,4342.79,2.53,2.44,-59.3,-0.403,19.64,21.41,02a60207o0562c
4,60209.491976,-21.809,1.526,-7,10,c,0,1.38,21.75575,33.95493,3813.53,2300.92,2.81,2.66,31.4,-0.391,19.4,21.23,02a60209o0461c
5,60209.495015,23.094,5.455,2,12,c,0,1.24,21.75575,33.95493,3794.32,2264.11,2.9,2.66,10.1,-0.385,19.37,21.19,02a60209o0467c
6,60209.532951,-20.843,0.713,-17,12,c,0,1.02,21.75575,33.95493,3853.74,2338.74,2.83,2.62,49.0,-0.401,19.44,21.3,02a60209o0492c
7,60209.561782,-21.384,1.408,-10,14,c,0,1.09,21.75575,33.95493,3873.95,2223.04,2.75,2.66,65.6,-0.392,19.2,21.08,02a60209o0546c
8,60211.518369,21.25,0.851,12,10,c,0,2.06,21.75575,33.95493,9856.5,2561.37,2.91,2.46,-59.3,-0.404,19.49,21.32,02a60211o0490c
9,60211.521535,-25.099,36.0,0,12,c,0,1.08,21.75575,33.95493,9837.84,2522.21,2.87,2.4,-59.6,-0.409,19.53,21.31,02a60211o0497c
10,60211.527066,-20.871,0.792,-16,13,c,0,0.85,21.75575,33.95493,9897.76,2601.98,2.91,2.4,-59.3,-0.407,19.49,21.29,02a60211o0508c
11,60211.549348,20.903,0.673,16,11,c,0,1.34,21.75575,33.95493,9918.88,2481.62,2.74,2.34,-58.4,-0.413,19.55,21.31,02a60211o0554c
12,60212.279284,23.95,25.0,1,24,o,0,1.38,21.75575,33.95493,7099.87,2382.33,2.31,2.08,-23.3,-0.395,18.59,19.42,04a60212o0652o
13,60212.285682,21.364,2.211,10,23,o,0,1.43,21.75575,33.95493,7124.18,2417.49,2.44,2.33,-18.2,-0.384,18.58,19.59,04a60212o0666o
14,60212.291367,-20.056,0.888,-34,31,o,0,0.9,21.75575,33.95493,7070.83,2338.12,2.46,2.31,-22.3,-0.387,18.45,19.31,04a60212o0678o
15,60212.325948,19.492,0.413,58,24,o,0,1.25,21.75575,33.95493,7074.58,2438.65,2.36,2.22,-21.9,-0.401,18.65,19.58,04a60212o0752o
16,60212.421494,20.391,0.568,25,14,o,0,1.04,21.75575,33.95493,7059.07,2440.06,2.13,2.06,38.4,-0.415,19.18,20.02,02a60212o0460o
17,60212.423303,-21.989,2.074,-6,12,o,0,1.92,21.75575,33.95493,7079.85,2481.09,2.07,2.05,69.8,-0.419,19.21,20.02,02a60212o0464o
18,60212.428688,-21.206,0.964,-12,12,o,0,2.13,21.75575,33.95493,7029.15,2405.84,2.1,2.04,72.5,-0.426,19.22,20.05,02a60212o0475o
19,60212.43883,-20.531,0.651,-22,14,o,0,1.28,21.75575,33.95493,7020.12,2524.93,2.19,2.1,45.4,-0.416,19.23,20.12,02a60212o0497o
20,60212.512219,-21.793,1.983,-7,14,o,0,0.99,21.75575,33.95493,3463.01,8094.92,2.23,2.02,21.6,-0.429,19.43,20.58,02a60212o0649o
21,60213.478245,20.932,1.17,15,18,o,0,0.88,21.75575,33.95493,3452.53,8115.05,2.12,1.92,29.6,-0.425,19.17,19.84,02a60213o0583o
22,60213.510681,21.07,1.361,14,18,o,0,0.97,21.75575,33.95493,3430.82,8077.78,2.27,1.97,29.8,-0.417,19.12,19.86,02a60213o0649o
