,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
408,59278.588193,-22.863,11.923,-3,31,o,0,1.01,208.59412,-5.35705,8598.11,7239.93,2.59,2.24,42.9,-0.41,18.47,19.0,02a59278o0378o
409,59280.516182,21.109,0.691,13,9,o,0,0.95,208.59412,-5.35705,2817.3,9559.98,2.1,1.94,-59.1,-0.439,19.71,20.96,01a59280o0639o
410,59280.518022,-20.491,0.454,-23,10,o,0,1.36,208.59412,-5.35705,2797.89,9522.15,2.04,1.93,-52.4,-0.423,19.71,20.95,01a59280o0643o
411,59280.520786,24.361,12.875,1,8,o,0,2.03,208.59412,-5.35705,2856.91,9601.13,2.04,1.94,-42.4,-0.423,19.64,20.95,01a59280o0649o
412,59280.526777,-20.22,0.293,-30,9,o,0,1.63,208.59412,-5.35705,2877.79,9484.16,1.85,1.71,-47.4,-0.429,19.77,20.84,01a59280o0662o
413,59288.489682,-20.765,0.519,-18,9,o,0,1.3,208.59412,-5.35705,3103.91,5193.13,2.68,2.53,-88.8,-0.403,19.54,21.13,01a59288o0558o
414,59288.492454,22.731,3.115,3,9,o,0,1.59,208.59412,-5.35705,3084.47,5153.37,2.36,2.32,52.5,-0.405,19.63,21.15,01a59288o0564o
415,59288.495678,23.197,4.455,2,8,o,0,1.0,208.59412,-5.35705,3142.64,5230.29,2.1,2.0,-86.9,-0.406,19.79,21.12,01a59288o0571o
416,59288.500748,21.091,0.571,13,8,o,0,1.59,208.59412,-5.35705,3162.2,5115.61,2.04,1.95,-77.8,-0.411,19.78,21.14,01a59288o0582o
417,59292.486292,-21.95,1.515,-6,9,o,0,1.78,208.59412,-5.35705,3103.53,5191.69,2.13,2.06,83.5,-0.416,19.74,20.98,01a59292o0458o
418,59292.48906,-21.924,1.303,-6,8,o,0,1.69,208.59412,-5.35705,3084.11,5153.58,2.02,1.91,89.9,-0.425,19.78,20.99,01a59292o0464o
419,59292.491825,-21.252,0.725,-12,8,o,0,1.68,208.59412,-5.35705,3142.03,5229.82,2.18,2.1,-86.6,-0.415,19.69,20.97,01a59292o0470o
420,59292.502174,-22.914,3.542,-2,9,o,0,1.4,208.59412,-5.35705,3161.41,5114.48,2.34,2.15,8.9,-0.406,19.61,20.92,01a59292o0492o
421,59296.603699,-26.574,106.0,0,9,o,0,1.25,208.59412,-5.35705,5534.55,5467.93,2.04,1.92,-81.6,-0.425,19.73,20.86,01a59296o0077o
422,59296.607585,21.797,1.427,7,10,o,0,1.34,208.59412,-5.35705,5546.74,5508.27,2.11,1.86,86.2,-0.421,19.71,20.82,01a59296o0085o
423,59296.619874,20.655,0.489,20,10,o,0,1.41,208.59412,-5.35705,5489.59,5432.05,2.07,1.9,-83.5,-0.423,19.67,20.81,01a59296o0111o
424,59296.626936,20.863,0.601,16,10,o,0,1.26,208.59412,-5.35705,5473.82,5547.69,2.34,2.04,-85.8,-0.424,19.57,20.82,01a59296o0126o
425,59296.64424,21.337,1.057,11,11,o,0,1.61,208.59412,-5.35705,5516.49,5491.53,2.07,1.91,-87.9,-0.408,19.43,20.19,01a59296o0163o
426,59300.389689,20.261,2.194,29,63,o,0,0.88,208.59412,-5.35705,5029.88,5093.73,2.2,2.1,-62.0,-0.387,17.63,17.41,01a59300o0376o
427,59300.393847,19.36,2.596,66,170,o,0,1.45,208.59412,-5.35705,5010.71,5053.76,2.32,2.18,-83.3,-0.379,16.41,16.12,01a59300o0385o
428,59300.405299,20.797,3.709,17,65,o,0,1.18,208.59412,-5.35705,5072.17,5129.73,2.18,2.13,-50.7,-0.378,17.46,17.2,01a59300o0409o
429,59300.41131,19.535,3.145,56,175,o,0,1.73,208.59412,-5.35705,5089.72,5014.96,2.14,2.08,-79.8,-0.394,16.47,16.08,01a59300o0422o
430,59306.480944,22.803,6.12,3,17,o,0,1.07,208.59412,-5.35705,838.88,9662.3,2.16,1.85,-44.7,-0.458,19.21,19.94,02a59306o0566o
431,59306.484144,-20.601,0.826,-21,17,o,0,1.04,208.59412,-5.35705,819.16,9624.06,2.2,1.86,-47.2,-0.455,19.22,19.95,02a59306o0573o
432,59306.493983,-22.023,3.143,-6,18,o,0,0.87,208.59412,-5.35705,874.84,9701.33,2.19,1.91,-43.3,-0.454,19.19,19.95,02a59306o0594o
433,59306.501022,-22.031,2.936,-6,16,o,0,1.7,208.59412,-5.35705,896.04,9586.5,2.32,1.91,-46.4,-0.453,19.13,19.92,02a59306o0609o
434,59308.441629,-20.925,0.446,-16,7,c,0,1.66,208.59412,-5.35705,1085.09,3054.05,2.36,2.1,55.6,-0.402,19.9,21.55,01a59308o0272c
435,59308.447647,-22.187,1.784,-5,9,c,0,1.11,208.59412,-5.35705,1063.03,3017.45,2.38,2.16,66.3,-0.403,19.91,21.56,01a59308o0285c
436,59308.45784,22.35,2.0,4,8,c,0,1.35,208.59412,-5.35705,1121.04,3096.14,2.33,2.17,62.4,-0.406,19.88,21.57,01a59308o0307c
437,59308.460182,21.198,0.602,12,7,c,0,1.2,208.59412,-5.35705,1139.77,2978.82,2.32,2.13,70.1,-0.406,19.86,21.56,01a59308o0312c
438,59312.485362,-26.443,71.0,0,7,c,0,1.74,208.59412,-5.35705,3936.75,3180.17,2.31,2.26,-18.4,-0.38,19.89,21.62,01a59312o0576c
439,59312.489963,-20.293,0.243,-28,7,c,0,1.65,208.59412,-5.35705,3957.31,3218.4,2.21,2.15,-9.6,-0.386,19.95,21.6,01a59312o0586c
440,59312.495964,22.732,3.147,3,9,c,0,1.23,208.59412,-5.35705,3899.8,3140.67,2.15,2.14,14.4,-0.387,19.94,21.58,01a59312o0599c
441,59312.529769,-21.438,0.725,-10,7,c,0,1.78,208.59412,-5.35705,3889.35,3251.85,2.27,2.23,75.4,-0.384,19.87,21.52,01a59312o0671c
442,59322.398904,20.38,0.527,26,14,o,0,1.25,208.59412,-5.35705,9616.51,9460.49,2.67,2.04,-59.3,-0.425,19.54,20.7,02a59322o0380o
443,59322.400733,20.964,0.812,15,12,o,0,1.28,208.59412,-5.35705,9636.67,9500.18,2.53,2.11,-60.7,-0.427,19.54,20.71,02a59322o0384o
444,59322.403488,20.866,0.563,16,9,o,0,2.12,208.59412,-5.35705,9577.74,9421.47,2.55,2.04,-60.0,-0.428,19.52,20.72,02a59322o0390o
445,59322.40944,21.515,1.239,9,11,o,0,1.7,208.59412,-5.35705,9559.19,9539.48,2.52,2.03,-60.5,-0.425,19.55,20.74,02a59322o0403o
446,59324.439578,22.663,3.375,3,10,o,0,0.72,208.59412,-5.35705,1435.56,9424.35,2.04,1.85,-71.4,-0.441,19.7,20.71,01a59324o0381o
447,59324.442618,22.072,1.737,5,9,o,0,1.56,208.59412,-5.35705,1456.98,9461.7,1.96,1.76,-75.5,-0.442,19.72,20.73,01a59324o0387o
448,59324.449668,0.0,21.489,0,9,o,0,1.92,208.59412,-5.35705,1400.01,9383.35,1.99,1.79,-73.2,-0.44,19.67,20.74,01a59324o0402o
449,59324.453881,20.22,0.365,30,11,o,0,1.66,208.59412,-5.35705,1380.78,9500.78,2.0,1.75,-71.1,-0.443,19.72,20.75,01a59324o0410o
450,59326.382999,20.139,0.559,32,18,o,0,0.95,208.59412,-5.35705,9613.9,9459.27,2.44,2.1,-59.8,-0.427,19.15,19.85,02a59326o0326o
451,59326.390244,20.91,1.0,16,16,o,0,1.77,208.59412,-5.35705,9632.84,9500.0,2.55,2.08,-58.5,-0.429,19.17,19.86,02a59326o0341o
452,59326.393464,21.151,1.511,13,19,o,0,0.98,208.59412,-5.35705,9575.69,9420.52,2.54,2.17,-59.1,-0.423,19.14,19.86,02a59326o0348o
453,59326.400804,-20.192,0.561,-30,17,o,0,0.97,208.59412,-5.35705,9557.33,9537.78,2.49,2.14,-62.9,-0.419,19.16,19.89,02a59326o0364o
454,59328.372557,-20.464,0.821,-24,19,o,0,1.39,208.59412,-5.35705,4766.05,9452.15,1.96,1.84,-44.5,-0.418,18.85,18.85,01a59328o0327o
455,59328.375331,-19.519,0.317,-57,18,o,0,1.1,208.59412,-5.35705,4746.89,9412.98,1.96,1.85,-43.7,-0.416,18.84,18.84,01a59328o0333o
456,59328.378092,20.75,1.088,18,20,o,0,1.26,208.59412,-5.35705,4806.14,9491.46,2.01,1.89,-42.3,-0.409,18.84,18.85,01a59328o0339o
457,59328.385573,-19.666,0.392,-49,19,o,0,1.35,208.59412,-5.35705,4826.55,9374.77,2.07,1.96,-36.3,-0.397,18.79,18.87,01a59328o0355o
458,59333.421739,-21.183,1.952,-12,24,o,0,1.04,208.59412,-5.35705,3615.92,5555.57,2.18,1.77,30.2,-0.428,18.79,19.24,02a59333o0423o
459,59333.427071,20.182,0.71,31,22,o,0,0.91,208.59412,-5.35705,6945.14,4964.93,2.42,1.91,42.6,-0.432,18.69,19.14,02a59333o0434o
460,59333.438582,-20.463,1.014,-24,24,o,0,1.22,208.59412,-5.35705,7001.06,5040.63,2.34,1.86,44.7,-0.451,18.69,19.13,02a59333o0459o
461,59333.449185,21.873,4.088,6,26,o,0,0.86,208.59412,-5.35705,7019.64,4924.37,2.41,1.87,43.0,-0.425,18.72,19.15,02a59333o0482o
462,59334.381513,-20.936,0.892,-15,14,o,0,1.5,208.59412,-5.35705,3615.09,5558.32,2.07,1.84,30.8,-0.439,19.16,19.9,02a59334o0277o
463,59334.38334,23.289,8.833,2,16,o,0,1.03,208.59412,-5.35705,3636.67,5595.07,2.05,1.88,28.7,-0.432,19.21,19.9,02a59334o0281o
464,59334.386105,-21.266,1.225,-11,14,o,0,1.42,208.59412,-5.35705,3579.94,5517.3,2.02,1.84,30.7,-0.437,19.18,19.89,02a59334o0287o
465,59334.391668,-20.204,0.493,-30,15,o,0,1.2,208.59412,-5.35705,3560.73,5634.91,2.06,1.9,29.5,-0.432,19.16,19.87,02a59334o0299o
466,59335.480099,20.707,0.77,19,15,o,0,1.12,208.59412,-5.35705,5782.27,1115.96,2.34,2.16,-24.5,-0.403,19.2,19.9,01a59335o0449o
467,59335.483338,21.826,1.955,7,13,o,0,1.85,208.59412,-5.35705,5802.38,1154.5,2.28,2.14,-16.0,-0.401,19.19,19.88,01a59335o0456o
468,59335.48935,23.256,7.5,2,14,o,0,1.38,208.59412,-5.35705,5745.49,1077.57,2.27,2.1,-15.8,-0.401,19.21,19.86,01a59335o0469o
469,59335.503636,-21.038,1.068,-14,15,o,0,1.28,208.59412,-5.35705,5726.84,1192.67,2.22,2.03,-26.4,-0.403,19.2,19.8,01a59335o0500o
470,59336.43859,20.487,0.857,23,20,o,0,1.3,208.59412,-5.35705,3817.67,1235.54,4.3,3.77,-1.7,-0.389,18.77,20.43,01a59336o0463o
471,59336.444925,-19.891,0.408,-40,16,o,0,1.17,208.59412,-5.35705,3837.53,1273.69,3.23,2.98,-3.1,-0.393,19.04,20.4,01a59336o0476o
472,59336.453256,-20.067,0.518,-34,18,o,0,1.37,208.59412,-5.35705,3780.14,1194.67,3.57,3.29,2.6,-0.387,18.87,20.34,01a59336o0494o
473,59336.456481,-20.536,0.692,-22,15,o,0,1.52,208.59412,-5.35705,3762.32,1311.77,3.27,3.13,8.9,-0.393,18.96,20.35,01a59336o0501o
474,59338.436206,-22.492,3.0,-4,11,c,0,1.14,208.59412,-5.35705,7195.76,1313.69,2.44,2.2,-64.8,-0.405,19.33,21.03,02a59338o0375c
475,59338.44097,-24.533,17.25,-1,10,c,0,1.86,208.59412,-5.35705,7182.14,1276.81,2.43,2.18,-62.8,-0.408,19.5,21.22,02a59338o0384c
476,59338.446517,23.208,5.643,2,11,c,0,1.09,208.59412,-5.35705,7234.98,1351.13,2.41,2.19,-65.7,-0.407,19.52,21.23,02a59338o0396c
477,59338.460584,-21.9,2.119,-6,13,c,0,0.81,208.59412,-5.35705,7259.57,1241.38,2.49,2.23,-62.4,-0.406,19.44,21.12,02a59338o0426c
478,59342.41943,-21.602,1.159,-8,10,c,0,1.18,208.59412,-5.35705,7198.57,1312.82,2.49,2.33,-72.0,-0.396,19.66,21.56,02a59342o0397c
479,59342.422652,-21.506,1.042,-9,10,c,0,1.19,208.59412,-5.35705,7181.32,1276.62,2.46,2.3,-70.7,-0.398,19.65,21.56,02a59342o0404c
