,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,60015.630542,18.203,0.099,190,19,o,0,1.44,291.0966,47.05437,9221.02,770.82,2.54,2.11,-54.9,-0.482,18.88,19.92,02a60015o0788o
1,60015.63471,18.299,0.135,174,24,o,0,1.0,291.0966,47.05437,9240.86,808.82,2.89,2.45,-56.5,-0.474,18.81,19.95,02a60015o0797o
2,60015.635614,-17.37,0.175,-409,72,o,0,1.64,291.0966,47.05437,30.26,762.19,2.5,2.34,-44.7,-0.492,18.67,20.07,02a60015o0799o
3,60015.642561,18.533,0.151,140,21,o,0,1.15,291.0966,47.05437,9189.41,731.26,2.59,2.23,-56.2,-0.486,18.86,19.95,02a60015o0813o
4,60015.65555,18.367,0.206,163,34,o,0,0.82,291.0966,47.05437,9176.15,851.59,2.77,2.38,-57.2,-0.492,18.39,19.21,02a60015o0840o
5,60023.602301,18.426,0.187,155,29,o,0,1.31,291.0966,47.05437,3720.77,6680.45,2.58,2.04,35.1,-0.413,18.32,19.35,02a60023o0809o
6,60023.611588,18.162,0.11,197,22,o,0,0.86,291.0966,47.05437,3690.07,6638.58,3.03,2.23,37.1,-0.404,18.88,20.03,02a60023o0829o
7,60031.605236,18.202,0.141,190,27,o,0,0.81,291.0966,47.05437,1458.88,8737.12,2.08,1.97,16.6,-0.459,18.53,19.71,02a60031o0810o
8,60031.609271,18.085,0.104,212,22,o,0,1.56,291.0966,47.05437,1483.69,8777.54,1.97,1.93,-45.7,-0.472,18.71,19.83,02a60031o0818o
9,60031.614707,18.183,0.103,194,20,o,0,1.3,291.0966,47.05437,1423.26,8696.65,2.04,1.95,21.0,-0.46,18.66,19.81,02a60031o0829o
10,60031.627804,18.058,0.106,217,23,o,0,0.97,291.0966,47.05437,1412.83,8811.26,1.99,1.96,-22.9,-0.47,18.66,19.82,02a60031o0856o
11,60040.599167,18.086,0.122,212,26,o,0,0.68,291.0966,47.05437,1982.35,3379.04,2.19,1.92,37.0,-0.447,18.6,19.03,02a60040o0785o
12,60040.602363,18.131,0.133,203,27,o,0,1.15,291.0966,47.05437,2003.35,3416.97,2.39,1.92,38.0,-0.448,18.54,19.05,02a60040o0792o
13,60040.60787,18.198,0.135,191,26,o,0,1.18,291.0966,47.05437,1948.42,3338.21,2.3,1.9,36.5,-0.444,18.56,19.06,02a60040o0804o
14,60040.621467,18.314,0.156,172,27,o,0,1.29,291.0966,47.05437,1934.86,3454.87,2.36,1.99,36.2,-0.44,18.49,18.98,02a60040o0833o
15,60044.612072,18.18,0.093,194,18,o,0,1.13,291.0966,47.05437,5389.6,9346.49,2.43,2.28,41.9,-0.416,18.99,19.87,02a60044o0731o
16,60044.61751,18.26,0.099,180,18,o,0,1.08,291.0966,47.05437,5408.64,9385.0,2.68,2.57,42.5,-0.4,18.87,19.88,02a60044o0742o
17,60044.633148,18.233,0.102,185,19,o,0,1.23,291.0966,47.05437,5350.98,9307.09,2.57,2.35,39.0,-0.401,18.84,19.69,02a60044o0772o
18,60044.635058,18.114,0.128,206,26,o,0,1.12,291.0966,47.05437,5331.38,9423.62,2.7,2.47,38.2,-0.403,18.68,19.52,02a60044o0776o
