,ID,Name,RA,DEC,Obj. Type,Redshift,Host Name,Host Redshift,Reporting Group/s,Discovery Data Source/s,Classifying Group/s,Associated Group/s,Disc. Internal Name,Disc. Instrument/s,Class. Instrument/s,TNS AT,Public,End Prop. Period,Discovery Mag/Flux,Discovery Filter,Discovery Date (UT),Sender,Remarks,Discovery Bibcode,Classification Bibcodes,Ext. catalog/s
0,152912,SN 2024knu,15:18:04.642,+14:23:38.61,SN Ia-CSM,0.15,,,"ZTF, Pan-STARRS, GOTO, ATLAS, BlackGEM","ZTF, Pan-STARRS, GOTO, ATLAS, BlackGEM",ePESSTO+,ATLAS; BlackGEM; GOTO; Pan-STARRS; ZTF,ZTF24aaotlsk,"ATLAS-CHL - ATLAS-04, ATLAS-MLO - ATLAS-01, BG4 - BlackGEM-Cam4, GOTO-N - GOTO-1, GOTO-N - GOTO-2, P48 - ZTF-Cam, PS2 - GPC2",ESO-NTT - EFOSC2-NTT,1,1,,20.0224,r-ZTF,2024-05-26 07:50:41.999,Fritz,,2024TNSTR1849....1Z,2024TNSCR2424....1D,
1,145249,SN 2024bex,06:38:47.865,+46:32:23.89,SN Ia-CSM,0.1423,,,"ALeRCE, Pan-STARRS, ATLAS","ZTF, Pan-STARRS, ATLAS",SGLF,ALeRCE; ATLAS; Pan-STARRS,ZTF24aadqwju,"ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS2 - GPC2",NOT - ALFOSC,1,1,,19.9751,g-ZTF,2024-01-30 05:22:01.001,ALeRCE,,2024TNSTR.286....1M,2024TNSCR.999....1P,
2,139013,SN 2023vtj,10:14:45.859,+36:41:11.44,SN Ia-CSM,0.051319,,,ZTF,ZTF,ZTF,ZTF,ZTF23abgnvya,P48 - ZTF-Cam,Keck1 - LRIS,1,1,,19.2,r-ZTF,2023-09-24 12:28:48.000,ZTF_Bot1,,2023TNSTR2714....1F,2023TNSCR3011....1R,
3,135256,SN 2023qtr,01:18:44.633,+04:44:53.88,SN Ia-CSM,0.03299,,,ZTF,ZTF,ZTF,ZTF,ZTF23aaynmrz,P48 - ZTF-Cam,P60 - SEDM,1,1,,19.88,g-ZTF,2023-08-17 11:08:09.600,ZTF_Bot1,,2023TNSTR2083....1F,2023TNSCR2509....1J,
4,133308,SN 2023ocx,17:16:48.681,+47:55:10.84,SN Ia-CSM,0.076,,,"ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",YSE,ATLAS; Pan-STARRS; ZTF,ZTF23aatabje,"ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS1 - GPC1",NOT - ALFOSC,1,1,,20.24,g-ZTF,2023-07-20 05:24:00.000,ZTF_Bot1,,2023TNSTR1800....1F,2023TNSCR2467....1A,
5,127852,SN 2023ggb,18:11:56.892,+52:50:27.87,SN Ia-CSM,0.08,,,"ZTF, ATLAS, Fink, Pan-STARRS, GOTO","ZTF, ATLAS, Pan-STARRS, GOTO",ZTF,ATLAS; Fink; GOTO; Pan-STARRS; ZTF,ZTF23aagpjyp,"ATLAS-HKO - ATLAS-02, GOTO-N - GOTO-1, P48 - ZTF-Cam, PS1 - GPC1","LT - SPRAT, P60 - SEDM",1,1,,20.52,r-ZTF,2023-04-17 10:43:40.800,ZTF_Bot1,,2023TNSTR.860....1F,"2023TNSCR.894....1F, 2023TNSCR1311....1W",
6,124164,SN 2023ayq,13:24:05.230,-03:33:41.08,SN Ia-CSM,0.185,,,"ZTF, ATLAS, GaiaAlerts, Pan-STARRS","ZTF, ATLAS, GaiaAlerts, Pan-STARRS",ZTF,ATLAS; GaiaAlerts; Pan-STARRS; ZTF,ZTF23aaazegi,"ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS2 - GPC2",NOT - ALFOSC,1,1,,20.17,g-ZTF,2023-01-24 13:00:28.800,ZTF_Bot1,,2023TNSTR.227....1F,2023TNSCR.591....1S,
7,118019,SN 2022xlm,21:13:09.806,+12:50:36.03,SN Ia-CSM,0.14,,,"ALeRCE, YSE, ATLAS, Pan-STARRS","ZTF, Pan-STARRS, ATLAS",UCSC,ALeRCE; ATLAS; Pan-STARRS; YSE,ZTF22ablxcrh,"ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1",Lick-3m - KAST,1,1,,19.444,g-ZTF,2022-10-09 04:41:05.997,ALeRCE,,2022TNSTR2967....1M,2022TNSCR3182....1R,
8,115874,SN 2022ujn,01:14:26.571,-12:23:40.90,SN Ia-CSM,0.12,WISEA J011426.66-122340.2,,"ALeRCE, Pan-STARRS, ATLAS","ZTF, Pan-STARRS, ATLAS",SCAT,ALeRCE; ATLAS; Pan-STARRS,ZTF22abfyqzz,"ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, P48 - ZTF-Cam, PS2 - GPC2",UH88 - SNIFS,1,1,,19.2262,g-ZTF,2022-09-17 07:37:29.997,ALeRCE,,2022TNSTR2674....1F,2022TNSCR2854....1D,
9,107331,SN 2022igm,06:43:13.669,+43:22:46.61,SN Ia-CSM,0.08,,,"ALeRCE, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",TCD,ALeRCE; ATLAS; Pan-STARRS,ZTF22aahgnxz,"ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1",LT - SPRAT,1,1,,19.3025,r-ZTF,2022-04-20 04:12:14.999,ALeRCE,,2022TNSTR1048....1F,2022TNSCR3135....1T,
