Nested Sampling Global Log-Evidence           :   -0.193285607239132560E+02  +/-    0.377195043267371022E+00
Nested Importance Sampling Global Log-Evidence:   -0.245010768749742773E+02  +/-    0.397097989257009787E-01

Dim No.       Mean        Sigma
   1    0.113407036741627359E+00    0.332840524615879638E-01
   2   -0.237671470213506026E+02    0.298765096687662490E+01
   3    0.110593748519290269E+01    0.750116685128818378E-01
   4    0.129752807308290752E+01    0.353747692797861613E+00
   5    0.834797300099408834E-02    0.317371142650567720E-02
   6    0.176911360251740168E+01    0.119027418583911193E+00
   7   -0.173592269532804599E+01    0.400647579299606593E+00
   8   -0.876599936431328164E-01    0.442400909724702598E-01
   9   -0.181941799774299362E+01    0.274077758508307090E+01
  10   -0.150797721270194196E+00    0.853570228752019988E-01
  11   -0.246247085412302502E-01    0.157513845547111925E+00
  12   -0.220271801912891280E+00    0.215704679345847194E+00
  13   -0.111718336800427753E+00    0.168815884506366226E+00
  14   -0.106656174873714704E+01    0.590476930506324063E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.735345893449849408E-01
   2   -0.267727899312445601E+02
   3    0.111432402525077356E+01
   4    0.124949077182322044E+01
   5    0.196972414180258786E-02
   6    0.175990598758563643E+01
   7   -0.172445715044796999E+01
   8   -0.350906016572714100E-01
   9    0.252314063502172337E+01
  10   -0.495931991026388186E-01
  11   -0.855589566555470249E-01
  12   -0.308092840954012126E+00
  13   -0.141508764357204164E+00
  14   -0.107478941994758448E+01

MAP Parameters
Dim No.        Parameter
   1    0.735345893449849408E-01
   2   -0.267727899312445601E+02
   3    0.111432402525077356E+01
   4    0.124949077182322044E+01
   5    0.196972414180258786E-02
   6    0.175990598758563643E+01
   7   -0.172445715044796999E+01
   8   -0.350906016572714100E-01
   9    0.252314063502172337E+01
  10   -0.495931991026388186E-01
  11   -0.855589566555470249E-01
  12   -0.308092840954012126E+00
  13   -0.141508764357204164E+00
  14   -0.107478941994758448E+01
