Nested Sampling Global Log-Evidence           :   -0.122783289428655316E+02  +/-    0.352165685334059397E+00
Nested Importance Sampling Global Log-Evidence:   -0.173439600077143545E+02  +/-    0.465175381381407391E-01

Dim No.       Mean        Sigma
   1    0.820393037421705551E-01    0.387358626940667652E-01
   2   -0.128746512605983359E+02    0.180620998048451575E+01
   3    0.755853115207763659E+00    0.121410850203209228E+00
   4    0.112343533929009620E+01    0.188413168314922080E+00
   5    0.921472192233768750E-02    0.436646981352225693E-02
   6    0.126469179087844341E+01    0.116529665307529381E+00
   7   -0.173881315300720463E+01    0.451354196869027946E+00
   8   -0.923193424911173122E-01    0.620997011330296986E-01
   9   -0.243510168765537838E+01    0.219101976367194995E+01
  10   -0.117837819624685938E+00    0.119540768429030941E+00
  11   -0.320221088612872781E-01    0.132774463858503167E+00
  12   -0.170358219891196511E+00    0.222159601017496378E+00
  13   -0.434167487894718609E-01    0.147452413147989347E+00
  14   -0.106444259996808643E+01    0.557080273971359632E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.131716062227881126E+00
   2   -0.110571402752265548E+02
   3    0.880281336525715941E+00
   4    0.937422290701658278E+00
   5    0.313837163924625927E-02
   6    0.125748624590669644E+01
   7   -0.190408523006124830E+01
   8   -0.929700872246843057E-01
   9   -0.263905592260478983E+01
  10   -0.697858345525213530E-01
  11    0.674481789171027524E-02
  12   -0.346816249869482673E-01
  13   -0.218195339247285458E-01
  14   -0.104982040369612672E+01

MAP Parameters
Dim No.        Parameter
   1    0.131716062227881126E+00
   2   -0.110571402752265548E+02
   3    0.880281336525715941E+00
   4    0.937422290701658278E+00
   5    0.313837163924625927E-02
   6    0.125748624590669644E+01
   7   -0.190408523006124830E+01
   8   -0.929700872246843057E-01
   9   -0.263905592260478983E+01
  10   -0.697858345525213530E-01
  11    0.674481789171027524E-02
  12   -0.346816249869482673E-01
  13   -0.218195339247285458E-01
  14   -0.104982040369612672E+01
