Nested Sampling Global Log-Evidence           :   -0.179856364293631792E+02  +/-    0.466031421456077510E+00
Nested Importance Sampling Global Log-Evidence:   -0.227320643984054520E+02  +/-    0.354136317784648352E-01

Dim No.       Mean        Sigma
   1    0.187523078874068626E-01    0.252729322847806276E-01
   2   -0.646191255018696697E+01    0.571041718243802898E+00
   3    0.163579101544811839E+00    0.126569976688466368E+00
   4    0.108904966635488010E+01    0.278795884267646399E+00
   5    0.131878066757917800E-01    0.454788765039161342E-02
   6    0.188628859440793795E+01    0.973437100372741837E-01
   7   -0.172401997026147269E+01    0.446340132084851016E+00
   8   -0.661657431498499510E-01    0.420464814952724308E-01
   9   -0.191670343836375334E+01    0.799792269569008840E+00
  10   -0.144847491455349558E+00    0.152172753047041476E+00
  11   -0.533246016741789758E-01    0.140791124326938827E+00
  12   -0.178866723750141426E+00    0.219676015042264777E+00
  13   -0.109502758384579874E+00    0.988716795057564685E-01
  14   -0.105797640046338781E+01    0.518981109426358000E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.462973086293225547E-01
   2   -0.651043174302514771E+01
   3    0.133023771340745056E+00
   4    0.138645968931372532E+01
   5    0.176473679494475802E-01
   6    0.201687486183849751E+01
   7   -0.161463420969682159E+01
   8   -0.458630902852009414E-01
   9   -0.172504642461584945E+01
  10   -0.530934096503486719E-01
  11   -0.656246295771996113E-01
  12    0.508269109652752238E-01
  13   -0.110936609901509303E+00
  14   -0.110076364067692434E+01

MAP Parameters
Dim No.        Parameter
   1    0.462973086293225547E-01
   2   -0.651043174302514771E+01
   3    0.133023771340745056E+00
   4    0.138645968931372532E+01
   5    0.176473679494475802E-01
   6    0.201687486183849751E+01
   7   -0.161463420969682159E+01
   8   -0.458630902852009414E-01
   9   -0.172504642461584945E+01
  10   -0.530934096503486719E-01
  11   -0.656246295771996113E-01
  12    0.508269109652752238E-01
  13   -0.110936609901509303E+00
  14   -0.110076364067692434E+01
