         MJD         m       dm   uJy  duJy F  err  chi/N        RA      Dec        x        y   maj  min   phi  apfit  mag5sig   Sky            Obs   __tmp_SN
57232.339583 18.110074      NaN    21    62 o    0   0.91 278.35567 44.08185   501.62  2121.81  4.10 3.66 -55.5 -0.433    17.91 18.84 02a57232o0117o   0.338710
57232.340304 17.905150      NaN     4    82 o    0   1.69 278.35567 44.08185  9999.25  2164.64  3.82 3.47  74.3 -0.499    17.46 18.01 02a57232o0118o   0.048780
57232.343941 13.955920      NaN -5750  3166 o    0   1.10 278.35567 44.08185 10000.14  2165.23  3.95 3.60  76.0 -0.410    15.51 15.58 02a57232o0123o  -1.816172
57232.344642 16.734282      NaN  -463   245 o    0   1.01 278.35567 44.08185   503.91  2122.81  4.07 3.65 -59.1 -0.431    16.74 17.28 02a57232o0124o  -1.889796
57232.361502 17.654224      NaN   -56   105 o    0   2.02 278.35567 44.08185  8833.76  9682.79  3.98 3.58 -89.4 -0.472    16.63 17.66 02a57232o0144o  -0.533333
57232.384782 17.055032      NaN   160   129 o    0   1.32 278.35567 44.08185  8823.69  9687.49  3.86 3.58 -78.1 -0.465    18.03 18.86 02a57232o0174o   1.240310
57300.253797 18.214605      NaN    41    49 o    0   1.01 278.35567 44.08185 10118.18  8494.81  4.57 3.72  87.6 -0.484    18.46 19.98 02a57300o0135o   0.836735
57300.271848 18.417189      NaN   -20    52 o    0   0.90 278.35567 44.08185  8676.65  9904.86  4.60 3.70 -79.7 -0.477    18.47 20.01 02a57300o0191o  -0.384615
57300.276416 17.689250      NaN    56    83 o    0   0.87 278.35567 44.08185 10181.56   208.40  5.45 3.70  27.1 -0.441    18.49 20.01 02a57300o0205o   0.674699
57300.287943 18.590371      NaN    28    35 o    0   1.20 278.35567 44.08185  8679.60  9904.00  4.55 3.62 -78.1 -0.474    18.78 20.34 02a57300o0241o   0.800000
57300.292558 18.292405      NaN    22    51 o    0   1.06 278.35567 44.08185 10181.01   209.16  5.38 3.83  26.9 -0.447    18.84 20.44 02a57300o0255o   0.431373
57302.258111 18.944322      NaN     0    32 o    0   0.96 278.35567 44.08185  8670.97  9902.61  5.18 4.02 -78.4 -0.482    18.99 20.74 02a57302o0114o   0.000000
57302.274821 18.900000      NaN     4    32 o    0   0.91 278.35567 44.08185  8667.47  9902.81  5.12 4.08 -79.4 -0.477    19.00 20.78 02a57302o0140o   0.125000
57302.277397 18.481707      NaN   -28    49 o    0   0.94 278.35567 44.08185 10158.99   212.71  6.71 4.32  28.6 -0.359    19.01 20.79 02a57302o0144o  -0.571429
57302.293532 18.550302      NaN   -24    46 o    0   0.94 278.35567 44.08185 10167.85   210.78  6.52 4.31  29.6 -0.376    19.02 20.78 02a57302o0169o  -0.521739
57320.197516 17.527492      NaN  -105   118 o    0   1.05 278.35567 44.08185   678.09  8476.53  4.53 3.74 -55.5 -0.493    17.90 18.47 02a57320o0027o  -0.889831
57320.198160 17.797727      NaN    18    86 o    0   1.13 278.35567 44.08185 10175.31  8529.68  4.13 3.55  73.8 -0.534    18.02 18.72 02a57320o0028o   0.209302
57320.211640 18.043943      NaN    82    46 o    0   0.96 278.35567 44.08185   671.14  8469.45  5.04 3.56 -55.7 -0.461    18.30 19.36 02a57320o0049o   1.782609
57320.213633 18.094452      NaN    63    49 o    0   0.94 278.35567 44.08185 10170.48  8525.73  4.34 3.54  74.7 -0.530    18.42 19.58 02a57320o0052o   1.285714
57320.231691 18.504094      NaN   -96    48 o    0   1.00 278.35567 44.08185  8730.13  9931.12  5.00 3.57 -89.4 -0.447    18.37 19.51 02a57320o0080o  -2.000000
57320.242019 17.845990      NaN    12    84 o    0   0.85 278.35567 44.08185 10236.16   232.44  7.77 4.48  31.7 -0.365    18.21 19.33 02a57320o0096o   0.142857
57320.258082 18.267867      NaN    14    55 o    0   0.75 278.35567 44.08185  8717.08  9925.02  5.15 3.77 -89.3 -0.447    18.26 19.40 02a57320o0121o   0.254545
57320.267073 17.671596      NaN    61    83 o    0   1.03 278.35567 44.08185 10228.13   228.18  8.17 4.79  27.7 -0.297    18.14 19.27 02a57320o0135o   0.734940
57324.215885 18.542463      NaN    28    37 o    0   0.98 278.35567 44.08185 10183.18  8526.24  4.74 3.68  81.4 -0.484    18.83 20.42 02a57324o0072o   0.756757
57324.221640 18.649074      NaN   -31    42 o    0   1.03 278.35567 44.08185   687.53  8470.26  4.77 3.93 -61.3 -0.456    18.66 20.15 02a57324o0081o  -0.738095
57324.236229 18.489118      NaN     8    46 o    0   0.93 278.35567 44.08185 10179.82  8525.66  4.51 3.55  74.4 -0.462    18.52 19.75 02a57324o0103o   0.173913
57324.243929 18.349730      NaN    13    51 o    0   0.95 278.35567 44.08185   683.51  8469.06  4.86 3.44 -63.5 -0.451    18.31 19.41 02a57324o0115o   0.254902
57324.252967 18.526952      NaN   -73    47 o    0   0.94 278.35567 44.08185  8747.79  9934.00  4.37 3.68  89.0 -0.478    18.38 19.48 02a57324o0129o  -1.553191
57324.267793 18.481707      NaN   -36    49 o    0   1.10 278.35567 44.08185  8745.63  9934.43  4.61 3.85 -87.9 -0.474    18.21 19.32 02a57324o0152o  -0.734694
57328.189300 17.150406      NaN  -207   167 o    0   1.20 278.35567 44.08185 10212.95  8538.50  4.48 3.84  79.9 -0.506    17.66 18.33 02a57328o0020o  -1.239521
57328.190586 17.326476      NaN   -90   142 o    0   1.46 278.35567 44.08185   720.93  8482.39  5.11 3.78 -63.8 -0.495    17.54 18.19 02a57328o0022o  -0.633803
57328.196300 18.208845      NaN   -41    63 o    0   0.95 278.35567 44.08185 10216.07  8537.63  4.65 3.80  76.7 -0.481    18.06 19.14 02a57328o0031o  -0.650794
57328.198830 18.623526      NaN   -39    43 o    0   1.03 278.35567 44.08185   721.92  8481.00  5.28 3.63 -67.5 -0.451    18.73 20.23 02a57328o0035o  -0.906977
57328.210294 18.867907      NaN     1    34 o    0   1.13 278.35567 44.08185  8782.75  9944.92  4.61 3.84  86.2 -0.479    18.85 20.57 02a57328o0053o   0.029412
57328.225492 18.104842      NaN    31    59 o    0   0.78 278.35567 44.08185 10289.91   247.61  6.83 3.91  24.8 -0.352    18.83 20.48 02a57328o0077o   0.525424
57328.229921 18.748255      NaN     4    37 o    0   0.94 278.35567 44.08185  8775.86  9944.04  4.52 3.79  86.5 -0.482    18.76 20.45 02a57328o0084o   0.108108
57328.245721 17.183409      NaN   -79   162 o    0   1.02 278.35567 44.08185 10282.91   247.71  6.77 3.72  22.9 -0.398    17.69 19.23 02a57328o0109o  -0.487654
57440.635251 18.298627      NaN   -22    58 o    0   1.11 278.35567 44.08185 10459.76  1630.08  4.74 3.76  33.3 -0.522    18.28 19.16 02a57440o0767o  -0.379310
57440.637404 17.774377      NaN   111    57 o    0   1.11 278.35567 44.08185   975.35  1632.13  5.40 3.79 -23.5 -0.484    18.16 19.05 02a57440o0771o   1.947368
57440.648671 18.396507      NaN  -107    53 o    0   1.15 278.35567 44.08185  1260.93  2231.34  4.92 3.57 -25.6 -0.493    18.28 19.14 02a57440o0792o  -2.018868
57440.655030 18.526952      NaN   -39    47 o    0   0.99 278.35567 44.08185  9593.46  2847.69  4.28 3.75  36.7 -0.485    18.33 19.27 02a57440o0804o  -0.829787
57440.656085 18.526952      NaN   -48    47 o    0   1.22 278.35567 44.08185   123.64  2767.39  5.21 3.75 -33.0 -0.425    18.27 19.16 02a57440o0806o  -1.021277
57440.659164 18.048890      NaN    75    48 o    0   1.10 278.35567 44.08185  9381.21  3129.10  4.26 3.84  39.2 -0.467    18.29 19.25 02a57440o0812o   1.562500
57441.628937 18.174913      NaN    15    60 o    0   1.02 278.35567 44.08185 10239.61  2031.14  4.36 3.55  36.1 -0.543    18.28 19.06 02a57441o0769o   0.250000
57441.631141 18.005163      NaN    42    62 o    0   1.00 278.35567 44.08185   752.98  2011.19  5.03 3.41 -25.2 -0.518    18.22 18.97 02a57441o0773o   0.677419
57441.640669 17.067007 0.266919   541   133 o    0   1.72 278.35567 44.08185 10519.98  2606.50  4.30 3.63  48.7 -0.535    18.30 19.13 02a57441o0791o   4.067669
57441.642316 18.336727      NaN     9    53 o    0   1.17 278.35567 44.08185  1050.51  2610.92  4.84 3.52 -26.5 -0.481    18.22 19.03 02a57441o0794o   0.169811
57441.648600 18.019544      NaN    60    55 o    0   0.91 278.35567 44.08185  9362.80  3243.77  3.86 3.46  55.3 -0.503    18.32 19.15 02a57441o0806o   1.090909
57441.652824 18.417189      NaN   -37    52 o    0   0.84 278.35567 44.08185  9379.18  3127.65  3.97 3.55  42.2 -0.502    18.32 19.17 02a57441o0814o  -0.711538
57466.642690 18.796518      NaN    26    28 o    0   1.02 278.35567 44.08185 10316.98  1733.23  4.88 3.77  32.3 -0.525    19.28 21.08 02a57466o0869o   0.928571
57466.652801 18.376212      NaN    -4    54 o    0   1.15 278.35567 44.08185   830.53  1716.27  5.29 3.37 -24.7 -0.514    18.35 19.22 02a57466o0889o  -0.074074
