,ID,Name,RA,DEC,Obj. Type,Redshift,Host Name,Host Redshift,Reporting Group/s,Discovery Data Source/s,Classifying Group/s,Associated Group/s,Disc. Internal Name,Disc. Instrument/s,Class. Instrument/s,TNS AT,Public,End Prop. Period,Discovery Mag/Flux,Discovery Filter,Discovery Date (UT),Sender,Remarks,Discovery Bibcode,Classification Bibcodes,Ext. catalog/s
15,143722,SN 2024dy,10:46:45.030,+29:54:33.80,SN IIn,0.021,,,"ATLAS, GaiaAlerts, ZTF, Pan-STARRS, GOTO","ATLAS, GaiaAlerts, ZTF, Pan-STARRS, GOTO","ZTF, ePESSTO+",ATLAS; GaiaAlerts; GOTO; Pan-STARRS; ZTF,ATLAS24ada,"ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, GOTO-N - GOTO-1, GOTO-N - GOTO-2, P48 - ZTF-Cam, PS1 - GPC1","ESO-NTT - EFOSC2-NTT, Lick-3m - KAST",1,1,,18.602,orange-ATLAS,2024-01-02 12:14:31.776,ATLAS_Bot1,,2024TNSTR..17....1T,"2024TNSCR..82....1W, 2024TNSCR..97....1I",
16,143542,SN 2024C,09:43:54.120,-29:43:38.93,SN IIn,0.052,,,"ATLAS, GaiaAlerts","ATLAS, GaiaAlerts",ePESSTO+,ATLAS; GaiaAlerts,ATLAS24aaj,"ATLAS-CHL - ATLAS-04, Gaia - Gaia-photometric",ESO-NTT - EFOSC2-NTT,1,1,,18.86,orange-ATLAS,2024-01-01 06:10:10.848,ATLAS_Bot1,,2024TNSTR...1....1T,2024TNSCR..97....1I,
17,143167,SN 2023abtj,01:27:01.380,+33:57:17.75,SN IIn,0.014,,,"ATLAS, Pan-STARRS, MASTER, GaiaAlerts","ATLAS, Pan-STARRS, MASTER, GaiaAlerts",LiONS,ATLAS; GaiaAlerts; MASTER; Pan-STARRS,ATLAS23xxs,"ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric, Other - Other, PS2 - GPC2",Lijiang-2.4m - YFOSC,1,1,,18.108,orange-ATLAS,2023-12-28 07:41:07.872,ATLAS_Bot1,,2023TNSTR3371....1T,2024TNSCR..13....1L,
18,141221,SN 2023yxs,06:26:04.638,-31:15:25.40,SN IIn,0.112,,,"ATLAS, Pan-STARRS","ATLAS, Pan-STARRS",ePESSTO+,ATLAS; Pan-STARRS,ATLAS23wto,"ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, PS1 - GPC1",ESO-NTT - EFOSC2-NTT,1,1,,19.617,orange-ATLAS,2023-12-05 05:24:50.976,ATLAS_Bot1,,2023TNSTR3131....1T,2023TNSCR3299....1P,
19,141043,SN 2023yqw,00:17:38.324,+22:43:55.74,SN IIn,0.086,,,"ATLAS, Pan-STARRS, ZTF, GOTO","ATLAS, Pan-STARRS, ZTF, GOTO",ePESSTO+,ATLAS; GOTO; Pan-STARRS; ZTF,ATLAS23wlt,"ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, GOTO-N - GOTO-2, P48 - ZTF-Cam, PS2 - GPC2",ESO-NTT - EFOSC2-NTT,1,1,,18.975,cyan-ATLAS,2023-12-03 07:56:53.952,ATLAS_Bot1,,2023TNSTR3116....1T,2023TNSCR3299....1P,
20,140519,SN 2023xxk,08:58:34.567,-34:42:28.38,SN IIn,0.049,,,ATLAS,ATLAS,ePESSTO+,ATLAS,ATLAS23vfw,ATLAS-CHL - ATLAS-04,ESO-NTT - EFOSC2-NTT,1,1,,17.812,orange-ATLAS,2023-11-08 07:50:11.328,ATLAS_Bot1,,2023TNSTR2973....1T,2023TNSCR3074....1G,
21,140518,SN 2023xxj,10:50:21.110,-33:24:04.39,SN IIn,0.097,,,"ATLAS, GaiaAlerts","ATLAS, GaiaAlerts",ePESSTO+,ATLAS; GaiaAlerts,ATLAS23vfv,"ATLAS-CHL - ATLAS-04, Gaia - Gaia-photometric",ESO-NTT - EFOSC2-NTT,1,1,,17.646,orange-ATLAS,2023-11-08 08:10:54.624,ATLAS_Bot1,,2023TNSTR2973....1T,2023TNSCR3005....1K,
22,137969,SN 2023usc,05:21:31.650,+00:28:20.71,SN IIn,0.06,,,"ATLAS, ALeRCE, GOTO, Pan-STARRS, GaiaAlerts","ATLAS, ZTF, GOTO, Pan-STARRS, GaiaAlerts",SCAT,ALeRCE; ATLAS; GaiaAlerts; GOTO; Pan-STARRS,ATLAS23tzi,"ATLAS-CHL - ATLAS-04, Gaia - Gaia-photometric, GOTO-N - GOTO-1, GOTO-N - GOTO-2, P48 - ZTF-Cam, PS2 - GPC2",UH88 - SNIFS,1,1,,18.662,orange-ATLAS,2023-10-11 07:56:16.800,ATLAS_Bot1,,2023TNSTR2550....1T,2023TNSCR2697....1T,
23,136764,SN 2023syz,17:55:25.400,+45:13:05.36,SN IIn,0.037,,,"ATLAS, ZTF, Pan-STARRS","ATLAS, ZTF, Pan-STARRS",SCAT,ATLAS; Pan-STARRS; ZTF,ATLAS23stg,"ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS1 - GPC1",UH88 - SNIFS,1,1,,19.03,cyan-ATLAS,2023-09-19 06:39:17.856,ATLAS_Bot1,,2023TNSTR2317....1T,2023TNSCR2357....1H,
24,132518,SN 2023mza,23:07:45.751,-48:45:08.23,SN IIn,0.0285,,,ATLAS,ATLAS,MeerLICHT,ATLAS,ATLAS23ofp,"ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03",SALT - RSS,1,1,,17.581,orange-ATLAS,2023-07-11 02:53:17.376,ATLAS_Bot1,,2023TNSTR1653....1T,2023TNSCR2034....1W,
