"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"30582","SN 2018hpb","22:01:34.510","-17:27:45.18","SN IIn","0.0177","","","ATLAS, GaiaAlerts, ZTF","ATLAS, GaiaAlerts, ZTF","ASAS-SN","ATLAS; GaiaAlerts; ZTF","ATLAS18yaz","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam","MDM-2.4 - OSMOS","1","1","","17.149","orange-ATLAS","2018-10-25 08:55:40.000","ATLAS_Bot1","","2018TNSTR1648....1T","2018TNSCR1770....1B",""
"29605","SN 2018gea","00:56:20.696","-09:34:59.94","SN IIn","0.103","","","ATLAS, Pan-STARRS","ATLAS, Pan-STARRS","ePESSTO","ATLAS; Pan-STARRS","ATLAS18uxz","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, PS1 - GPC1","ESO-NTT - EFOSC2-NTT","1","1","","18.652","orange-ATLAS","2018-09-09 13:19:12.000","ATLAS_Bot1","","2018TNSTR1342....1T","2018TNSCR1410....1G, 2018TNSCR2169....1B",""
"28920","SN 2018fdt","17:04:44.335","+38:14:07.98","SN IIn","0.055","","","ATLAS, GaiaAlerts, ZTF","ATLAS, GaiaAlerts, ZTF","ZTF","ATLAS; GaiaAlerts; ZTF","ATLAS18tuy","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.458","cyan-ATLAS","2018-08-14 08:22:33.000","ATLAS_Bot1","","2018TNSTR1186....1T","2018TNSCR1221....1F",""
"27143","SN 2018cnv","22:49:27.991","-24:23:00.49","SN IIn","0.047","","","ATLAS, Pan-STARRS","ATLAS, Pan-STARRS","None","ATLAS; Pan-STARRS","ATLAS18qjm","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, PS1 - GPC1","SOAR - Goodman","1","1","","18.157","cyan-ATLAS","2018-06-12 13:59:31.000","ATLAS_Bot1","","2018TNSTR.829....1T","2018TNSCR.854....1P",""
"26686","SN 2018bwr","15:28:26.170","+08:48:22.14","SN IIn","0.046","","","ATLAS, ZTF, Pan-STARRS, GaiaAlerts","ATLAS, ZTF, Pan-STARRS, GaiaAlerts","ZTF","ATLAS; GaiaAlerts; Pan-STARRS; ZTF","ATLAS18ppb","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","18.585","cyan-ATLAS","2018-05-21 10:58:04.000","ATLAS_Bot1","","2018TNSTR.695....1T","2018TNSCR.762....1F",""
"26240","SN 2018bih","18:30:43.850","+42:21:44.35","SN IIn","0.044","","","ATLAS, GaiaAlerts, Pan-STARRS, ZTF","ATLAS, GaiaAlerts, Pan-STARRS, ZTF","ZTF","ATLAS; GaiaAlerts; Pan-STARRS; ZTF","ATLAS18ofo","ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","18.919","orange-ATLAS","2018-05-06 13:46:33.000","ATLAS_Bot1","","2018TNSTR.609....1T","2018TNSCR.892....1F",""
"23474","SN 2017ijn","09:41:30.920","-11:11:58.20","SN IIn","0.05","","","ATLAS, GaiaAlerts","ATLAS, GaiaAlerts","None","ATLAS; GaiaAlerts","ATLAS17nhp","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric","SOAR - Goodman","1","1","","18.224","orange-ATLAS","2017-11-15 13:30:43.000","ATLAS_Bot1","","2017TNSTR1293....1T","2017TNSCR1331....1P",""
"22605","SN 2017hcd","01:42:51.850","+31:28:56.57","SN IIn","0.035","","","ATLAS, Pan-STARRS, GaiaAlerts, SKYS","ATLAS, Pan-STARRS, GaiaAlerts, SKYS","None","ATLAS; GaiaAlerts; Pan-STARRS; SKYS","ATLAS17lui","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, Other - Other, PS1 - GPC1","Other - Other","1","1","","18.634","orange-ATLAS","2017-10-01 11:32:38.000","ATLAS_Bot1","","2017TNSTR1070....1T","2017TNSCR1308....1X",""
"22604","SN 2017hcc","00:03:50.590","-11:28:28.60","SN IIn","0.0173","","","ATLAS, GaiaAlerts, Pan-STARRS","ATLAS, GaiaAlerts, Pan-STARRS","ASAS-SN","ATLAS; GaiaAlerts; Pan-STARRS","ATLAS17lsn","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, PS1 - GPC1","FTS - FLOYDS-S","1","1","","17.444","orange-ATLAS","2017-10-02 09:04:19.000","ATLAS_Bot1","","2017TNSTR1070....1T","2017TNSCR1103....1D",""
"22421","SN 2017gvb","08:04:42.380","+61:31:38.53","SN IIn","0.030344","","","ATLAS, GaiaAlerts, DLT40","ATLAS, GaiaAlerts, DLT40","NUTS","ATLAS; DLT40; GaiaAlerts","ATLAS17ldj","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, Other - Other","NOT - ALFOSC","1","1","","17.79","orange-ATLAS","2017-09-18 14:54:14.000","ATLAS_Bot1","","2017TNSTR1016....1T","2019TNSCR.524....1D",""
