"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"79795","SN 2021gpw","13:21:54.850","+16:44:39.73","SN IIn","0.075","","","ATLAS, ZTF, GaiaAlerts","ATLAS, ZTF, GaiaAlerts","ZTF","ATLAS; GaiaAlerts; ZTF","ATLAS21iwv","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam","LT - SPRAT","1","1","","19.146","orange-ATLAS","2021-03-20 11:09:36.000","ATLAS_Bot1","","2021TNSTR.836....1T","2021TNSCR1071....1P",""
"79105","SN 2021fpn","10:13:47.640","-00:54:55.08","SN IIn","0.0424","","","ATLAS, ZTF, Pan-STARRS, GaiaAlerts","ATLAS, ZTF, Pan-STARRS, GaiaAlerts","ePESSTO+","ATLAS; GaiaAlerts; Pan-STARRS; ZTF","ATLAS21iaq","ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","ESO-NTT - EFOSC2-NTT","1","1","","19.227","orange-ATLAS","2021-03-15 08:28:19.200","ATLAS_Bot1","","2021TNSTR.771....1T","2021TNSCR1178....1P",""
"76260","SN 2021bmv","04:26:38.668","-11:53:45.70","SN IIn","0.09","","","ATLAS, ZTF, YSE, Pan-STARRS","ATLAS, ZTF, Pan-STARRS","YSE","ATLAS; Pan-STARRS; ZTF","ATLAS21dkp","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS1 - GPC1","NOT - ALFOSC","1","1","","19.153","orange-ATLAS","2021-02-01 07:13:26.400","ATLAS_Bot1","","2021TNSTR.312....1T","2021TNSCR.649....1A",""
"74842","SN 2021mz","23:01:51.218","+13:57:23.81","SN IIn","0.121","","","ATLAS, ZTF, AMPEL, Pan-STARRS","ATLAS, ZTF, Pan-STARRS","ZTF","AMPEL; ATLAS; Pan-STARRS; ZTF","ATLAS21amj","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","P60 - SEDM","1","1","","19.119","orange-ATLAS","2021-01-03 06:05:45.600","ATLAS_Bot1","","2021TNSTR..69....1T","2021TNSCR1607....1D",""
"74758","SN 2021kv","07:26:43.332","+54:59:42.28","SN IIn","0.13","","","ATLAS, Pan-STARRS","ATLAS, Pan-STARRS","TCD","ATLAS; Pan-STARRS","ATLAS21ahh","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, PS2 - GPC2","LT - SPRAT","1","1","","18.944","orange-ATLAS","2021-01-06 11:39:50.400","ATLAS_Bot1","","2021TNSTR..55....1T","2021TNSCR.530....1P",""
"72086","SN 2020abhx","11:27:13.751","-00:46:03.14","SN IIn","0.065","","","ATLAS, Pan-STARRS","ATLAS, Pan-STARRS","SCAT","ATLAS; Pan-STARRS","ATLAS20bgkf","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, PS1 - GPC1, PS2 - GPC2","UH88 - SNIFS","1","1","","18.032","orange-ATLAS","2020-12-01 14:57:07.200","ATLAS_Bot1","","2020TNSTR3615....1T","2022TNSCR3431....1T",""
"70335","SN 2020ywx","11:53:26.230","+10:53:47.29","SN IIn","0.0217","","","ATLAS, ZTF, Pan-STARRS, AMPEL, GaiaAlerts","ATLAS, ZTF, Pan-STARRS, GaiaAlerts","ePESSTO+","AMPEL; ATLAS; GaiaAlerts; Pan-STARRS; ZTF","ATLAS20bewg","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","ESO-NTT - EFOSC2-NTT","1","1","","16.478","orange-ATLAS","2020-11-04 14:52:48.000","ATLAS_Bot1","","2020TNSTR3344....1T","2020TNSCR3822....1P",""
"69763","SN 2020ybn","06:11:02.260","-22:17:50.28","SN IIn","0.096","","","ATLAS, YSE, GaiaAlerts","ATLAS, Pan-STARRS, GaiaAlerts","None","ATLAS; GaiaAlerts; Pan-STARRS","ATLAS20benp","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, PS1 - GPC1","Lick-3m - KAST","1","1","","19.488","cyan-ATLAS","2020-10-23 13:39:21.600","ATLAS_Bot1","","2020TNSTR3216....1T","2020TNSCR3431....1H",""
"69328","SN 2020xkx","23:20:28.170","+22:59:12.84","SN IIn","0.0415","","","ATLAS, ZTF, GaiaAlerts, Pan-STARRS, AMPEL","ATLAS, ZTF, GaiaAlerts, Pan-STARRS","ePESSTO+","AMPEL; ATLAS; GaiaAlerts; Pan-STARRS; ZTF","ATLAS20bdpu","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","ESO-NTT - EFOSC2-NTT","1","1","","18.689","orange-ATLAS","2020-10-19 08:21:07.200","ATLAS_Bot1","","2020TNSTR3173....1T","2020TNSCR3243....1G",""
"69327","SN 2020xkw","01:30:56.922","+18:52:48.04","SN IIn","0.04","","","ATLAS, Pan-STARRS","ATLAS, Pan-STARRS","SCAT","ATLAS; Pan-STARRS","ATLAS20bdpt","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, PS1 - GPC1, PS2 - GPC2","UH88 - SNIFS","1","1","","18.743","orange-ATLAS","2020-10-19 09:17:16.800","ATLAS_Bot1","","2020TNSTR3173....1T","2020TNSCR3717....1D",""
