ID,Name,RA,DEC,Obj. Type,Redshift,Host Name,Host Redshift,Reporting Group/s,Discovery Data Source/s,Classifying Group/s,Associated Group/s,Disc. Internal Name,Disc. Instrument/s,Class. Instrument/s,TNS AT,Public,End Prop. Period,Discovery Mag/Flux,Discovery Filter,Discovery Date (UT),Sender,Remarks,Discovery Bibcode,Classification Bibcodes,Ext. catalog/s
132025,SN 2023mgr,00:26.4,-33:31:27.02,SN IIn,0.01,,,"ATLAS, MASTER","ATLAS, MASTER",SCAT,ATLAS; MASTER,ATLAS23ndq,"ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, Other - Other",UH88 - SNIFS,1,1,,16.233,orange-ATLAS,02:21.7,ATLAS_Bot1,,2023TNSTR1550....1T,2023TNSCR1570....1H,
130752,SN 2023kki,53:18.1,+37:41:23.64,SN IIn,0.125,,,"ATLAS, ZTF","ATLAS, ZTF",ZTF,ATLAS; ZTF,ATLAS23mbw,"ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam",LT - SPRAT,1,1,,19.423,cyan-ATLAS,05:20.0,ATLAS_Bot1,,2023TNSTR1364....1T,2023TNSCR1779....1S,
125713,SN 2023dej,42:10.7,+66:56:56.36,SN IIn,0.108,,,"ATLAS, ZTF, GaiaAlerts","ATLAS, ZTF, GaiaAlerts",ZTF,ATLAS; GaiaAlerts; ZTF,ATLAS23dsw,"ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric, P48 - ZTF-Cam",P60 - SEDM,1,1,,18.483,orange-ATLAS,32:33.2,ATLAS_Bot1,,2023TNSTR.545....1T,2023TNSCR.934....1S,
125566,SN 2023cyu,24:23.2,+47:03:15.74,SN IIn,0.053,,,"ATLAS, ALeRCE","ATLAS, ZTF",ZTF,ALeRCE; ATLAS,ATLAS23dnx,"ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam",LT - SPRAT,1,1,,18.144,orange-ATLAS,07:57.8,ATLAS_Bot1,,2023TNSTR.515....1T,2023TNSCR1311....1W,
124370,SN 2023bgj,25:48.1,-37:46:27.44,SN IIn,0.055,,,"ATLAS, GaiaAlerts","ATLAS, GaiaAlerts",ePESSTO+,ATLAS; GaiaAlerts,ATLAS23brd,"ATLAS-CHL - ATLAS-04, Gaia - Gaia-photometric",ESO-NTT - EFOSC2-NTT,1,1,,18.675,orange-ATLAS,47:15.4,ATLAS_Bot1,,2023TNSTR.274....1T,2023TNSCR.321....1P,
123384,SN 2023wi,28:55.5,+05:27:32.64,SN IIn,0.094,,,"ATLAS, ZTF, Pan-STARRS","ATLAS, ZTF, Pan-STARRS",ZTF,ATLAS; Pan-STARRS; ZTF,ATLAS23awy,"ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, P48 - ZTF-Cam, PS1 - GPC1",LT - SPRAT,1,1,,18.966,orange-ATLAS,51:33.1,ATLAS_Bot1,,2023TNSTR.131....1T,2023TNSCR1077....1W,
123028,SN 2023jo,07:24.8,+39:11:37.58,SN IIn,0.013,,,"ATLAS, Pan-STARRS, ZTF","ATLAS, Pan-STARRS, ZTF",SCAT,ATLAS; Pan-STARRS; ZTF,ATLAS23akh,"ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS2 - GPC2",UH88 - SNIFS,1,1,,17.515,orange-ATLAS,18:35.1,ATLAS_Bot1,,2023TNSTR..76....1T,2023TNSCR.128....1P,
122635,SN 2022aecy,41:29.3,+16:45:43.63,SN IIn,0.08,,,"ATLAS, ZTF, GaiaAlerts, Pan-STARRS","ATLAS, ZTF, GaiaAlerts, Pan-STARRS",ZTF,ATLAS; GaiaAlerts; Pan-STARRS; ZTF,ATLAS22bomd,"ATLAS-HKO - ATLAS-02, ATLAS-STH - ATLAS-03, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1",P60 - SEDM,1,1,,18.765,orange-ATLAS,34:22.4,ATLAS_Bot1,,2022TNSTR3671....1T,2023TNSCR.174....1P,
120210,SN 2022aaon,54:30.2,-34:40:07.25,SN IIn,0.07,,,ATLAS,ATLAS,ePESSTO+,ATLAS,ATLAS22bmep,ATLAS-CHL - ATLAS-04,ESO-NTT - EFOSC2-NTT,1,1,,19.218,orange-ATLAS,21:04.9,ATLAS_Bot1,,2022TNSTR3342....1T,2022TNSCR3631....1P,
119844,SN 2022aaan,42:38.0,-31:27:45.68,SN IIn,0.111,,,ATLAS,ATLAS,ePESSTO+,ATLAS,ATLAS22blsb,"ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03",ESO-NTT - EFOSC2-NTT,1,1,,18.637,orange-ATLAS,38:27.2,ATLAS_Bot1,,2022TNSTR3292....1T,2022TNSCR3336....1I,
118777,SN 2022ymi,31:00.6,+48:20:55.24,SN IIn,0.021,,,ATLAS,ATLAS,None,ATLAS,ATLAS22bjxv,"ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01",NOT - ALFOSC,1,1,,18.567,cyan-ATLAS,24:13.2,ATLAS_Bot1,,2022TNSTR3083....1T,2022TNSCR3156....1V,
115336,SN 2022tpe,46:09.6,-40:20:17.89,SN IIn,0.055,,,ATLAS,ATLAS,ePESSTO+,ATLAS,ATLAS22beaa,"ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03",ESO-NTT - EFOSC2-NTT,1,1,,19.27,orange-ATLAS,36:19.6,ATLAS_Bot1,,2022TNSTR2592....1T,2022TNSCR2660....1T,
114539,SN 2022sks,16:23.6,-51:05:05.89,SN IIn,0.076,,,"ATLAS, GaiaAlerts","ATLAS, GaiaAlerts",ePESSTO+,ATLAS; GaiaAlerts,ATLAS22bcgi,"ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, Gaia - Gaia-photometric",ESO-NTT - EFOSC2-NTT,1,1,,18.974,orange-ATLAS,49:43.7,ATLAS_Bot1,,2022TNSTR2493....1T,2022TNSCR2571....1P,
113782,SN 2022ria,43:56.1,-08:42:32.44,SN IIn,0.07,,,"ATLAS, GaiaAlerts, ALeRCE, Pan-STARRS","ATLAS, GaiaAlerts, ZTF, Pan-STARRS",ZTF,ALeRCE; ATLAS; GaiaAlerts; Pan-STARRS,ATLAS22zwo,"ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS2 - GPC2",LT - SPRAT,1,1,,19.097,orange-ATLAS,48:30.8,ATLAS_Bot1,,2022TNSTR2339....1T,2023TNSCR..55....1H,
113209,SN 2022qml,29:45.5,+13:38:24.11,SN IIn,0.046,,,"ATLAS, Pan-STARRS, ALeRCE","ATLAS, Pan-STARRS, ZTF",ePESSTO+,ALeRCE; ATLAS; Pan-STARRS,ATLAS22yti,"ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS2 - GPC2",ESO-NTT - EFOSC2-NTT,1,1,,18.137,cyan-ATLAS,43:17.2,ATLAS_Bot1,,2022TNSTR2193....1T,2022TNSCR2488....1G,
112186,SN 2022ozx,38:50.4,-50:11:33.76,SN IIn,0.057,,,"ATLAS, GaiaAlerts","ATLAS, GaiaAlerts",ePESSTO+,ATLAS; GaiaAlerts,ATLAS22vew,"ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, Gaia - Gaia-photometric",ESO-NTT - EFOSC2-NTT,1,1,,17.746,orange-ATLAS,56:33.2,ATLAS_Bot1,,2022TNSTR2014....1T,2022TNSCR2407....1A,
112107,SN 2022owx,24:36.2,+04:33:30.49,SN IIn,0.025984,,,"ATLAS, GaiaAlerts","ATLAS, GaiaAlerts",SCAT,ATLAS; GaiaAlerts,ATLAS22uze,"ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric",UH88 - SNIFS,1,1,,18.322,orange-ATLAS,10:23.2,ATLAS_Bot1,,2022TNSTR1992....1T,2022TNSCR2018....1H,
