ZTFID,redshift
ZTF18aadmssd,0.01885
ZTF18aakrnvd,0.0453
ZTF18aamftst,0.0378
ZTF18aarasof,0.044
ZTF18aauenwu,0.0475
ZTF18aavskep,0.046
ZTF18aaxjuwy,0.0828
ZTF18aaxxfgs,0.026
ZTF18ablqehq,0.03069
ZTF18abltfho,0.055
ZTF18abtswjk,0.0503
ZTF18abucxcj,0.033
ZTF18abvgjgb,0.0819
ZTF18abxbhov,0.0659
ZTF18acbwvsp,0.01706
ZTF18accdzju,0.055
ZTF18accnfrz,0.083
ZTF18acjpret,0.01516
ZTF18acpsrtc,0.039
ZTF18acsulmu,0.02386
ZTF18acvgjqv,0.091
ZTF18acwzyor,0.02736
ZTF18aczuooo,0.094
ZTF18adbmrug,0.02396
ZTF19aacjbsj,0.052
ZTF19aadgimr,0.035
ZTF19aaerbzy,0.054
ZTF19aaezale,0.083
ZTF19aaksxgp,0.0467
ZTF19aamkmxv,0.014
ZTF19aanfqug,0.046
ZTF19aanqzhm,0.049
ZTF19aaozsuh,0.057
ZTF19aapzbjr,0.0305
ZTF19aaqasrq,0.025
ZTF19aarxrem,0.048
ZTF19aasekcx,0.118
ZTF19aavjukt,0.036
ZTF19aavyvbn,0.016
ZTF19aaxeaag,0.04543
ZTF19abandzh,0.0406
ZTF19abcejfo,0.083
ZTF19abdviwl,0.03
ZTF19abecaca,0.03241
ZTF19abegxfs,0.02388
ZTF19abgndlf,0.03
ZTF19abirfmc,0.05809
ZTF19abiszoe,0.043
ZTF19abjacdu,0.084
ZTF19ablojrw,0.0488
ZTF19ablzora,0.072
ZTF19abpidqn,0.01458
ZTF19abstsvm,0.039
ZTF19abulzhy,0.1055
ZTF19abzmmvz,0.076
ZTF19abzpvaj,0.044
ZTF19acapech,0.075
ZTF19aceqlxc,0.06
ZTF19acftude,0.04
ZTF19acjutrw,0.04716
ZTF19ackbclh,0.076
ZTF19actabny,0.159
ZTF19acukucu,0.064
ZTF19acvkibv,0.1006
ZTF19acxmnkc,0.0395
ZTF19acxqaot,0.04588
ZTF19acyjviz,0.0216
ZTF19acyjysk,0.06
ZTF19acykaae,0.088
ZTF19acyldun,0.05727
ZTF19adalarj,0.077
ZTF19adannbl,0.048
ZTF20aaaddgy,0.1029
ZTF20aaaweke,0.11
ZTF20aabcemq,0.096
ZTF20aacbyec,0.0362
ZTF20aadtarr,0.077
ZTF20aadxrvb,0.081
ZTF20aadyyvk,0.0675
ZTF20aahapgw,0.111
ZTF20aajvyja,0.099
ZTF20aammdfk,0.0973
ZTF20aamrreb,0.023
ZTF20aartnkv,0.06954
ZTF20aasivpe,0.0293
ZTF20aaswzdm,0.033
ZTF20aattztb,0.1116
ZTF20aaurfwa,0.0935
ZTF20aavhixe,0.051
ZTF20aawijco,0.02485
ZTF20aayvmyh,0.065
ZTF20aazffau,0.128
ZTF20abonvte,0.053
ZTF20abpmqnr,0.022
ZTF20abqgbum,0.068
ZTF20abtjjhb,0.064
ZTF20abyxjvm,0.079
ZTF20abzjoxd,0.0577
ZTF20acbekkx,0.087
ZTF20aceokvr,0.115
ZTF20acggqfs,0.00846
ZTF20acghodf,0.02025
ZTF20achjwqt,0.119
ZTF20acklcyp,0.0415
ZTF20aclkvjy,0.075
ZTF20acnvniw,0.0217
ZTF20acoawtj,0.123
ZTF20acounxo,0.01915
ZTF20acqgklx,0.14
ZTF20acqnfzn,0.02
ZTF20acqqdkl,0.078
ZTF20actkulc,0.0757
ZTF20acusylb,0.08182
ZTF20acveyyv,0.193
ZTF20acwobku,0.035
ZTF20acxmxtu,0.121
ZTF20aczgmai,0.04284
ZTF21aaabxbd,0.07593
ZTF21aaffxdt,0.09
ZTF21aagnqnz,0.0339
ZTF21aahfjrr,0.194
ZTF21aakupth,0.023
ZTF21aaoqbbw,0.05016
ZTF21aaowaxx,0.068
ZTF21aappkns,0.0424
ZTF21aaqhqke,0.075
ZTF21aaradzm,0.03
ZTF21aarcobt,0.054
ZTF21aatwkkg,0.113
ZTF21aautijg,0.106
ZTF21aavuqzr,0.1013
ZTF21aaxtije,0.051
ZTF21aaydxoo,0.02175
ZTF21aaygmrl,0.025
ZTF21aazgkjf,0.142
ZTF21abccdld,0.03501
ZTF21abebgfr,0.08545
ZTF21abghumo,0.055
ZTF21abgjldn,0.041
ZTF21abgzyvg,0.031
ZTF21abhibro,0.057
ZTF21abhqqfa,0.029
ZTF21abiwpjm,0.103
ZTF21abjhiqp,0.069
ZTF21abjvukz,0.103
ZTF21abpmlxu,0.054
ZTF21abpxquj,0.01288
ZTF21abtdvpg,0.1265
ZTF21abtorlk,0.031
ZTF21abujgmr,0.048
ZTF21abulpnc,0.057
ZTF21abxlmuw,0.055
ZTF21abxtfwo,0.027
ZTF21accgsbf,0.093
ZTF21acckcni,0.04329
ZTF21acpkzcc,0.007
ZTF21acpoujw,0.01225
ZTF22aaabzju,0.0215
ZTF22aaajbnz,0.035
ZTF22aabwemz,0.036
ZTF22aabxuxf,0.085
ZTF22aadesjc,0.1035
ZTF22aaetqzk,0.089
ZTF22aafnzvd,0.054
ZTF22aagvtzz,0.018
ZTF22aagvxjc,0.025
ZTF22aahedwz,0.067
ZTF22aajcupz,0.0748
ZTF22aajjojx,0.093
ZTF22aanesux,0.0745
ZTF22aanjyae,0.068
ZTF22aanwibf,0.038
ZTF22aaohilj,0.0371
ZTF22aapkbkl,0.134
ZTF22aapmawo,0.106
ZTF22aarrawv,0.03
ZTF22aasoali,0.118
ZTF22aasudqv,0.08
ZTF22aatfjcy,0.066
ZTF22aawfeov,0.06
ZTF22aazbxmi,0.058
ZTF22abajyqm,0.057
ZTF22abcesfo,0.08
ZTF22abeyzcl,0.052
ZTF22abfnfud,0.034
ZTF22abfyvhf,0.079
ZTF22abghrui,0.1968
ZTF22abhclyh,0.048
ZTF22abhwlnm,0.114
ZTF22abiupzw,0.02493
ZTF22abizuah,0.0935
ZTF22abnfjsm,0.08
ZTF22abqseiq,0.028
ZTF22abtcpig,0.063
ZTF22abtsypf,0.135
ZTF22abxltfq,0.07
ZTF22abzgbtq,0.08
ZTF23aaabzea,0.105
ZTF23aaakein,0.013
ZTF23aaarwbd,0.05
ZTF23aaavyag,0.182
ZTF23aablgzj,0.0136
ZTF23aabvcmb,0.062
ZTF23aaczpkm,0.094
ZTF23aaczunw,0.108
ZTF23aadchqd,0.053
ZTF23aadtvmb,0.148
ZTF23aaecexq,0.067
ZTF23aajjzbm,0.0198
ZTF23aajkisd,0.029
ZTF23aalgqsq,0.054
ZTF23aamanim,0.01132
ZTF23aamshoi,0.05
ZTF23aansdlc,0.05466
ZTF23aaohqcn,0.069
ZTF23aapsuva,0.095
ZTF23aaqmauw,0.03833
ZTF23aaquolj,0.04206
ZTF23aatdcey,0.06918
ZTF23aavmthe,0.0834
ZTF23aavtugd,0.083
ZTF23aavvckk,0.09
ZTF23aaxldkr,0.111
ZTF23aayngri,0.04
ZTF23abfglcy,0.037
ZTF23abgnxri,0.0877
ZTF23abjhwem,0.06
ZTF23abjikaf,0.033
ZTF23abjvuwc,0.06
ZTF23abkhwgb,0.0173
ZTF23abkphfu,0.08141
ZTF23ablutgq,0.056
ZTF23abomtge,0.036
ZTF23abpznvm,0.0369
ZTF23abqimmw,0.105
ZTF23abqrshk,0.024
ZTF23abrydus,0.086
ZTF23absdibx,0.047
ZTF24aaabljq,0.021
ZTF24aaejwvu,0.143
ZTF24aaennqr,0.037
ZTF24aaerzgz,0.1
ZTF24aafqxmg,0.1
ZTF24aagtesv,0.036
ZTF24aahdfdo,0.0873
ZTF24aahtdhb,0.055
ZTF24aaifila,0.114
ZTF24aaisnlp,0.0517
ZTF24aaleeji,0.016
ZTF24aamiomv,0.0625
ZTF24aatjphv,0.0655
ZTF24abcugcf,0.03
ZTF24abeivan,0.036
