reqId	ra	dec	startJD	endJD	created	started	ended	machine	exitcode	lightcurve
387568	19.6859708333333	4.7483	2460073.964000	2460673.964000	2024-09-29 09:55:40.14971	2024-09-29 10:13:55.74902	2024-09-29 10:21:10.4343	60	0	/ztf/ops/forcedphot/lc/0/387/req387568/cksum4819e3a535f9bf8544339d8e6fd07be6/forcedphotometry_req00387568_lc.txt
387569	35.6918	26.4598833333333	2460127.836632	2460727.836632	2024-09-29 09:55:40.223801	2024-09-29 10:14:08.274837	2024-09-29 10:21:40.470538	33	0	/ztf/ops/forcedphot/lc/0/387/req387569/cksumfce840388c7c64aaeebf8cdbf83d5ae3/forcedphotometry_req00387569_lc.txt
387570	201.021791666667	-3.56141111111111	2459869.042000	2460469.042000	2024-09-29 09:55:40.321829	2024-09-29 10:13:53.316538	2024-09-29 10:23:53.360456	34	57	/ztf/ops/forcedphot/lc/0/387/req387570/cksumaf5935f2b2abff390474c66b7da756c3/forcedphotometry_req00387570_lc.txt
387571	247.989358333333	71.0217944444444	2460303.936898	2460903.936898	2024-09-29 09:55:40.388985	2024-09-29 10:13:56.080425	2024-09-29 10:20:46.682749	35	56	/ztf/ops/forcedphot/lc/0/387/req387571/cksum3aa775043050d74bd25b71b142bbb425/forcedphotometry_req00387571_lc.txt
387572	249.54235	68.4636472222222	2458658.687222	2459258.687222	2024-09-29 09:55:40.462458	2024-09-29 10:14:48.831788	2024-09-29 10:43:46.803604	36	57	/ztf/ops/forcedphot/lc/0/387/req387572/cksum886bda5cd15cebfd2224d45040900c31/forcedphotometry_req00387572_lc.txt
387573	13.2951625	-25.1513527777778	2459423.795359	2460023.795359	2024-09-29 09:55:40.538188	2024-09-29 10:13:58.564917	2024-09-29 10:18:11.97204	37	61	/ztf/ops/forcedphot/lc/0/387/req387573/cksum39a576abb12ecca55664fd84e9bda58b/forcedphotometry_req00387573_lc.txt
387574	233.487916666667	4.3237	2460191.062000	2460791.062000	2024-09-29 09:55:40.63569	2024-09-29 10:13:55.576628	2024-09-29 10:19:42.93099	38	0	/ztf/ops/forcedphot/lc/0/387/req387574/cksumaba60c231a27ab15a47298f6b0e42ee9/forcedphotometry_req00387574_lc.txt
387575	325.246316666667	24.0073027777778	2460019.905752	2460619.905752	2024-09-29 09:55:40.752516	2024-09-29 10:13:55.808431	2024-09-29 10:25:33.359595	39	61	/ztf/ops/forcedphot/lc/0/387/req387575/cksum95d68e7d07992e4e861505d912c6f4db/forcedphotometry_req00387575_lc.txt
387576	357.997916666667	33.8143888888889	2460034.908982	2460634.908982	2024-09-29 09:55:40.859254	2024-09-29 10:13:55.778459	2024-09-29 10:23:27.789057	40	0	/ztf/ops/forcedphot/lc/0/387/req387576/cksum69eae6273afbd32b9580039c55fed942/forcedphotometry_req00387576_lc.txt
387577	267.198995833333	37.217225	2460330.868148	2460930.868148	2024-09-29 09:55:40.919295	2024-09-29 10:13:57.475199	2024-09-29 10:23:43.513398	41	0	/ztf/ops/forcedphot/lc/0/387/req387577/cksume3f4f514e878c83f167f59ac974c0eb9/forcedphotometry_req00387577_lc.txt
387578	245.683291666667	24.01935	2458409.014549	2459009.014549	2024-09-29 09:55:40.969064	2024-09-29 10:13:55.834074	2024-09-29 10:31:08.706833	42	0	/ztf/ops/forcedphot/lc/0/387/req387578/cksum95acf2659bffc66dc7309d9c6a6aceaa/forcedphotometry_req00387578_lc.txt
387579	31.52625	-13.40155	2460059.941000	2460659.941000	2024-09-29 09:55:41.052662	2024-09-29 10:25:34.533526	2024-09-29 10:28:33.12855	35	61	/ztf/ops/forcedphot/lc/0/387/req387579/cksum8f0550841b0974f7479cc5162fa7626a/forcedphotometry_req00387579_lc.txt
387580	339.934083333333	-15.83455	2460045.856516	2460645.856516	2024-09-29 09:55:41.117251	2024-09-29 10:25:34.367617	2024-09-29 10:30:16.300845	40	0	/ztf/ops/forcedphot/lc/0/387/req387580/cksum2946388f98761c28dec0909db99d5d06/forcedphotometry_req00387580_lc.txt
387581	133.583554166667	-13.076975	2460136.968125	2460736.968125	2024-09-29 09:55:41.175344	2024-09-29 10:25:44.699131	2024-09-29 10:28:05.626779	33	0	/ztf/ops/forcedphot/lc/0/387/req387581/cksumdf3d6018dc0fd65eeb6311d8f934c26f/forcedphotometry_req00387581_lc.txt
387582	352.157445833333	-15.8966833333333	2460050.940000	2460650.940000	2024-09-29 09:55:41.260324	2024-09-29 10:25:45.084698	2024-09-29 10:33:23.638638	37	0	/ztf/ops/forcedphot/lc/0/387/req387582/cksum1626df440ec43826be4e29fec60c9116/forcedphotometry_req00387582_lc.txt
