Nested Sampling Global Log-Evidence           :   -0.962805882733056961E+02  +/-    0.739779551627639864E+00
Nested Importance Sampling Global Log-Evidence:   -0.101058517876708009E+03  +/-    0.346162780399507583E-01

Dim No.       Mean        Sigma
   1    0.874560600649672698E-01    0.186151493771696402E-01
   2   -0.162728302195691761E+02    0.106983953535111609E+01
   3    0.936126158589519641E+00    0.333080258243124913E-01
   4    0.144054136234023700E+01    0.179874541780505881E-01
   5    0.146332417569926578E-01    0.162108319401103179E-02
   6    0.282483201034676501E+00    0.130598044898960736E+00
   7   -0.161730234761276415E+01    0.378604637856064408E+00
   8   -0.935208583223986201E-01    0.298579369962814027E-01
   9    0.307787316929161348E+01    0.104170105806307323E+01
  10   -0.443535442794065760E+00    0.115321686411701749E+00
  11   -0.499747684412167395E-01    0.174534362672590163E-01
  12   -0.105093558774368590E-01    0.789199734545792259E-01
  13   -0.439837896845515886E+00    0.166984851335799322E+00
  14   -0.105598416318418065E+01    0.484833746147307065E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.100675294289224559E+00
   2   -0.157608636047203881E+02
   3    0.957548763508283551E+00
   4    0.143157706803807461E+01
   5    0.154728619499127779E-01
   6    0.372855869285636077E+00
   7   -0.161180604784716186E+01
   8   -0.138312806557360279E+00
   9    0.293059408133467292E+01
  10   -0.634152691279299741E+00
  11   -0.453852757334525375E-01
  12   -0.841965973656213923E-01
  13   -0.654167343746382413E+00
  14   -0.106697675304953798E+01

MAP Parameters
Dim No.        Parameter
   1    0.100675294289224559E+00
   2   -0.157608636047203881E+02
   3    0.957548763508283551E+00
   4    0.143157706803807461E+01
   5    0.154728619499127779E-01
   6    0.372855869285636077E+00
   7   -0.161180604784716186E+01
   8   -0.138312806557360279E+00
   9    0.293059408133467292E+01
  10   -0.634152691279299741E+00
  11   -0.453852757334525375E-01
  12   -0.841965973656213923E-01
  13   -0.654167343746382413E+00
  14   -0.106697675304953798E+01
