Nested Sampling Global Log-Evidence           :   -0.377553781164142137E+02  +/-    0.628476179313361416E+00
Nested Importance Sampling Global Log-Evidence:   -0.439334404451811409E+02  +/-    0.443926628616636287E-01

Dim No.       Mean        Sigma
   1    0.186973040077729996E+00    0.354515938157789201E-01
   2   -0.190985429711368901E+02    0.557973132316124421E+01
   3    0.140621070017080063E+01    0.591217830677088010E-01
   4    0.885515162570007508E+00    0.248975148336357310E+00
   5    0.193244416010770713E-01    0.304445823342309367E-02
   6    0.159076343864322678E+01    0.212546997071036609E+00
   7   -0.176841134317216553E+01    0.382886492795309563E+00
   8    0.202344684349668846E+00    0.479287178696260474E-01
   9   -0.408182596876144110E+01    0.340035269798754936E+01
  10    0.646815801482977931E-01    0.510865343640294484E-01
  11   -0.117090551280054189E+00    0.120353854692164738E+00
  12    0.553694672502067053E+00    0.985116494594712733E-01
  13   -0.129631422196643503E+00    0.186879636427214335E+00
  14   -0.105338731115035555E+01    0.435899496514150428E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.221142904746637337E+00
   2   -0.284145648580897472E+02
   3    0.137871669108750527E+01
   4    0.942573118322223014E+00
   5    0.192909405554718208E-01
   6    0.164315862019926739E+01
   7   -0.224422825105025714E+01
   8    0.291234522118317241E+00
   9   -0.427985544596295675E+01
  10    0.201198726213012713E-01
  11   -0.120939781033504723E+00
  12    0.467828744523354212E+00
  13   -0.190508115327820471E+00
  14   -0.123391849054923886E+01

MAP Parameters
Dim No.        Parameter
   1    0.221142904746637337E+00
   2   -0.284145648580897472E+02
   3    0.137871669108750527E+01
   4    0.942573118322223014E+00
   5    0.192909405554718208E-01
   6    0.164315862019926739E+01
   7   -0.224422825105025714E+01
   8    0.291234522118317241E+00
   9   -0.427985544596295675E+01
  10    0.201198726213012713E-01
  11   -0.120939781033504723E+00
  12    0.467828744523354212E+00
  13   -0.190508115327820471E+00
  14   -0.123391849054923886E+01
