tnsname control_id           ra         dec   ra_offset  dec_offset radius_arcsec n_detec n_detec_o n_detec_c
2020kre          0 197.62445833 -1.31419444           0           0             0    2670      2050       620
    NaN          1 197.62779833 -1.31085533  0.00333999  0.00333912          17.0    2665      2045       620
    NaN          2 197.62445833 -1.30947222  0.00000000  0.00472222          17.0    2670      2050       620
    NaN          3 197.62111834 -1.31085533 -0.00333999  0.00333912          17.0    2678      2056       622
    NaN          4 197.61973487 -1.31419444 -0.00472346  0.00000000          17.0    2681      2058       623
    NaN          5 197.62111834 -1.31753356 -0.00333999 -0.00333912          17.0    2680      2058       622
    NaN          6 197.62445833 -1.31891667 -0.00000000 -0.00472222          17.0    2674      2054       620
    NaN          7 197.62779833 -1.31753356  0.00333999 -0.00333912          17.0    2668      2048       620
    NaN          8 197.62918180 -1.31419444  0.00472346 -0.00000000          17.0    2665      2045       620
