Nested Sampling Global Log-Evidence           :   -0.129309299115064569E+02  +/-    0.368895263195639145E+00
Nested Importance Sampling Global Log-Evidence:   -0.175886872473510820E+02  +/-    0.632673234666793066E-01

Dim No.       Mean        Sigma
   1    0.117464882907204679E+00    0.426959273035649525E-01
   2   -0.248796013536941203E+02    0.375080083712044265E+01
   3    0.107001280684475475E+01    0.105539408217753788E+00
   4    0.162212812757538072E+01    0.197667707103299645E+00
   5    0.769227850936208581E-02    0.258673520728735368E-02
   6    0.161836565071152050E+01    0.137215754214445818E+00
   7   -0.172692339734486122E+01    0.409470927248588246E+00
   8   -0.556592519753042816E-01    0.485920950875899996E-01
   9   -0.365043747955079967E+01    0.343396105894462300E+01
  10   -0.164027168453361072E+00    0.115551630511463235E+00
  11   -0.776947452479585243E-01    0.124079777163183705E+00
  12   -0.166487428139495547E+00    0.189567026377033931E+00
  13   -0.829482696402817354E-01    0.148396752525119829E+00
  14   -0.106293755838421555E+01    0.496638198171063736E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.934546303619293445E-01
   2   -0.293837887590322282E+02
   3    0.912418079249103897E+00
   4    0.183525885441829417E+01
   5    0.716922088653156910E-02
   6    0.142246697699088265E+01
   7   -0.129541385156654232E+01
   8   -0.571610464580273592E-01
   9   -0.358768496267753445E+01
  10   -0.193903278885749208E+00
  11   -0.195384469726119170E+00
  12   -0.311653532272949618E+00
  13    0.106820686130644493E+00
  14   -0.116410809694947903E+01

MAP Parameters
Dim No.        Parameter
   1    0.934546303619293445E-01
   2   -0.293837887590322282E+02
   3    0.912418079249103897E+00
   4    0.183525885441829417E+01
   5    0.716922088653156910E-02
   6    0.142246697699088265E+01
   7   -0.129541385156654232E+01
   8   -0.571610464580273592E-01
   9   -0.358768496267753445E+01
  10   -0.193903278885749208E+00
  11   -0.195384469726119170E+00
  12   -0.311653532272949618E+00
  13    0.106820686130644493E+00
  14   -0.116410809694947903E+01
