Nested Sampling Global Log-Evidence           :   -0.855011857099737824E+02  +/-    0.592521330870809160E+00
Nested Importance Sampling Global Log-Evidence:   -0.919447657675950722E+02  +/-    0.361160200056709624E-01

Dim No.       Mean        Sigma
   1   -0.410640297215590158E-01    0.260688411132097113E-01
   2    0.151582797584893303E+02    0.965029938356219397E+01
   3    0.141626260158779682E+01    0.114140757941179269E+00
   4    0.114048437720312257E+01    0.217355687228549616E+00
   5    0.888036196897812324E-02    0.405460286680209975E-02
   6    0.280818543737213444E+01    0.228831537873175977E+00
   7   -0.179500850522010591E+01    0.434384705693143691E+00
   8   -0.212940176551263072E+00    0.454587509414391966E-01
   9    0.170641213450505813E+00    0.384598921855363374E+01
  10   -0.468591056128534189E-01    0.118570660903941291E+00
  11   -0.419905320326280154E-01    0.140576356309320999E+00
  12   -0.189408372843955064E+00    0.225131487532646751E+00
  13    0.187211777431712210E-01    0.189035142562064051E+00
  14   -0.106608907641227946E+01    0.549823296000862827E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.734643596541377092E-01
   2    0.299548547309692310E+02
   3    0.127798092514866513E+01
   4    0.593547822705402628E+00
   5    0.126899329068954885E-01
   6    0.301434231379235307E+01
   7   -0.160905724510727044E+01
   8   -0.168609239607341088E+00
   9   -0.271215313302103533E+01
  10    0.117495593450385433E+00
  11   -0.297038637267245595E-01
  12   -0.757049885368789865E-01
  13    0.651099828970780337E-02
  14   -0.112177332973833255E+01

MAP Parameters
Dim No.        Parameter
   1   -0.734643596541377092E-01
   2    0.299548547309692310E+02
   3    0.127798092514866513E+01
   4    0.593547822705402628E+00
   5    0.126899329068954885E-01
   6    0.301434231379235307E+01
   7   -0.160905724510727044E+01
   8   -0.168609239607341088E+00
   9   -0.271215313302103533E+01
  10    0.117495593450385433E+00
  11   -0.297038637267245595E-01
  12   -0.757049885368789865E-01
  13    0.651099828970780337E-02
  14   -0.112177332973833255E+01
