         MJD         m       dm   uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs  __tmp_SN
57521.518105 19.419021      NaN     8    18 c    0   0.96 253.48661 -9.69951  7443.15  8976.86 4.00 3.58  83.2 -0.453    19.42 21.27 02a57521o0554c  0.444444
57521.530133 19.631075      NaN    -7    17 c    0   1.17 253.48661 -9.69951  7404.93  9041.25 3.99 3.61  87.9 -0.447    19.43 21.28 02a57521o0577c -0.411765
57538.437927 19.472870      NaN     8    17 c    0   1.24 253.48661 -9.69951  6563.94 10131.25 4.04 3.97  62.5 -0.413    19.44 21.35 02a57538o0404c  0.470588
57538.440518 19.454622      NaN    -5    20 c    0   1.07 253.48661 -9.69951   996.27 10080.11 4.55 4.05 -44.0 -0.431    19.45 21.43 02a57538o0409c -0.250000
57538.450177 19.569016      NaN   -37    18 c    0   1.05 253.48661 -9.69951  6528.41 10091.04 4.04 3.94  43.0 -0.407    19.43 21.33 02a57538o0427c -2.055556
57538.452960 19.142275      NaN     2    26 c    0   1.03 253.48661 -9.69951  9536.06   429.30 5.04 3.87  23.9 -0.456    19.50 21.43 02a57538o0432c  0.076923
57538.463206 19.510313      NaN   -39    19 c    0   1.08 253.48661 -9.69951  6595.15 10173.37 4.12 3.96  74.0 -0.406    19.44 21.35 02a57538o0451c -2.052632
57538.465934 19.212347      NaN    -9    25 c    0   0.93 253.48661 -9.69951  9586.53   512.40 5.14 3.85  28.4 -0.453    19.51 21.43 02a57538o0456c -0.360000
57538.476586 19.510313      NaN   -27    19 c    0   0.78 253.48661 -9.69951  6611.08 10058.52 4.03 3.86  79.2 -0.418    19.42 21.29 02a57538o0475c -1.421053
57538.479319 18.534680      NaN    59    27 c    0   1.34 253.48661 -9.69951  9604.85   395.72 5.17 3.90  28.5 -0.459    19.45 21.34 02a57538o0480c  2.185185
57538.489723 19.569016      NaN   -16    18 c    0   1.03 253.48661 -9.69951  6579.54 10113.56 3.87 3.75  88.6 -0.430    19.36 21.10 02a57538o0498c -0.888889
57538.492680 19.089302      NaN   -30    28 c    0   0.97 253.48661 -9.69951  9559.90   455.66 5.07 3.85  28.8 -0.457    19.37 21.14 02a57538o0503c -1.071429
57539.466269 19.696897      NaN   -35    16 c    0   1.35 253.48661 -9.69951  9365.82  1360.24 4.31 3.82  36.0 -0.484    19.53 21.48 02a57539o0148c -2.187500
57539.480239 19.287255      NaN    16    18 c    0   1.33 253.48661 -9.69951  9383.13  1245.32 4.44 3.80  32.5 -0.494    19.54 21.46 02a57539o0173c  0.888889
57539.494241 19.454622      NaN    -4    20 c    0   1.13 253.48661 -9.69951  9339.60  1303.81 4.49 3.91  34.0 -0.504    19.51 21.45 02a57539o0199c -0.200000
57540.424963 18.389700      NaN    28    44 c    0   1.01 253.48661 -9.69951  8644.45  9800.43 4.38 3.72  83.7 -0.426    18.58 20.44 02a57540o0378c  0.636364
57540.432707 18.878500      NaN     6    32 c    0   1.06 253.48661 -9.69951  1850.74   141.45 5.73 4.33 -15.1 -0.441    18.88 20.88 02a57540o0393c  0.187500
57540.438615 19.089302      NaN     6    26 c    0   1.08 253.48661 -9.69951  8682.70  9838.44 4.69 4.04  83.5 -0.404    19.11 21.09 02a57540o0404c  0.230769
57540.446734 18.978793      NaN    -8    31 c    0   1.01 253.48661 -9.69951  1871.63   178.38 5.14 3.63 -15.4 -0.501    19.05 20.92 02a57540o0419c -0.258065
57540.452752 19.287255      NaN     1    23 c    0   0.80 253.48661 -9.69951  1939.21   792.54 5.11 3.74 -18.0 -0.497    19.51 21.46 02a57540o0430c  0.043478
57540.460877 19.169763      NaN    15    21 c    0   0.98 253.48661 -9.69951  8730.31 10452.07 4.30 3.91  80.1 -0.405    19.46 21.34 02a57540o0445c  0.714286
57540.467173 19.302877      NaN    -8    23 c    0   0.91 253.48661 -9.69951  1957.13   676.12 5.26 3.76 -18.9 -0.489    19.50 21.44 02a57540o0456c -0.347826
57540.475578 19.212347      NaN    18    19 c    0   0.89 253.48661 -9.69951  8745.49 10334.54 4.31 3.87  80.4 -0.415    19.46 21.34 02a57540o0471c  0.947368
57540.481468 19.454622      NaN   -28    20 c    0   1.10 253.48661 -9.69951  1915.67   732.82 5.15 3.68 -17.9 -0.491    19.52 21.43 02a57540o0482c -1.400000
57540.489539 19.631075      NaN    -7    17 c    0   1.08 253.48661 -9.69951  8705.47 10394.58 4.18 3.80  81.2 -0.428    19.47 21.32 02a57540o0497c -0.411765
57544.416817 19.102305      NaN    23    20 c    0   0.89 253.48661 -9.69951  1979.99  1349.86 4.95 3.75 -18.6 -0.472    19.54 21.58 02a57544o0372c  1.150000
57544.430076 19.089302      NaN    30    18 c    0   1.13 253.48661 -9.69951  1969.14  1313.14 4.75 3.68 -19.9 -0.484    19.58 21.57 02a57544o0398c  1.666667
57544.444070 19.569016      NaN    -3    18 c    0   1.13 253.48661 -9.69951  2014.65  1402.25 4.63 3.59 -20.7 -0.484    19.58 21.57 02a57544o0424c -0.166667
57544.458088 19.367717      NaN     5    20 c    0   0.97 253.48661 -9.69951  2032.88  1289.55 4.77 3.71 -19.7 -0.474    19.56 21.53 02a57544o0450c  0.250000
57544.472420 19.454622      NaN   -19    20 c    0   0.93 253.48661 -9.69951  1994.64  1348.22 4.66 3.66 -18.3 -0.474    19.55 21.49 02a57544o0476c -0.950000
57548.415948 19.401649      NaN     9    18 c    0   0.98 253.48661 -9.69951  6472.97 10106.33 4.02 3.93  55.3 -0.409    19.48 21.39 02a57548o0372c  0.500000
57548.418465 19.197966      NaN     4    24 c    0   1.01 253.48661 -9.69951  9482.98   445.81 4.89 3.91  25.4 -0.469    19.50 21.47 02a57548o0377c  0.166667
57548.429011 19.652575      NaN     2    16 c    0   1.45 253.48661 -9.69951  6453.10 10072.90 4.14 3.99  72.7 -0.401    19.44 21.39 02a57548o0398c  0.125000
57548.431538 19.063754      NaN    11    25 c    0   0.88 253.48661 -9.69951  9464.05   413.10 4.94 3.94  25.7 -0.451    19.51 21.47 02a57548o0403c  0.440000
57548.443079 19.128787      NaN    27    18 c    0   1.02 253.48661 -9.69951  6507.59 10158.95 4.08 3.99  85.8 -0.395    19.45 21.37 02a57548o0424c  1.500000
57548.445763 19.212347      NaN     3    24 c    0   0.94 253.48661 -9.69951  9517.94   500.14 4.98 4.15  29.0 -0.459    19.47 21.45 02a57548o0429c  0.125000
57548.457081 19.696897      NaN   -34    16 c    0   1.14 253.48661 -9.69951  6527.33 10044.74 3.91 3.81  74.8 -0.419    19.49 21.37 02a57548o0450c -2.125000
57548.459798 18.796518      NaN    29    27 c    0   0.90 253.48661 -9.69951  9538.80   386.09 5.14 4.01  26.6 -0.449    19.50 21.46 02a57548o0455c  1.074074
57548.471102 19.436675      NaN    10    17 c    0   1.23 253.48661 -9.69951  6488.34 10105.61 3.94 3.83 -86.6 -0.416    19.48 21.37 02a57548o0476c  0.588235
57548.473814 19.256669      NaN    -2    24 c    0   1.04 253.48661 -9.69951  9498.86   446.52 4.96 3.84  27.2 -0.451    19.53 21.46 02a57548o0481c -0.083333
57575.355482 19.051202      NaN    24    21 c    0   0.98 253.48661 -9.69951  1398.76   201.95 5.35 4.00 -21.5 -0.454    19.57 21.68 02a57575o0243c  1.142857
57575.360050 19.609992      NaN     1    17 c    0   1.09 253.48661 -9.69951  8186.67  9867.88 4.38 4.13  74.5 -0.399    19.45 21.51 02a57575o0252c  0.058824
57575.366715 19.351140      NaN    -1    22 c    0   1.12 253.48661 -9.69951  1380.50   163.71 5.36 3.89 -20.3 -0.450    19.48 21.55 02a57575o0265c -0.045455
57575.371284 19.454622      NaN   -29    20 c    0   1.06 253.48661 -9.69951  8168.66  9831.24 4.28 3.94  76.0 -0.408    19.44 21.45 02a57575o0274c -1.450000
57575.377874 19.271854      NaN     5    22 c    0   0.91 253.48661 -9.69951  1439.86   244.02 5.46 3.97 -20.5 -0.441    19.50 21.57 02a57575o0287c  0.227273
57575.382896 19.569016      NaN   -10    18 c    0   0.97 253.48661 -9.69951  8227.25  9911.15 4.25 3.89  83.1 -0.418    19.53 21.55 02a57575o0297c -0.555556
57575.389938 18.243872      NaN    39    48 c    0   0.77 253.48661 -9.69951  1458.40   127.10 5.69 4.14 -20.1 -0.413    18.66 20.65 02a57575o0311c  0.812500
57575.394957 17.858399      NaN    60    67 c    0   0.71 253.48661 -9.69951  8246.08  9796.81 4.26 3.91  80.1 -0.410    18.29 20.19 02a57575o0321c  0.895522
57575.402002 18.376212      NaN    -7    54 c    0   0.89 253.48661 -9.69951  1421.69   189.15 5.37 3.87 -19.4 -0.455    18.50 20.45 02a57575o0335c -0.129630
57575.406955 19.454622      NaN    12    16 c    0   1.25 253.48661 -9.69951  8208.99  9858.03 4.26 3.91  83.8 -0.412    19.50 21.50 02a57575o0345c  0.750000
57576.365050 19.454622      NaN    -4    20 c    0   0.92 253.48661 -9.69951   836.58   327.93 5.53 4.05 -22.9 -0.434    19.47 21.49 02a57576o0170c -0.200000
57576.369593 19.510313      NaN   -12    19 c    0   0.85 253.48661 -9.69951  7628.69 10001.02 4.18 3.97  63.0 -0.410    19.46 21.39 02a57576o0179c -0.631579
57576.376210 19.351140      NaN   -20    22 c    0   0.85 253.48661 -9.69951   897.84   406.98 5.29 3.78 -24.4 -0.463    19.52 21.46 02a57576o0192c -0.909091
57576.381227 19.569016      NaN   -18    18 c    0   1.06 253.48661 -9.69951  7687.61 10081.47 4.15 3.86  80.3 -0.425    19.48 21.37 02a57576o0202c -1.000000
57576.388270 19.197966      NaN    13    21 c    0   0.94 253.48661 -9.69951   916.60   290.78 5.35 3.79 -21.4 -0.465    19.51 21.44 02a57576o0216c  0.619048
57577.348040 19.334813      NaN     1    22 c    0   0.75 253.48661 -9.69951  1026.84   209.07 5.20 3.66 -21.3 -0.476    19.64 21.67 02a57577o0216c  0.045455
57577.355161 19.631075      NaN   -37    17 c    0   0.84 253.48661 -9.69951  7818.73  9879.73 4.04 3.77  71.8 -0.429    19.62 21.60 02a57577o0230c -2.176471
57577.359206 19.302877      NaN    12    19 c    0   0.99 253.48661 -9.69951  1007.71   170.61 5.28 3.78 -21.2 -0.467    19.64 21.71 02a57577o0238c  0.631579
57577.366286 19.696897      NaN     0    16 c    0   1.11 253.48661 -9.69951  7799.28  9842.23 4.11 3.77  78.9 -0.423    19.60 21.60 02a57577o0252c  0.000000
57577.370810 19.510313      NaN    -1    19 c    0   0.98 253.48661 -9.69951  1068.31   251.10 5.18 3.68 -20.7 -0.472    19.65 21.69 02a57577o0261c -0.052632
57577.378356 19.631075      NaN   -10    17 c    0   0.88 253.48661 -9.69951  7858.09  9924.25 4.11 3.81  81.1 -0.419    19.59 21.60 02a57577o0276c -0.588235
57577.382873 19.226921      NaN    14    20 c    0   0.94 253.48661 -9.69951  1088.01   134.01 5.26 3.73 -21.5 -0.464    19.65 21.70 02a57577o0285c  0.700000
57577.390370 19.401649      NaN    12    17 c    0   1.16 253.48661 -9.69951  7877.99  9809.28 4.23 3.88  85.3 -0.410    19.56 21.60 02a57577o0300c  0.705882
57577.394909 19.454622      NaN   -21    20 c    0   0.87 253.48661 -9.69951  1051.86   195.97 5.30 3.83 -20.9 -0.453    19.61 21.67 02a57577o0309c -1.050000
57577.402835 19.631075      NaN    -4    17 c    0   1.03 253.48661 -9.69951  7837.71  9867.42 4.19 3.84  86.2 -0.418    19.56 21.57 02a57577o0324c -0.235294
57601.303882 19.569016      NaN   -37    18 c    0   0.97 253.48661 -9.69951  1810.65  2304.81 4.57 3.56 -22.6 -0.474    19.52 21.39 02a57601o0131c -2.055556
57601.315011 19.256669      NaN    15    19 c    0   1.04 253.48661 -9.69951  1792.13  2265.32 4.68 3.67 -23.2 -0.461    19.51 21.42 02a57601o0153c  0.789474
57601.326605 19.631075      NaN    -9    17 c    0   1.09 253.48661 -9.69951  1851.39  2343.09 4.63 3.59 -23.9 -0.472    19.52 21.41 02a57601o0176c -0.529412
57601.337788 19.454622      NaN   -49    20 c    0   0.96 253.48661 -9.69951  1873.61  2223.75 4.63 3.54 -22.9 -0.477    19.45 21.35 02a57601o0198c -2.450000
57601.349468 19.510313      NaN   -20    19 c    0   1.01 253.48661 -9.69951  1837.34  2282.91 4.68 3.60 -23.4 -0.474    19.53 21.47 02a57601o0221c -1.052632
