Nested Sampling Global Log-Evidence           :   -0.412327556689093910E+01  +/-                         NaN
Nested Importance Sampling Global Log-Evidence:   -0.413457038845463920E+01  +/-    0.545895886496747165E-02

Dim No.       Mean        Sigma
   1    0.804393859715031717E-01    0.128369520865701621E-02
   2   -0.200102307056735427E+02    0.402556870657374222E+00
   3    0.434992242188394052E+00    0.321026163928914490E-01
   4    0.141910975141502771E+01    0.107593236826560700E-01
   5    0.121469344806797233E-01    0.167604540272361886E-03
   6    0.210168039913005655E+01    0.338951255183932284E-02
   7   -0.174751942678873173E+01    0.543540594791643225E-01
   8   -0.283873608067182377E-01    0.467584259974736065E-02
   9   -0.256031846468126112E+01    0.216831594244426995E+00
  10   -0.167700933241591077E+00    0.607786334414535737E-01
  11   -0.677064384821520066E-01    0.127670696251866358E-01
  12   -0.282303607351495067E+00    0.110065991216552594E-01
  13   -0.318642501132843980E+00    0.608542193751970741E-02
  14   -0.107030534979729386E+01    0.405795514925419779E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.802562310935859002E-01
   2   -0.197776923873940440E+02
   3    0.435449219312943336E+00
   4    0.143387121673442541E+01
   5    0.119794136246289575E-01
   6    0.210434425940142500E+01
   7   -0.165744064639261035E+01
   8   -0.303254574453032839E-01
   9   -0.230938116832617979E+01
  10   -0.117996557835293656E+00
  11   -0.845795922793101812E-01
  12   -0.289482801909652476E+00
  13   -0.319444949157365821E+00
  14   -0.106919037930552863E+01

MAP Parameters
Dim No.        Parameter
   1    0.785761470813509111E-01
   2   -0.203803102497732880E+02
   3    0.488577174425589122E+00
   4    0.143773234272453831E+01
   5    0.121397448755567114E-01
   6    0.210025178538172508E+01
   7   -0.171834489303825833E+01
   8   -0.342879467992995290E-01
   9   -0.274206782047789943E+01
  10   -0.229234946359352598E+00
  11   -0.644587727109523362E-01
  12   -0.278859958748710224E+00
  13   -0.325271080665369638E+00
  14   -0.106956282315265794E+01
