Nested Sampling Global Log-Evidence           :   -0.108270337108463881E+02  +/-    0.367475765779227970E+00
Nested Importance Sampling Global Log-Evidence:   -0.155014295625588936E+02  +/-    0.421096062459779680E-01

Dim No.       Mean        Sigma
   1    0.427270223671706306E-01    0.392219455640982415E-01
   2   -0.749046056366085633E+01    0.175552710062635553E+01
   3    0.395695932313588072E+00    0.216912530193821201E+00
   4    0.952520312883102904E+00    0.298289655535669274E+00
   5    0.961421826276567977E-02    0.436462263489133945E-02
   6    0.162163100576831298E+01    0.118385972205371337E+00
   7   -0.160463477097073071E+01    0.389525235932663361E+00
   8   -0.141565874542147668E+00    0.741256827469647106E-01
   9    0.540530950542453953E-01    0.176872313796585723E+01
  10   -0.279121068738039935E+00    0.134962725823171675E+00
  11   -0.837579330173433140E-01    0.160658704035556738E+00
  12   -0.206353620296807594E+00    0.229458014088447793E+00
  13   -0.188874916581770719E+00    0.131264462908821294E+00
  14   -0.107187428378886729E+01    0.483058094577160438E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.366271410905026629E-02
   2   -0.861431025747241641E+01
   3    0.336513467694609714E+00
   4    0.118465289550748776E+01
   5    0.700512188349795839E-02
   6    0.166717828179413341E+01
   7   -0.249251851629329302E+01
   8   -0.580317051280728816E-01
   9    0.931261998100679111E+00
  10   -0.406541548304251599E+00
  11   -0.449547810054454877E+00
  12   -0.722413198888128549E-01
  13   -0.185123851865536676E+00
  14   -0.104021235458043226E+01

MAP Parameters
Dim No.        Parameter
   1    0.366271410905026629E-02
   2   -0.861431025747241641E+01
   3    0.336513467694609714E+00
   4    0.118465289550748776E+01
   5    0.700512188349795839E-02
   6    0.166717828179413341E+01
   7   -0.249251851629329302E+01
   8   -0.580317051280728816E-01
   9    0.931261998100679111E+00
  10   -0.406541548304251599E+00
  11   -0.449547810054454877E+00
  12   -0.722413198888128549E-01
  13   -0.185123851865536676E+00
  14   -0.104021235458043226E+01
